constant,signature,reference_value,low_value,high_value,reference_metric,low_metric,high_metric,reference_auxiliary_rate,low_auxiliary_rate,high_auxiliary_rate,main_fractional_change,auxiliary_fractional_change,central_fractional_change,material,resolved,paired_noncausal
field_narrowing_strength,"S4",0.65,0.6174999999999999,0.6825000000000001,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S5",0.65,0.6174999999999999,0.6825000000000001,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S6",0.65,0.6174999999999999,0.6825000000000001,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S7",0.65,0.6174999999999999,0.6825000000000001,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S8",0.65,0.6174999999999999,0.6825000000000001,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S9",0.65,0.6174999999999999,0.6825000000000001,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S10",0.65,0.6174999999999999,0.6825000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S1",4.0,3.8,4.2,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S2",4.0,3.8,4.2,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S3",4.0,3.8,4.2,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S4",4.0,3.8,4.2,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
field_part_precision,"S5",4.0,3.8,4.2,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S6",4.0,3.8,4.2,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S7",4.0,3.8,4.2,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S8",4.0,3.8,4.2,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S9",4.0,3.8,4.2,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_part_precision,"S10",4.0,3.8,4.2,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S1",2.35,2.2325,2.4675000000000002,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S2",2.35,2.2325,2.4675000000000002,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S3",2.35,2.2325,2.4675000000000002,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S4",2.35,2.2325,2.4675000000000002,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
field_relational_precision,"S5",2.35,2.2325,2.4675000000000002,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S6",2.35,2.2325,2.4675000000000002,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S7",2.35,2.2325,2.4675000000000002,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S8",2.35,2.2325,2.4675000000000002,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S9",2.35,2.2325,2.4675000000000002,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_relational_precision,"S10",2.35,2.2325,2.4675000000000002,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S1",0.3,0.285,0.315,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S2",0.3,0.285,0.315,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S3",0.3,0.285,0.315,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S4",0.3,0.285,0.315,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S5",0.3,0.285,0.315,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S6",0.3,0.285,0.315,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S7",0.3,0.285,0.315,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S8",0.3,0.285,0.315,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S9",0.3,0.285,0.315,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_low_control_boundary,"S10",0.3,0.285,0.315,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_no_control_attenuation,"S1",0.55,0.5225,0.5775000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_no_control_attenuation,"S2",0.55,0.5225,0.5775000000000001,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_no_control_attenuation,"S3",0.55,0.5225,0.5775000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_no_control_attenuation,"S4",0.55,0.5225,0.5775000000000001,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
freeze_no_control_attenuation,"S5",0.55,0.5225,0.5775000000000001,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
freeze_no_control_attenuation,"S6",0.55,0.5225,0.5775000000000001,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
