seed,arm,root_revision,root_revised,untreated_transfer,identity_cross,threat_cross,identity_before_threat
703136,reversed_graph,0.0,true,0.0,1,20,true
703137,witnessing,0.1791368193340935,false,0.12897850992054732,0,20,false
703137,matched_exposure,0.002902933690955793,false,0.0020901122574881748,0,20,false
703137,reversed_graph,0.0,false,0.0,0,20,false
703138,witnessing,0.14591473958355727,false,0.10505861250016124,0,23,false
703138,matched_exposure,0.003544709371185518,false,0.0025521907472535743,0,23,false
703138,reversed_graph,0.0,false,0.0,0,23,false
703139,witnessing,0.35609244385640965,false,0.25638655957661494,0,0,false
703139,matched_exposure,0.026584982647026856,false,0.01914118750585933,0,0,false
703139,reversed_graph,0.0,false,0.0,0,0,false
703140,witnessing,0.2509599414665328,false,0.18069115785590356,0,22,false
703140,matched_exposure,0.006929240442721714,false,0.004989053118759634,0,22,false
703140,reversed_graph,0.0,false,0.0,0,22,false
703141,witnessing,0.3319622384029528,false,0.239012811650126,0,0,false
703141,matched_exposure,0.023938672523471163,false,0.01723584421689925,0,0,false
703141,reversed_graph,0.0,false,0.0,0,0,false
703142,witnessing,0.732913215878138,true,0.5276975154322594,23,19,false
703142,matched_exposure,0.01456637178880136,false,0.010487787687936984,0,19,false
703142,reversed_graph,0.0,false,0.0,0,19,false
703143,witnessing,0.7109568902105957,true,0.5118889609516291,23,20,false
703143,matched_exposure,0.020517688787989194,false,0.014772735927352232,0,20,false
703143,reversed_graph,0.0,false,0.0,0,20,false
703144,witnessing,0.3443253868099229,false,0.24791427850314446,0,0,false
703144,matched_exposure,0.016653756147669122,false,0.011990704426321774,0,0,false
703144,reversed_graph,0.0,false,0.0,0,0,false
703145,witnessing,0.18852494396413888,false,0.13573795965417995,0,22,false
703145,matched_exposure,0.004814451325811259,false,0.0034664049545841125,0,22,false
703145,reversed_graph,0.0,false,0.0,0,22,false
703146,witnessing,0.9132245901754249,true,0.657521704926306,8,19,true
703146,matched_exposure,0.6037405407680873,true,0.43469318935302276,22,19,false
