seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63122,bernoulli,64,middle,3,0.25,-2.3859150726684715,0.3027246677425578,0.28693132501466356,0.058217964002501454
63123,clustered,64,middle,3,1.0,2.2584674140402186,0.3027246677425578,0.907925035937216,0.05153752738399031
63124,periodic,80,middle,3,0.5,-1.6922735095354882,0.3027246677425578,0.22610624818394828,0.05603400337676723
63125,jittered,80,middle,3,0.0,-3.4244607635125814,-0.45104713463382234,0.1668177335012383,0.049735998290606376
63126,bernoulli,80,middle,3,0.75,-0.2523637859808211,0.3027246677425578,0.3789731735080053,0.047515457479242906
63127,clustered,80,middle,3,0.25,-3.7211949909784536,-0.45104713463382234,0.1832041859988337,0.04553825882232582
63128,periodic,16,late,3,1.0,1.1388549647219333,0.3027246677425578,0.5987458581185999,0.0641603552587593
63129,jittered,16,late,3,0.5,0.2800095300912947,-0.45104713463382234,0.49712316474673957,0.07114742541367236
63130,bernoulli,16,late,3,0.0,-1.5530002834667964,0.3027246677425578,0.2674486427674685,0.04855797676767759
63131,clustered,16,late,3,0.75,0.21638537354105963,0.3027246677425578,0.5565298856161459,0.056246002760696634
63132,periodic,32,late,3,0.25,-2.87499949920755,0.3027246677425578,0.1909166148522919,0.055897820377740104
63133,jittered,32,late,3,1.0,0.538172803345767,-0.45104713463382234,0.5115633677826196,0.04484158070152816
63134,bernoulli,32,late,3,0.5,-2.1447347380705,0.3027246677425578,0.2829381097211763,0.07426667452745839
63135,clustered,32,late,3,0.0,-3.060590342387963,-0.4510471346338224,0.23050446658921614,0.047298131909641605
63136,periodic,64,late,3,0.75,-0.013904480610830165,0.3027246677425578,0.36041069523706853,0.04774560032598979
63137,jittered,64,late,3,0.25,-3.3706112572781697,0.3027246677425578,0.18877546540106563,0.05006878781459839
63138,bernoulli,64,late,3,1.0,-1.069605787028098,-0.45104713463382234,0.47438091954172484,0.06997014437050103
63139,clustered,64,late,3,0.5,-1.8142288609754003,0.3027246677425578,0.3469303203587998,0.06218215110399017
63140,periodic,80,late,3,0.0,-3.2842327409453294,0.3027246677425578,0.19909699305014628,0.05728062478450596
63141,jittered,80,late,3,0.75,2.818042477752529,0.3027246677425578,0.943547476097464,0.05707577554470339
63142,bernoulli,80,late,3,0.25,-2.7336020946850215,-0.4510471346338224,0.2758310653307317,0.05142959626510468
63143,clustered,80,late,3,1.0,0.6790631304557353,0.3027246677425578,0.7306364839097246,0.06922543061890685
63144,periodic,16,early,0,0.75,-2.067762664410625,0.0,0.287350545878422,0.049722584577595014
63145,jittered,16,early,0,0.25,-0.764387829666415,0.0,0.40851341300851557,0.025067257632050866
63146,bernoulli,16,early,0,1.0,1.1512935354914702,0.0,0.5317134797749651,0.057230961814511094
63147,clustered,16,early,0,0.5,-1.5959276430359266,0.0,0.2816033671047251,0.04693429533383353
63148,periodic,32,early,0,0.0,-1.456989310834776,0.0,0.3384666789132297,0.05112884170892046
63149,jittered,32,early,0,0.75,0.5365628798171241,0.0,0.5350437902043659,0.025408604499159715
63150,bernoulli,32,early,0,0.25,-3.6636666360313144,0.0,0.17892778380234295,0.04688908645987491
63151,clustered,32,early,0,1.0,-1.038037089373337,0.0,0.41301821583477005,0.03615330502752012
63152,periodic,64,early,0,0.5,-2.880277182033785,0.0,0.19510456841211832,0.05201810044682756
63153,jittered,64,early,0,0.0,-3.1376526268443414,0.0,0.17183866333682674,0.056147724480504535
63154,bernoulli,64,early,0,0.75,-2.527002608082447,0.0,0.24294364094282156,0.04818638471703274
63155,clustered,64,early,0,0.25,-2.600226885542749,0.0,0.22729332064671753,0.05564513808306493
63156,periodic,80,early,0,1.0,3.1363086534420117,0.0,0.9116465639959432,0.055482020329493675
63157,jittered,80,early,0,0.5,-1.7626497378562371,0.0,0.31190823633435105,0.05651183271377441
63158,bernoulli,80,early,0,0.0,-3.848744525146626,0.0,0.15306984893565512,0.05264586429064863
63159,clustered,80,early,0,0.75,-2.11483143443486,0.0,0.42834841235342186,0.057964782269030124
63160,periodic,16,middle,0,0.25,-2.140500704096817,0.0,0.20549595646570445,0.04751340167531959
63161,jittered,16,middle,0,1.0,-1.2716017122393624,0.0,0.2974711298852251,0.049596700419300865
63162,bernoulli,16,middle,0,0.5,-2.4086393922593614,0.0,0.2137722096875157,0.028599982720821343
63163,clustered,16,middle,0,0.0,-0.3196816804837402,0.0,0.3559370403458266,0.016407278090126043
63164,periodic,32,middle,0,0.75,1.5699227424976514,0.0,0.6506058277985534,0.049801311104778256
63165,jittered,32,middle,0,0.25,-1.0059592177915815,0.0,0.3723648332255435,0.045747876228090234
63166,bernoulli,32,middle,0,1.0,0.045409203275115335,0.0,0.5175660399481972,0.03361242635572986
63167,clustered,32,middle,0,0.5,-2.082291513282979,0.0,0.22217890957465075,0.04562192470744403
63168,periodic,64,middle,0,0.0,-2.3359268314670407,0.0,0.2740837122716957,0.05867634739067368
63169,jittered,64,middle,0,0.75,-2.2652553304017853,0.0,0.2559128610772509,0.06148424363454974
63170,bernoulli,64,middle,0,0.25,-2.6373950467430256,0.0,0.2796089273318035,0.050863357866156755
63171,clustered,64,middle,0,1.0,2.183138444868045,0.0,0.8661966320748608,0.05039288357089289
