seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63652,0.7712551538457242,0.9897397686792816,0.10661332102821265,0.9853527668804493,0.8676779693547381,0.9597667317194915,0.4467755068092503,0.4456218742806448,0.25,0.0,0.25,0.0,0.25,0.125,0.24592044467997903,0.3111894611248882,0.25,0.0
63653,0.545862713081755,0.993595360292434,0.24314212956588324,0.9881670760959477,0.6953114488292363,0.9830517042354389,0.8663586042740522,0.461812674496201,0.75,0.0,0.8125,0.0625,0.8125,0.0625,0.9999320885877881,0.29826812265252,0.5625,-0.0
63654,0.8591750372764011,0.9871099273828257,0.181782524041333,0.9804423602605816,0.8917887260577662,0.9828295177180382,0.7912286777985404,0.501876979482667,0.5625,0.0,0.5625,0.0,0.6875,0.125,0.9941747255110245,0.2794000819364692,0.5625,0.0
63655,0.6829561601083224,0.9933647886235772,0.6730031806167655,0.9854755192631376,0.815003433335771,0.95991750114305,0.40801849792133,0.4462443308833752,0.0,0.0,0.0625,0.0625,0.125,0.125,0.008811293971049855,0.13558957029113916,-0.0,-0.0
63656,0.835281367139814,0.9944338674962844,0.8454074006353411,0.9840069214198562,0.9047778054613591,0.9799265299049128,0.5888012663624727,0.5496820467344489,0.375,0.0,0.4375,0.125,0.375,0.1875,0.950986042103718,0.8591465405844365,0.2375,-0.0
63657,0.6895690985080827,0.9902828353446023,0.15405851186215253,0.9837703118354327,0.81508777434735,0.9753693233139925,0.6199788719302776,0.4226293558586177,0.5,0.0,0.4375,0.0,0.3125,0.125,0.939925684530253,0.6468407519048449,0.4375,0.0
63658,0.7950263415801644,0.993275303168508,0.14273723998822027,0.9879150703845001,0.8101951179795877,0.9764900304385762,0.9281593149139533,0.4444782893878816,0.6875,0.0,0.6875,0.0625,0.6875,0.0625,0.9992296578349538,0.31394039650617234,0.6875,-0.0
63659,0.8862283073922582,0.9859158925562762,0.38209748424361445,0.9846560610434916,0.8942903230373891,0.97317959509118,0.6348079073517814,0.6365338936921069,0.375,0.0,0.375,0.0,0.1875,0.1875,0.70301373486665,0.7581873817819723,0.375,0.0
63660,0.9188004926012252,0.9925094265492072,0.18098109723200426,0.9838693068211681,0.8266447373250874,0.9751253878408411,0.4847626667279047,0.5567554918643728,0.125,0.0,0.125,0.0,0.3125,0.1875,0.5861286895183899,0.7553673866461817,0.125,0.0
63661,0.7642409211584835,0.9945035314148529,0.11248103362840214,0.9822121802861765,0.8435086736622297,0.9531841098553764,0.5831567131446542,0.4220666636147944,0.375,0.0,0.5,0.0625,0.4375,0.0,0.9523855457371951,0.38922337409266017,0.30000000000000004,-0.0
63662,0.720042832830133,0.9938028924829571,0.17048620198492728,0.9851661872292291,0.7851495897285407,0.9468735559639188,0.5715386243511336,0.39724833437237916,0.4375,0.0,0.4375,0.0,0.5,0.0625,0.995171817699684,0.7433513252335343,0.4375,0.0
63663,0.753604950536863,0.9939123206834942,0.21193549032290016,0.9844660397779867,0.8191621061964679,0.9626538103617073,0.544994742584748,0.4889826407599388,0.4375,0.0,0.4375,0.0,0.3125,0.125,0.7528618632443926,0.4331955769777849,0.4375,0.0
