seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,event_count,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63291,clustered,16,early,0,0.0,3,-3.3934022107152395,0.0,0.2519173154582658,0.06476202564005498
63292,periodic,32,early,0,0.75,5,-5.095769326527064,0.0,0.3980237996326651,0.08160758051590677
63293,jittered,32,early,0,0.25,5,-0.49990792870510836,0.0,0.16841243122573432,0.06062438528927955
63294,bernoulli,32,early,0,1.0,5,-1.457134941118242,0.0,0.3694861845247784,0.10275322563293598
63295,clustered,32,early,0,0.5,5,-3.2309843540184833,0.0,0.204496390369093,0.11665850750468543
63296,periodic,64,early,0,0.0,10,-5.214654951931579,0.0,0.02833327802184896,0.09537569239845334
63297,jittered,64,early,0,0.75,10,-6.156132612019718,0.0,0.6101004401311936,0.09414864276851609
63298,bernoulli,64,early,0,0.25,10,-8.26122627901217,0.0,0.11775584326844732,0.057314796162880155
63299,clustered,64,early,0,1.0,10,-5.4478406294626565,0.0,0.6331288241718895,0.1737445170421768
63300,periodic,80,early,0,0.5,13,-2.803334825642533,0.0,0.7595361609244686,0.29053879885137723
63301,jittered,80,early,0,0.0,13,-10.446391012126394,0.0,0.3485089702537805,0.18572249569418398
63302,bernoulli,80,early,0,0.75,13,-9.72999119066416,0.0,0.359002689574881,0.10790433375957681
63303,clustered,80,early,0,0.25,13,-16.875178364829292,0.0,0.016434626092795224,0.0366317071036982
63304,periodic,16,middle,0,1.0,3,-2.5257577276685472,0.0,0.03864779904959083,0.030957946915629725
63305,jittered,16,middle,0,0.5,3,0.7008408176085614,0.0,0.2356022842473115,0.0898733171604531
63306,bernoulli,16,middle,0,0.0,3,-2.7954172351767803,0.0,0.18462477519548035,0.06326104362549045
63307,clustered,16,middle,0,0.75,3,-1.3366087797042343,0.0,0.5056442850455439,0.09659732500825696
63308,periodic,32,middle,0,0.25,5,-1.8775226029298646,0.0,0.25035235940331146,0.09615360703674525
63309,jittered,32,middle,0,1.0,5,-1.5644185960065518,0.0,0.31265298496358385,0.07414487471472253
63310,bernoulli,32,middle,0,0.5,5,-0.2899601942859982,0.0,0.2533400583729765,0.0742989237664411
63311,clustered,32,middle,0,0.0,5,-2.913778769155085,0.0,0.3081987929344948,0.06810438241679695
63312,periodic,64,middle,0,0.75,10,-6.6546271174887535,0.0,0.10228448286146051,0.06708311079721135
63313,jittered,64,middle,0,0.25,10,-3.5937134002269295,0.0,0.06290934695232361,0.03626491261274867
63314,bernoulli,64,middle,0,1.0,10,-4.814418398842719,0.0,0.1748450258712843,0.0668346939545284
63315,clustered,64,middle,0,0.5,10,-5.713173764027077,0.0,0.24039858230317912,0.08850520552700519
63316,periodic,80,middle,0,0.0,13,-8.28147540090031,0.0,0.44007867030718484,0.11251734559834459
63317,jittered,80,middle,0,0.75,13,-6.846513930903218,0.0,0.05044400872327678,0.11896190820672953
63318,bernoulli,80,middle,0,0.25,13,-5.1133630872588585,0.0,0.13960123156910723,0.08340153305926667
63319,clustered,80,middle,0,1.0,13,-5.750738200239425,0.0,0.14432759124705252,0.08102107021519803
63320,periodic,16,late,0,0.5,3,-0.6533109246613724,0.0,0.3427719535628963,0.08446957294108814
63321,jittered,16,late,0,0.0,3,-1.613814352875983,0.0,0.08872564818746981,0.04748598703328655
63322,bernoulli,16,late,0,0.75,3,-0.8828511524355731,0.0,0.08489125597807698,0.06167199039132032
63323,clustered,16,late,0,0.25,3,-0.8847116187520339,0.0,0.3110527552362907,0.07430355019420787
63324,periodic,32,late,0,1.0,5,-2.995740008038767,0.0,0.11321815724906845,0.039057147638014655
63325,jittered,32,late,0,0.5,5,-2.307248056710363,0.0,0.039953245529392334,0.03494465815546835
63326,bernoulli,32,late,0,0.0,5,-2.444571418553509,0.0,0.4126865790863038,0.16016063759869759
