seed,selected,posterior_entropy,maximum_update_identity_error,maximum_decomposition_error
778615,continuous_drift,0.6754055865172004,2.886579864025407e-15,1.4210854715202004e-14
778616,continuous_drift,1.2796369545618838,1.304512053934559e-15,1.4210854715202004e-14
778617,context_split,0.6061489080875433,1.3322676295501878e-15,1.4210854715202004e-14
778618,continuous_drift,0.34465099013421807,3.9968028886505635e-15,1.4210854715202004e-14
778619,change_point,1.161642633651491,1.3322676295501878e-15,1.4210854715202004e-14
778620,cue_local_relearning,1.0703088107109933,2.220446049250313e-15,1.4210854715202004e-14
778621,global_downweight,1.3264486687162917,1.7763568394002505e-15,1.4210854715202004e-14
778622,context_split,0.00349743451131829,6.439293542825908e-15,1.4210854715202004e-14
778623,continuous_drift,0.4549456609554325,3.9968028886505635e-15,7.105427357601002e-15
778624,continuous_drift,1.3163031738267978,6.661338147750939e-15,1.4210854715202004e-14
778625,context_split,1.1052115406842087,1.3322676295501878e-15,7.105427357601002e-15
778626,cue_local_relearning,1.0482861082313941,4.884981308350689e-15,1.4210854715202004e-14
778627,context_split,0.20680863404196012,2.220446049250313e-15,1.4210854715202004e-14
778628,continuous_drift,0.7450193244884363,2.6645352591003757e-15,2.842170943040401e-14
778629,change_point,0.6355043187173085,1.7763568394002505e-15,1.4210854715202004e-14
778630,cue_local_relearning,0.5587164785038132,4.440892098500626e-15,1.4210854715202004e-14
778631,cue_local_relearning,0.9514225513137605,1.3322676295501878e-15,1.4210854715202004e-14
778632,global_downweight,1.4329318173517658,1.1102230246251565e-15,1.4210854715202004e-14
778633,global_downweight,1.0243552089791346,2.886579864025407e-15,1.4210854715202004e-14
778634,change_point,0.5521446061557489,2.6645352591003757e-15,2.842170943040401e-14
778635,global_downweight,0.9415939187348067,3.552713678800501e-15,2.1316282072803006e-14
778636,continuous_drift,1.2461986209383558,1.3322676295501878e-15,1.4210854715202004e-14
778637,cue_local_relearning,1.0625678013077515,2.220446049250313e-15,7.105427357601002e-15
778638,global_downweight,0.7594732999512951,1.7763568394002505e-15,2.842170943040401e-14
778639,change_point,0.3285435870464245,1.7763568394002505e-15,7.105427357601002e-15
