seed,selected,heldout,transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
778711,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": -0.0856963101130237, ""heldout_log_per_observation"": [-2.280660351166021, -2.2648651860283486, -2.3505614961413723, -2.350618932661118, -2.7992160604961907], ""matched_comparators"": [""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.27668554988561556, 0.36423717565401875, 0.33014733740781793, 0.36401266824462364, 0.263565992109286]}",-0.45,0.0,0.0,-0.45,context_split,cue_local_relearning
778712,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.709317924766868, -2.611890629585151, -2.3924722987774194, -2.587743679869898, -2.674502790982327], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3491302420004634, 0.4524216573241729, 0.22300633418298307, 0.4319639553232071, 0.06509571277879976]}",-0.45,0.0,0.0,-0.45,continuous_drift,context_split
778713,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.2565487996040847, ""heldout_log_per_observation"": [-2.660652076621897, -2.5157401906241175, -2.4041032770178123, -2.4367233091982126, -2.4312640223504136], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2662092055756452, 0.34904258868952315, 0.24439649576347633, 0.32807871680674155, 0.07906692434498952]}",-0.44999999999999923,0.0,0.0,-0.44999999999999923,context_split,context_split
778714,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.015078336400288, -2.1244142678358253, -1.9183132859070975, -2.0905562182457587, -1.877296868267555], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.281614154621908, 0.3805029185375837, 0.21442810348526556, 0.3975816440812007, 0.158758405928918]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,global_downweight
778715,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.21018615595095635, ""heldout_log_per_observation"": [-2.704469119546804, -2.457620200935268, -2.4942829635958477, -2.2704125327432125, -2.423196907778138], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.41833818851927, 0.5127972531092304, 0.43498502171962145, 0.5219988628540906, 0.26825684197881555]}",-0.45,0.0,0.0,-0.45,continuous_drift,context_split
778716,change_point,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.3848897569988488, -2.185833295236101, -1.8718163870817, -2.019029308025365, -1.805491404382054], ""matched_comparators"": [], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.27431845193437226, 0.3652880864565291, 0.20446931841986382, 0.3609471434328166, 0.07240749542771963]}",0.44999999999999996,0.0,0.0,0.44999999999999996,change_point,context_split
778717,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.585063758490744, -2.626086009375234, -2.8420771718671105, -2.659684843582655, -3.3102137836344365], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4146580919247749, 0.5158501617019892, 0.3479608863015691, 0.49445172871832965, 0.2505026261528993]}",0.44999999999999996,0.0,0.0,0.44999999999999996,continuous_drift,continuous_drift
778718,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.272502120426636, ""heldout_log_per_observation"": [-2.132968569965711, -1.9947093170367198, -1.860466449539075, -2.072192794079114, -1.764041241083727], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.34243548093845844, 0.4292043869980339, 0.35089882968939823, 0.4240523454913883, 0.11546813431611291]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,context_split
778719,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.4753666079546406, ""heldout_log_per_observation"": [-2.5027585759904447, -2.289207513399764, -2.027391968035804, -2.2862529243000553, -1.964664243822181], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.35388652386311453, 0.4366277784551121, 0.33097995908396777, 0.4187337005917802, 0.1364335163004342]}",-0.44999999999999923,0.0,0.0,-0.44999999999999923,continuous_drift,continuous_drift
778720,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.0481543398077893, -2.2000168040388566, -1.7799877156948556, -2.123498645527852, -2.0936926315318987], ""matched_comparators"": [], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.30116780950227323, 0.3960630265779351, 0.21010400058364295, 0.3940667216179819, 0.08287188958695287]}",-0.45,0.0,0.0,-0.45,context_split,global_downweight
778721,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.1435841048073616, ""heldout_log_per_observation"": [-2.44923097751193, -2.475169405621223, -2.3056468727045685, -2.5559654470582007, -2.345447001232091], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2708769799538642, 0.3620727644648425, 0.25705682545583514, 0.3796442954910855, 0.19381156869236668]}",0.4499999999992039,0.0,0.0,0.4499999999992039,change_point,global_downweight
778722,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.7324759648339194, ""heldout_log_per_observation"": [-2.2319296030054323, -1.9237174373994348, -1.499453638171513, -1.5654627087512303, -1.4229575550456088], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.28401168999856424, 0.3742370552068511, 0.23740875167886502, 0.3716268223589463, 0.11693492102587129]}",0.4499999736387603,0.0,0.0,0.4499999736387603,continuous_drift,context_split
778723,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.17648037502763803, ""heldout_log_per_observation"": [-2.4271000006296672, -2.5275812971306664, -2.3511009221030283, -2.566637975861423, -2.620251232205275], ""matched_comparators"": [""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.3963564556095434, 0.5049827067067622, 0.47437999269162057, 0.5183754204256577, 0.5578125503994555]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,global_downweight
