seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
777255,context_split,context_split,0.5454962205396914,"[1.4074039752846512e-05, 0.0009717703546138935, 0.5454962205396914, 0.001496957093058835, 0.4520209779728831]",3.1086244689504383e-15,8.526512829121202e-14
777256,context_split,context_split,0.9999942344594004,"[1.4342716597086765e-12, 8.41439722941097e-09, 0.9999942344594004, 5.7571247682081155e-06, 2.2527385011709187e-20]",1.3766765505351941e-14,1.1368683772161603e-13
777257,context_split,context_split,0.9999999829986493,"[2.4466344924638307e-12, 9.229228911530951e-10, 0.9999999829986493, 1.6075981137364357e-08, 1.2130273896773307e-21]",7.993605777301127e-15,1.1368683772161603e-13
777258,context_split,context_split,0.999999576310631,"[2.901029250273911e-07, 7.121789636744499e-09, 0.999999576310631, 1.2646465443957109e-07, 8.145488936528967e-19]",8.881784197001252e-15,2.842170943040401e-14
777259,context_split,context_split,0.9999985086102281,"[1.3801999789806459e-06, 7.999281058883636e-08, 0.9999985086102281, 3.119698216238714e-08, 1.0442569354815946e-16]",9.325873406851315e-15,2.842170943040401e-14
777260,context_split,context_split,0.9998817773954471,"[8.983633820769283e-05, 2.292188957332421e-05, 0.9998817773954471, 5.464319727158779e-06, 5.704466961559302e-11]",6.217248937900877e-15,5.684341886080802e-14
777261,context_split,context_split,0.9942296812284889,"[6.372577793484033e-05, 0.005223397378367701, 0.9942296812284889, 0.0004831956152086879, 7.542223621046105e-23]",1.0658141036401503e-14,1.1368683772161603e-13
777262,context_split,context_split,0.995508110699997,"[0.00032043907529878083, 0.003861418387242509, 0.995508110699997, 0.00031003183739378935, 6.77892499898442e-14]",9.325873406851315e-15,8.526512829121202e-14
777263,context_split,context_split,0.9981380154866805,"[0.001238081800504512, 0.00048545215257934953, 0.9981380154866805, 0.0001384503729298265, 1.8730609396790573e-10]",5.773159728050814e-15,1.1368683772161603e-13
777264,context_split,context_split,0.8957442976866262,"[0.01055060587759858, 9.491883856374016e-05, 0.8957442976866262, 0.09360106420342378, 9.113393787653723e-06]",2.9976021664879227e-15,8.526512829121202e-14
777265,context_split,context_split,0.9999343591169928,"[3.2002657260693415e-09, 1.3780764610442802e-06, 0.9999343591169928, 6.425960628041541e-05, 9.380799300268863e-27]",1.2434497875801753e-14,8.526512829121202e-14
777266,context_split,context_split,0.9999131291785334,"[5.618053699244312e-12, 5.385325962352755e-07, 0.9999131291785334, 4.590536746618433e-05, 4.0426915786019347e-05]",5.329070518200751e-15,1.1368683772161603e-13
777267,context_split,context_split,0.9999988515500198,"[3.460376492336719e-07, 7.9195167325676e-07, 0.9999988515500198, 1.0460657668256109e-08, 1.535149885998402e-18]",1.0658141036401503e-14,8.526512829121202e-14
777268,context_split,context_split,0.9811325029909067,"[4.288796500817833e-05, 0.01661851916749279, 0.9811325029909067, 0.001046961806791448, 0.0011591280698006981]",3.1086244689504383e-15,1.4210854715202004e-13
777269,context_split,context_split,0.9999998273273011,"[2.1152907108553242e-10, 1.2881771955444336e-08, 0.9999998273273011, 1.5957882485496949e-07, 5.731826008580803e-13]",8.43769498715119e-15,1.1368683772161603e-13
777270,context_split,context_split,0.9998740291678704,"[2.8562304105033458e-05, 9.601721128898568e-05, 0.9998740291678704, 1.391316735614254e-06, 1.6351660937797908e-28]",1.0658141036401503e-14,8.526512829121202e-14
777271,context_split,context_split,0.9885718401887017,"[0.0022298221149387003, 0.009064418956133986, 0.9885718401887017, 0.0001339187402255598, 5.666475003644291e-17]",8.215650382226158e-15,8.526512829121202e-14
777272,context_split,context_split,0.9999998213420719,"[2.365435032929728e-14, 1.6358544016426929e-10, 0.9999998213420719, 1.7829515600100308e-07, 1.9916287880494507e-10]",5.773159728050814e-15,5.684341886080802e-14
777273,context_split,context_split,0.9998882949975344,"[5.7876207716386496e-05, 5.027520839549041e-05, 0.9998882949975344, 3.5535863536498184e-06, 3.192838842074481e-21]",1.021405182655144e-14,8.526512829121202e-14
777274,context_split,context_split,0.9999993834133256,"[7.255421321851467e-09, 2.558974010702133e-07, 0.9999993834133256, 3.5343385185402574e-07, 1.42420197676181e-23]",1.1102230246251565e-14,8.526512829121202e-14
777275,context_split,context_split,0.9999706239216136,"[1.3025652797930067e-08, 2.2822449777158655e-07, 0.9999706239216136, 2.9134821475499402e-05, 6.760404783590044e-12]",3.9968028886505635e-15,5.684341886080802e-14
