meta_state,gamma_min,gamma_max,gamma_l2_lr,policy_horizon,stable,dwell_times,precision_sign_changes,precision_amplitude,mean_dwell,max_dwell,refocus_count,policy_switches,gamma_l2_min,gamma_l2_max
high,0.5,8.0,1.8,12,False,1;1;1,40,7.5,1.0,1.0,3,6,0.5,8.0
low,0.5,8.0,1.8,12,False,3;3;3,40,7.5,3.0,3.0,15,6,0.5,8.0
high,0.5,8.0,2.2,1,False,2;1;1,40,7.5,1.3333333333333333,2.0,0,0,0.5,8.0
low,0.5,8.0,2.2,1,False,3;1;1,40,7.5,1.6666666666666667,3.0,0,0,0.5,8.0
high,0.5,8.0,2.2,3,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.2,3,False,3;3;3,40,7.5,3.0,3.0,6,6,0.5,8.0
high,0.5,8.0,2.2,5,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.2,5,False,3;3;3,40,7.5,3.0,3.0,9,6,0.5,8.0
high,0.5,8.0,2.2,8,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.2,8,False,3;3;3,40,7.5,3.0,3.0,15,6,0.5,8.0
high,0.5,8.0,2.2,12,False,2;2;2,40,7.5,2.0,2.0,9,6,0.5,8.0
low,0.5,8.0,2.2,12,False,3;3;3,40,7.5,3.0,3.0,18,6,0.5,8.0
high,0.5,8.0,2.8,1,False,2;1;1,40,7.5,1.3333333333333333,2.0,0,0,0.5,8.0
low,0.5,8.0,2.8,1,False,3;1;1,40,7.5,1.6666666666666667,3.0,0,0,0.5,8.0
high,0.5,8.0,2.8,3,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.8,3,False,3;3;3,40,7.5,3.0,3.0,6,6,0.5,8.0
high,0.5,8.0,2.8,5,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.8,5,False,3;3;3,40,7.5,3.0,3.0,9,6,0.5,8.0
high,0.5,8.0,2.8,8,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.8,8,False,3;3;3,40,7.5,3.0,3.0,15,6,0.5,8.0
high,0.5,8.0,2.8,12,False,2;2;2,40,7.5,2.0,2.0,6,6,0.5,8.0
low,0.5,8.0,2.8,12,False,3;3;3,40,7.5,3.0,3.0,18,6,0.5,8.0
high,0.8,10.0,0.0,1,True,3;1;1,0,0.0,1.6666666666666667,3.0,0,0,0.8,0.8
low,0.8,10.0,0.0,1,True,1;1;1,0,0.0,1.0,1.0,0,0,10.0,10.0
high,0.8,10.0,0.0,3,True,3;3;3,0,0.0,3.0,3.0,3,6,0.8,0.8
low,0.8,10.0,0.0,3,True,1;1;1,0,0.0,1.0,1.0,3,6,10.0,10.0
high,0.8,10.0,0.0,5,True,3;3;3,0,0.0,3.0,3.0,9,6,0.8,0.8
low,0.8,10.0,0.0,5,True,1;1;1,0,0.0,1.0,1.0,3,6,10.0,10.0
high,0.8,10.0,0.0,8,True,3;3;3,0,0.0,3.0,3.0,9,6,0.8,0.8
low,0.8,10.0,0.0,8,True,1;1;1,0,0.0,1.0,1.0,3,6,10.0,10.0
high,0.8,10.0,0.0,12,True,3;3;3,0,0.0,3.0,3.0,15,6,0.8,0.8
low,0.8,10.0,0.0,12,True,1;1;1,0,0.0,1.0,1.0,3,6,10.0,10.0
high,0.8,10.0,0.3,1,True,1;1;1,0,4.199998128159106,1.0,1.0,0,0,0.8,4.999998128159106
low,0.8,10.0,0.3,1,True,3;1;1,0,9.14999592206091,1.6666666666666667,3.0,0,0,0.8500040779390898,10.0
high,0.8,10.0,0.3,3,True,1;1;1,0,4.199998128159106,1.0,1.0,3,6,0.8,4.999998128159106
low,0.8,10.0,0.3,3,True,3;3;3,0,9.14999592206091,3.0,3.0,3,6,0.8500040779390898,10.0
high,0.8,10.0,0.3,5,True,1;1;1,0,4.199998128159106,1.0,1.0,3,6,0.8,4.999998128159106
low,0.8,10.0,0.3,5,True,3;3;3,0,9.14999592206091,3.0,3.0,9,6,0.8500040779390898,10.0
high,0.8,10.0,0.3,8,True,1;1;1,0,4.199998128159106,1.0,1.0,3,6,0.8,4.999998128159106
low,0.8,10.0,0.3,8,True,3;3;3,0,9.14999592206091,3.0,3.0,9,6,0.8500040779390898,10.0
high,0.8,10.0,0.3,12,True,1;1;1,0,4.199998128159106,1.0,1.0,3,6,0.8,4.999998128159106
low,0.8,10.0,0.3,12,True,3;3;3,0,9.14999592206091,3.0,3.0,15,6,0.8500040779390898,10.0
high,0.8,10.0,0.8,1,True,1;1;1,0,4.2,1.0,1.0,0,0,0.8,5.0
low,0.8,10.0,0.8,1,True,3;1;1,0,9.15,1.6666666666666667,3.0,0,0,0.85,10.0
high,0.8,10.0,0.8,3,True,1;1;1,0,4.2,1.0,1.0,3,6,0.8,5.0
low,0.8,10.0,0.8,3,True,3;3;3,0,9.15,3.0,3.0,3,6,0.85,10.0
