seed,model,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,BLTGlobal,natural,1,7,0.0003073385971324719,0.0010651128154400748,0.9980508656831368,0.0005766829042904205,0.0018827412229210502,0.00023636466614085025,0.9930395178972524,0.004841376213685519
11,BLTGlobal,natural,1,8,0.0003534001239469661,0.00023275479990089856,0.9992081170447364,0.0002057280314160135,0.0004901552954904338,7.197905445535044e-5,0.9967418831094244,0.0026959825406301075
11,BLTGlobal,natural,1,9,0.0001728595192058275,0.0001608136857940756,0.9993514678565104,0.00031485893848977005,0.0003653575170658455,6.065036619727998e-5,0.9978883418437007,0.0016856502730362966
11,BLTGlobal,natural,1,10,0.00029856189855485225,0.00014383384599209306,0.9994069308111122,0.0001506734443408981,0.0010035155789909372,0.0001388066433175654,0.9976320631705549,0.0012256146071367776
11,BLTGlobal,natural,1,11,7.310288553093584e-5,6.98430039087203e-5,0.9997869780456774,7.007606488293711e-5,0.005003772670312921,0.001106542208235087,0.9930044639672762,0.0008852211541757616
11,BLTGlobal,natural,1,12,7.219366808734413e-5,6.939914817729318e-5,0.9997891393563926,6.926782734312055e-5,0.0050543154980030825,0.001105492604840466,0.9930572216514415,0.0007829702457152059
11,BLTGlobal,natural,1,13,0.00028949830505022847,0.00014472831426932335,0.9994268422670555,0.00013893111362524023,0.001211219838431551,0.00014503317898729442,0.9978223819477996,0.0008213650347818852
11,BLTGlobal,natural,1,14,0.00014512725171894928,0.00028600451372065366,0.9994299663673518,0.0001389018672085164,0.0007572821837212577,0.00010345943075510925,0.9983599237923023,0.0007793345932213355
11,BLTGlobal,natural,1,15,7.481026215791492e-5,7.400610688304392e-5,0.9997800676552162,7.11159757429608e-5,0.001819284381413708,0.0005722799860844219,0.9968874933587547,0.0007209422737472585
11,BLTGlobal,natural,1,16,0.0003070230338036885,0.00013939922116108845,0.9994144551330147,0.00013912261202044128,0.00040160498470246487,9.800006084179177e-5,0.9987395770502161,0.0007608179042396327
11,BLTGlobal,natural,1,17,0.00032596618030087955,0.00014338949727727188,0.9993880450174089,0.0001425993050130353,0.00016341471761179444,6.185898613004777e-5,0.9989865256519861,0.0007882006442721067
11,BLTGlobal,natural,1,18,0.0003134346494655169,0.00015232790772738423,0.9993907142818443,0.00014352316096268088,0.00012611410386871412,5.6617678194975944e-5,0.998942120133978,0.0008751480839582133
11,BLTGlobal,natural,1,19,0.00015297726740205256,0.0003245545345848957,0.999377455260231,0.00014501293778198336,0.00013454933411911812,6.133832491409305e-5,0.9987189701670962,0.0010851421738705751
11,BLTGlobal,natural,1,20,0.00014932926161357455,0.0003533008586104637,0.9993487588853185,0.00014861099445759004,0.00021759392617816463,7.560750347481842e-5,0.9981537101892053,0.001553088381141765
11,BLTGlobal,natural,1,21,0.0001563342241335996,0.000352700885602005,0.9993336106297825,0.00015735426048208844,0.0007038010654434584,0.00015673809117515932,0.9965688515601346,0.0025706092832469625
11,BLTGlobal,natural,1,22,0.00012915841963743598,0.00012416992586846424,0.9996067272888278,0.00013994436566627488,0.0035633637799932483,0.001142368676902805,0.9905994439189124,0.004694823624191508
11,BLTGlobal,natural,1,23,0.0007923681379983613,0.0004337401797028252,0.9976198772806608,0.0011540144016378869,0.0027704283948800177,0.0009887618165207094,0.986369665138935,0.009871144649664317
11,BLTGlobal,natural,1,24,0.007834343967721763,0.0029392353259413847,0.9859684531406601,0.003257967565676659,0.006025257243781672,0.003814877624872142,0.9703923810445587,0.019767484086787353
11,BLTGlobal,probe,1,1,0.0022888607360368983,0.0015387028000347592,0.9946595010019244,0.0015129354620038314,0.475593657354931,0.45802820429585667,0.028575916783766468,0.03780222156544565
11,BLTGlobal,probe,1,2,0.0039262253696045035,0.0006704102716640261,0.9947713866299209,0.0006319777288108187,0.4609090147554148,0.48775739397293383,0.01438307749153847,0.03695051378011313
11,BLTGlobal,probe,1,3,0.0008167270545939245,0.0003298188886640948,0.998591420325718,0.00026203373102379727,0.4913316213082277,0.46157586425790803,0.016060965789508073,0.031031548644356036
11,BLTGlobal,probe,1,4,0.0014148506325654664,0.0005475759676164442,0.9976920496109081,0.000345523788910168,0.4916480194708041,0.4523734816024078,0.018063298812365035,0.037915200114423224
11,BLTGlobal,probe,1,5,0.013829453825940773,0.002777201178945688,0.9819114924029707,0.0014818525921425968,0.45530566142972195,0.45454242279992046,0.020423786489482912,0.06972812928087442
11,BLTGlobal,probe,1,6,0.8233281241924507,0.024490157964245664,0.14555717258590503,0.006624545257398412,0.3194342929150726,0.469118268926287,0.02099296019040957,0.19045447796823067
11,BLTGlobal,probe,1,7,0.7966616997412869,0.07717513242265649,0.11479311026668494,0.01137005756937164,0.11216367403591947,0.5319604309736242,0.019852160951161726,0.33602373403929453
11,BLTGlobal,probe,1,8,0.31093674935961146,0.6176054922956642,0.05429371182582884,0.017164046518895575,0.049322343154729324,0.5067714675855175,0.03265681301359055,0.4112493762461627
11,BLTGlobal,probe,1,9,0.19630263976074594,0.7389116773341977,0.033038935569457056,0.031746747335599394,0.031041826556244313,0.49120497433532095,0.030255045349914144,0.4474981537585207
11,BLTGlobal,probe,1,10,0.17671737824129835,0.7841040224110625,0.02220354542886239,0.016975053918776777,0.0365155350451005,0.4314662819356598,0.05230077936996669,0.4797174036492732
11,BLTGlobal,probe,1,11,0.26981628945488095,0.6923170242705082,0.02261568539151239,0.015251000883098578,0.018713093266001884,0.34024613954129546,0.07820791419039697,0.5628328530023058
11,BLTGlobal,probe,1,12,0.4149934601380836,0.5248124856863348,0.03926461399030215,0.02092944018527957,0.015755665468926535,0.16717698792155736,0.09969814230072235,0.7173692043087938
11,BLTGlobal,probe,1,13,0.33353724717063926,0.548598366451788,0.08679928304727619,0.031065103330296245,0.0060256532672162445,0.09897287545137695,0.11836911503564293,0.7766323562457637
11,BLTGlobal,probe,1,14,0.13332399287716962,0.7250566344535565,0.06418390132421642,0.07743547134505765,0.00433057873737286,0.08350559244283945,0.11912584303183978,0.793037985787948
11,BLTGlobal,probe,1,15,0.0622418219480464,0.8419115878306365,0.07028663757171746,0.025559952649599593,0.006101729740819052,0.03260103465980477,0.1740764146878198,0.7872208209115563
11,BLTGlobal,probe,1,16,0.040960355318913746,0.8849831072227852,0.05671341256730628,0.017343124890994696,0.010611218135897823,0.027123471409923453,0.1828164417033083,0.7794488687508704
11,BLTGlobal,probe,1,17,0.046960060743701335,0.853777723344379,0.0782197463402435,0.0210424695716763,0.005025141537031666,0.017017601796652827,0.18144213619554392,0.7965151204707717
11,BLTGlobal,probe,1,18,0.03381387227863748,0.8007144817267691,0.13643820932351192,0.029033436671081488,0.003750658766844501,0.022425067499390994,0.15620763020095016,0.8176166435328143
11,BLTGlobal,probe,1,19,0.03254206169185244,0.7075421810465365,0.21030451131340117,0.049611245948209745,0.0043234657819430245,0.08688402553230157,0.05850330239633167,0.8502892062894237
11,BLTGlobal,probe,1,20,0.03969842701035677,0.6205926813668554,0.24158551554014795,0.09812337608264016,0.0055940930645505225,0.09646076295278919,0.03809934939599872,0.8598457945866619
11,BLTGlobal,probe,1,21,0.054249661901937356,0.41475635435978997,0.4222324205486199,0.10876156318965294,0.017869172074021458,0.0988642383007919,0.031560133162893356,0.8517064564622936
11,BLTGlobal,probe,1,22,0.0872533413038338,0.3808950215169739,0.3769952779832347,0.15485635919595747,0.01984006852807726,0.1023707188667738,0.02670938157152309,0.8510798310336257
11,BLTGlobal,probe,1,23,0.06983852922232156,0.4112238377589028,0.20061295379467675,0.3183246792240989,0.044601727829059995,0.09863286716738623,0.03382374552875132,0.8229416594748025
11,BLTGlobal,probe,1,24,0.07015685191132018,0.6048031552146651,0.1507011417002567,0.17433885117375802,0.0885661303147411,0.11086477950606385,0.052918647745839986,0.747650442433355
