seed,regime,dominance,depth,correct_2d,loss_2d,loss_1d,scalar_truth
702445,self_led_witnessing,0.0,1.0,true,0.00013938889291909595,0.500117372191817,0.5
702445,known_urgent_threat,1.0,1.0,true,0.0001411874397833786,7.60377540668805e-5,1.0
702446,quiet_narrowing,0.0,0.0,true,1.8298952765626787e-5,1.4861741609671195e-6,0.0
702446,blended_capture,1.0,0.0,true,0.000607762849241079,0.5001539710329375,0.5
702446,self_led_witnessing,0.0,1.0,true,0.0008358933482324474,0.5007967222681102,0.5
702446,known_urgent_threat,1.0,1.0,true,0.0002546605985580551,0.00025436792792355426,1.0
702447,quiet_narrowing,0.0,0.0,true,0.0007945453262162258,5.619813938577758e-5,0.0
702447,blended_capture,1.0,0.0,true,0.0011001917254317925,0.5000009569489525,0.5
702447,self_led_witnessing,0.0,1.0,true,7.151554675822724e-5,0.500029145744371,0.5
702447,known_urgent_threat,1.0,1.0,true,0.0005808791639976787,0.0004005371275142971,1.0
702448,quiet_narrowing,0.0,0.0,true,0.0003092134103545986,0.00011339807095205306,0.0
702448,blended_capture,1.0,0.0,true,0.0002463800201362637,0.5000000597460867,0.5
702448,self_led_witnessing,0.0,1.0,true,0.0002898710202544754,0.5001887602755885,0.5
702448,known_urgent_threat,1.0,1.0,true,0.0006840857068170132,0.00016771437154565447,1.0
702449,quiet_narrowing,0.0,0.0,true,0.0004213711558943277,0.00020590252319923396,0.0
702449,blended_capture,1.0,0.0,true,0.0009474439304997656,0.5001651878990047,0.5
702449,self_led_witnessing,0.0,1.0,true,0.0005173178313740347,0.5000001533262884,0.5
702449,known_urgent_threat,1.0,1.0,true,0.0004570813338236758,8.062674022207137e-5,1.0
702450,quiet_narrowing,0.0,0.0,true,0.00022996321639211237,2.8179557094017983e-5,0.0
702450,blended_capture,1.0,0.0,true,0.0003190346138146245,0.5003185971052416,0.5
702450,self_led_witnessing,0.0,1.0,true,0.0008967880558803136,0.5002148183078506,0.5
702450,known_urgent_threat,1.0,1.0,true,9.431180181482071e-6,1.4831043224693423e-7,1.0
702451,quiet_narrowing,0.0,0.0,true,9.755556889666626e-5,2.7842443801266196e-6,0.0
