seed,disposition,scaffold,positive_without_scaffold,permission_episode,root_episode,permission_before_root,descent,root_change
709473,trustworthy,none,true,0,0,false,false,0.0
709474,trustworthy,coupled,false,5,7,true,true,0.47800245043984635
709474,trustworthy,decoupled,false,0,0,false,false,0.0
709474,neutral,coupled,false,5,0,true,false,0.009411094885212523
709474,neutral,decoupled,false,0,0,false,false,0.0
709474,adverse,coupled,false,0,0,false,false,0.0
709474,adverse,decoupled,false,0,0,false,false,0.0
709474,trustworthy,none,true,0,0,false,false,0.0
709475,trustworthy,coupled,false,4,6,true,true,0.4731535886188105
709475,trustworthy,decoupled,false,0,0,false,false,0.0
709475,neutral,coupled,false,16,20,true,true,0.1523451124815869
709475,neutral,decoupled,false,0,0,false,false,0.0
709475,adverse,coupled,false,0,0,false,false,0.0
709475,adverse,decoupled,false,0,0,false,false,0.0
709475,trustworthy,none,true,0,0,false,false,0.0
709476,trustworthy,coupled,false,5,7,true,true,0.4779931161704274
709476,trustworthy,decoupled,false,0,0,false,false,0.0
709476,neutral,coupled,false,23,0,true,false,0.1103819496323426
709476,neutral,decoupled,false,0,0,false,false,0.0
709476,adverse,coupled,false,0,0,false,false,0.0
709476,adverse,decoupled,false,0,0,false,false,0.0
709476,trustworthy,none,true,0,0,false,false,0.0
709477,trustworthy,coupled,false,4,6,true,true,0.4823822082540068
709477,trustworthy,decoupled,false,0,0,false,false,0.0
709477,neutral,coupled,false,21,0,true,false,0.020331079475773173
709477,neutral,decoupled,false,0,0,false,false,0.0
709477,adverse,coupled,false,0,0,false,false,0.0
709477,adverse,decoupled,false,0,0,false,false,0.0
709477,trustworthy,none,true,0,0,false,false,0.0
709478,trustworthy,coupled,false,9,11,true,true,0.4477650624968915
709478,trustworthy,decoupled,false,0,0,false,false,0.0
709478,neutral,coupled,false,4,6,true,false,0.05752448559578727
709478,neutral,decoupled,false,0,0,false,false,0.0
709478,adverse,coupled,false,0,0,false,false,0.0
709478,adverse,decoupled,false,0,0,false,false,0.0
709478,trustworthy,none,true,0,0,false,false,0.0
709479,trustworthy,coupled,false,8,10,true,true,0.4595450654569472
709479,trustworthy,decoupled,false,0,0,false,false,0.0
709479,neutral,coupled,false,13,18,true,true,0.2857813311404481
709479,neutral,decoupled,false,0,0,false,false,0.0
709479,adverse,coupled,false,8,0,true,false,-0.02560201324274025
709479,adverse,decoupled,false,0,0,false,false,0.0
709479,trustworthy,none,true,0,0,false,false,0.0
709480,trustworthy,coupled,false,12,14,true,true,0.4331837417573604
709480,trustworthy,decoupled,false,0,0,false,false,0.0
709480,neutral,coupled,false,0,0,false,false,0.0
709480,neutral,decoupled,false,0,0,false,false,0.0
709480,adverse,coupled,false,0,0,false,false,0.0
709480,adverse,decoupled,false,0,0,false,false,0.0
709480,trustworthy,none,true,0,0,false,false,0.0
709481,trustworthy,coupled,false,4,8,true,true,0.4620011228026153
709481,trustworthy,decoupled,false,0,0,false,false,0.0
709481,neutral,coupled,false,22,24,true,true,0.15198494916367244
709481,neutral,decoupled,false,0,0,false,false,0.0
709481,adverse,coupled,false,0,0,false,false,0.0
709481,adverse,decoupled,false,0,0,false,false,0.0
709481,trustworthy,none,true,0,0,false,false,0.0
