seed,selected,heldout,transfer,raw_transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
783737,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.12408648163868286, ""heldout_log_per_observation"": [-1.9911125346366179, -2.110760143531434, -1.867026052997935, -2.033739099504734, -2.0621272759055946], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.342104702013017, 0.4477023395906427, 0.28547509821592726, 0.4419926200482256, 0.251824986931976]}",0.3999999999971675,0.3999999999971675,0.0,0.0,0.3999999999971675,global_downweight,global_downweight
783738,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": 0.10064813069610956, ""heldout_log_per_observation"": [-2.559373732135951, -2.4453918750072816, -2.3313596193371975, -2.432007750033307, -2.3786206165317196], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.368748705160763, 0.452855199302502, 0.386493575886475, 0.46539887784770745, 0.19195120536175184]}",0.39999999999999614,0.39999999999999614,0.0,0.0,0.39999999999999614,cue_local_relearning,cue_local_relearning
783739,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.11593405228487885, ""heldout_log_per_observation"": [-1.6205087571980519, -1.708892009323768, -1.504574704913173, -1.7713184453606257, -3.7096775943075606], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.32810894359023024, 0.4147833371320138, 0.22262508247264504, 0.40693491484723604, 0.10029247223887396]}",0.4,0.4,0.0,0.0,0.4,cue_local_relearning,context_split
783740,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.14908992394801057, ""heldout_log_per_observation"": [-2.0234419860277457, -2.016897139664259, -1.8678072157162484, -2.0763171570897265, -3.052490471925731], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.36139499945804676, 0.46320393606247084, 0.3390628319072284, 0.47380833169018216, 0.2708772133045617]}",0.4,0.4,0.0,0.0,0.4,cue_local_relearning,change_point
783741,change_point,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.004912391695248708, ""heldout_log_per_observation"": [-1.2985645163498898, -1.3958924584470704, -1.1653748965826036, -1.340465101824753, -1.160462504887355], ""matched_comparators"": [""change_point""], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.31587984000548036, 0.4026000013692532, 0.15276031224068526, 0.38381765452398503, 0.0694971984185067]}",0.0,0.0,0.0,0.0,0.0,change_point,continuous_drift
783742,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.03646687533590676, ""heldout_log_per_observation"": [-1.9925199244832124, -1.8891217169099699, -1.5490435351307514, -1.9004413299259966, -1.5855104104666582], ""matched_comparators"": [""global_downweight"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.29497587358283356, 0.4024501592975072, 0.26786883585032956, 0.37063275071423485, 0.15975981940514297]}",0.3999999999999997,0.3999999999999997,0.0,0.0,0.3999999999999997,context_split,context_split
783743,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.22516421575899948, ""heldout_log_per_observation"": [-2.5356322644316664, -2.3209786028287107, -2.150017759076836, -2.166886080979416, -2.3751819748358356], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.34308416391103963, 0.44836979509999203, 0.22936291296685565, 0.46215230557163217, 0.16872425686314577]}",0.3999999997705622,0.3999999997705622,0.0,0.0,0.3999999997705622,context_split,context_split
783744,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.415309287316326, ""heldout_log_per_observation"": [-2.6322337386690897, -2.4153244938196847, -2.2169244513527637, -2.2909004985279884, -2.257977227210427], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.31437837265336727, 0.4202806249885269, 0.2571478860444473, 0.4225334842551706, 0.02089911385182656]}",0.4,0.4,0.0,0.0,0.4,context_split,change_point
783745,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": -0.24764152424188168, ""heldout_log_per_observation"": [-2.422257901531337, -2.3735135052201697, -2.6211550294620514, -2.5151230795263038, -3.107719778778497], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.294082204418115, 0.3862160839291497, 0.30089550869661547, 0.4044114060784285, 0.06956081962265331]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783746,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.07572252351208508, ""heldout_log_per_observation"": [-2.6979475148952696, -2.541826262544946, -2.466103739032861, -2.6793913624960473, -2.1273895963643614], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.28622020105341844, 0.39171881890682997, 0.2933512656184599, 0.38685688693911174, 0.07561237864402344]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
