seed,truth,nearest_family,nearest_complexity_gap,complexity_per_observation
781072,global_downweight,context_split,0.009191877816391858,"[0.28321292030678985, 0.3600798587412722, 0.274021042490398, 0.3894250772314165, 0.24397941204164195]"
781073,global_downweight,cue_local_relearning,0.07568108517127226,"[0.3450701033346993, 0.42075118850597154, 0.24579822060391687, 0.44616590729313144, 0.036881894612528894]"
781074,global_downweight,context_split,0.028596359801876303,"[0.3082654623137752, 0.3913502395227431, 0.2796691025118989, 0.41618292955448594, 0.07879256695390903]"
781075,global_downweight,continuous_drift,0.07066369032216935,"[0.30196537364417764, 0.37564083427760037, 0.20697696616836814, 0.372629063966347, 0.13307021151608867]"
781076,global_downweight,context_split,0.003228979301180379,"[0.23728089813283262, 0.317943241003696, 0.23405191883165224, 0.34042074842797243, 0.12508298785712274]"
781077,global_downweight,context_split,0.05034384421964805,"[0.2746327386631095, 0.36055485803307136, 0.22428889444346145, 0.3627984781930042, 0.06093117363714709]"
781078,global_downweight,context_split,0.02082431283645131,"[0.3280608897087732, 0.4255601069444464, 0.30723657687232186, 0.4494458187523836, 0.25875585676384055]"
781079,global_downweight,context_split,0.0018464929195426694,"[0.2505728338435842, 0.3253174266775206, 0.24872634092404153, 0.3307690102443744, 0.2472039107737827]"
781080,global_downweight,continuous_drift,0.053705661045495345,"[0.266597788100781, 0.3411805150320238, 0.18236599141789614, 0.32030344914627634, 0.10810899803782342]"
781081,global_downweight,change_point,0.00017938983761695004,"[0.2771534188349005, 0.3565533292499668, 0.26469984750148734, 0.34978557200766086, 0.2769740289972836]"
781082,global_downweight,change_point,0.005849274930905701,"[0.28079490507884314, 0.36184199116194643, 0.25209558134215443, 0.3558142286529453, 0.27494563014793744]"
781083,global_downweight,change_point,0.04409802804198937,"[0.3141305451044078, 0.3952483449092008, 0.2644759026116974, 0.40553964153163186, 0.27003251706241843]"
781084,global_downweight,context_split,0.07025074430067318,"[0.21189706763520574, 0.28891036045536495, 0.14164632333453256, 0.30623782218403245, 0.04200073839247637]"
781085,global_downweight,change_point,0.0054665809138198795,"[0.24564756865643242, 0.3288565610460898, 0.2670353652191697, 0.3433670300622258, 0.2511141495702523]"
781086,global_downweight,context_split,0.03301370237352247,"[0.2734111514199857, 0.35689642016632056, 0.2403974490464632, 0.3679768237633032, 0.1897158541383811]"
781087,global_downweight,context_split,0.004725540058782285,"[0.2354436544431097, 0.30995958987561095, 0.2307181143843274, 0.32881543892911924, 0.12954706759384021]"
781088,global_downweight,context_split,0.07476914227104334,"[0.314654837231467, 0.39904362670087207, 0.23988569496042364, 0.42148253073433195, 0.15692753637828716]"
781089,global_downweight,change_point,0.029245532925303436,"[0.27018115909842305, 0.3656685540342866, 0.2292782465081524, 0.3721485972735032, 0.24093562617311962]"
781090,global_downweight,context_split,0.025735514234168533,"[0.2623617652105129, 0.34273093412758077, 0.23662625097634438, 0.36591151310193964, 0.16912414783472254]"
781091,global_downweight,cue_local_relearning,0.07367362764838437,"[0.33202488262729324, 0.4056985102756776, 0.25595555976924006, 0.42156007197760986, 0.15726505737636684]"
781092,global_downweight,continuous_drift,0.0660887562131443,"[0.2820052016937588, 0.3712388135264635, 0.16263790928852753, 0.3480939579069031, 0.11094360436122798]"
781093,global_downweight,context_split,0.013765093246634108,"[0.3964398138592358, 0.4750968182368462, 0.3826747206126017, 0.46696181898841077, 0.3184777408877713]"
781094,global_downweight,change_point,0.05254897889375493,"[0.2072097583112432, 0.28330030267319334, 0.15305841768630632, 0.2983329436544329, 0.15466077941748826]"
781095,global_downweight,context_split,0.08886999263266901,"[0.28224371292561906, 0.3793971884004342, 0.19337372029295005, 0.3759455681650808, 0.06059119205225915]"
781096,global_downweight,cue_local_relearning,0.0832381830147334,"[0.36707585308410146, 0.45031403609883486, 0.20569237036571528, 0.45502783983461054, 0.11465689320204679]"
781097,global_downweight,context_split,0.050976823395778526,"[0.313797296928087, 0.3965357305062726, 0.2628204735323085, 0.40090475299642253, 0.23360049611920672]"
781098,global_downweight,context_split,0.034489183922717215,"[0.3056300284569508, 0.37922588787212086, 0.2711408445342336, 0.40423743961165154, 0.11030743746402094]"
781099,global_downweight,context_split,0.041468014104178,"[0.298647319048635, 0.38140258041660496, 0.257179304944457, 0.400594915137411, 0.1767439657418075]"
781100,cue_local_relearning,continuous_drift,0.01438972805435701,"[0.2679937386597216, 0.3461641292100312, 0.2070376690971252, 0.3605538572643882, 0.09700502306674912]"
781101,cue_local_relearning,continuous_drift,0.022859624880329665,"[0.3193874236982326, 0.40365051755391074, 0.2328483557307938, 0.4265101424342404, 0.0693987059745552]"
781102,cue_local_relearning,continuous_drift,0.015466544822431039,"[0.2620190957221522, 0.3402284562443974, 0.16507302703556095, 0.35569500106682844, 0.06441823955604037]"
781103,cue_local_relearning,continuous_drift,0.013440753222217883,"[0.3187609102793128, 0.3883950012590151, 0.30278150940080856, 0.401835754481233, 0.24166277810663353]"
781104,cue_local_relearning,continuous_drift,0.012926560281954269,"[0.2763258154235026, 0.3605202797387604, 0.18575975522505117, 0.37344684002071465, 0.031240832565100168]"
781105,cue_local_relearning,continuous_drift,0.009147049307670907,"[0.3860206711815568, 0.4647646747374321, 0.34096488608468084, 0.473911724045103, 0.3114117504032879]"
781106,cue_local_relearning,continuous_drift,0.0283833975542519,"[0.18322412265739937, 0.2633855752019672, 0.12634008303852615, 0.2917689727562191, 0.026342491184494287]"
781107,cue_local_relearning,continuous_drift,0.007439729510865467,"[0.2996058605625643, 0.39064707175632024, 0.2729159408667354, 0.3980868012671857, 0.16775849718948843]"
781108,cue_local_relearning,continuous_drift,0.01455613114625981,"[0.3422503084596383, 0.4212305630001254, 0.33117479675302414, 0.4357866941463852, 0.37921939724226594]"
781109,cue_local_relearning,continuous_drift,0.022699299409792373,"[0.24528217910617225, 0.3215490608258637, 0.24477782737689546, 0.3442483602356561, 0.1744126598505951]"
781110,cue_local_relearning,continuous_drift,0.024533598677412782,"[0.30566077767523, 0.3934716904734899, 0.14744840882064705, 0.4180052891509027, 0.0374888472651864]"
781111,cue_local_relearning,continuous_drift,0.014341235796529128,"[0.2298260625077602, 0.3115183900226924, 0.18923613832607267, 0.3258596258192215, 0.0935137912779165]"
781112,cue_local_relearning,continuous_drift,0.009312807263672562,"[0.25495226926234765, 0.3323092380085122, 0.2046056307730754, 0.34162204527218476, 0.11265819194836844]"
781113,cue_local_relearning,continuous_drift,0.016662752899454236,"[0.227890830688063, 0.3176499525826363, 0.25439935128996144, 0.3343127054820905, 0.18572505471784942]"
