seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count
790711,64,48,False,True,0.02337662337662337,0.9766233766233766,0.0069994127850804815,0.9930005872149196,3.39580359192654,1.2225404316548367,0.0,3.250976813302908,-0.34624226370634326,1.0191769289371844,-0.42771368878802085,1.0317512542637775,1.4174835805211277,2.436911002429638,0.002,1.8334932327817806,False,0.8801454526383883,0.11985454736161176,0.30856917145124896,0.691430828548751,4,0.0851063829787234,9.6,38,0.10416666666666667,0.10416666666666667,0.4615384615384615,1.0,28
790711,96,72,False,True,0.011392405063291136,0.9886075949367089,0.009634172754297341,0.9903658272457027,1.184602630051703,0.16940738506061237,0.0,2.957535023269072,-0.2763628407471915,1.092706770002005,-0.4052642794198096,1.1382574437305157,1.8604333545363763,3.1729607851826547,0.011,1.0971016687326958,False,0.8801454526383883,0.11985454736161176,0.30856917145124896,0.691430828548751,8,0.11267605633802817,8.0,46,0.1111111111111111,0.1111111111111111,0.5687134502923977,0.9534883720930233,43
790712,32,24,False,True,0.07258064516129031,0.9274193548387097,0.24820972007101727,0.7517902799289828,0.2370405196907132,-1.4395241833014396,0.0,2.312207198072624,0.47047591415369516,1.019374719047937,0.3679265736489661,1.9222171945308753,2.2608726149232794,3.0509040923986768,0.049,0.05133458314934458,False,0.8098791621337182,0.19012083786628167,0.11474440536506106,0.885255594634939,2,0.08695652173913043,8.0,13,0.08333333333333333,0.08333333333333333,-0.15476190476190477,0.9411764705882353,17
790712,64,48,False,True,0.02337662337662337,0.9766233766233766,0.006078736956106505,0.9939212630438935,3.9137519359850903,1.3644964883207873,0.0,6.129487540720755,2.0478005450708503,1.8409448149874799,1.992496328842022,4.477656530614121,5.100949029011046,6.813282628241666,0.017,1.0285385117097094,False,0.8098791621337182,0.19012083786628167,0.11474440536506106,0.885255594634939,6,0.1276595744680851,6.857142857142857,13,0.08333333333333333,0.08333333333333333,0.29395604395604397,0.8611111111111112,36
790712,96,72,True,True,0.011392405063291136,0.9886075949367089,2.754896512609017e-08,0.9999999724510349,418298.3720011479,12.94395026548188,0.0,12.504774907101776,4.404154326873514,2.497255584003376,4.2578098814808705,7.633098836061773,8.686747450096638,10.545910247560526,0.002,3.8180274570051385,True,0.8098791621337182,0.19012083786628167,0.11474440536506106,0.885255594634939,11,0.15492957746478872,6.0,14,0.16666666666666666,0.16666666666666666,0.5254629629629629,0.9056603773584906,53
790713,32,24,False,False,0.07258064516129031,0.9274193548387097,0.00643150088291092,0.9935684991170891,12.09010713504216,2.4923875260466746,0.0,-0.05043149699133043,-0.08035788460450957,1.1455227336943188,-0.12406043182320015,1.403079787483594,2.0385916191605697,2.954645964337222,0.465,-2.0890231161519,False,0.7540061382288227,0.24599386177117724,0.3792112974064106,0.6207887025935894,6,0.2608695652173913,3.4285714285714284,8,0.20833333333333334,0.20833333333333334,0.7,0.8235294117647058,17
790713,64,48,True,True,0.02337662337662337,0.9766233766233766,1.2114713811162115e-11,0.9999999999878854,1975793286.2121708,21.40423581855904,0.0,3.0894970816462983,2.7574978643596078,3.008957968525306,2.8541269016283413,6.5345735029014955,7.718065777983639,9.841303945332875,0.469,-4.62856869633734,False,0.7540061382288227,0.24599386177117724,0.3792112974064106,0.6207887025935894,17,0.3617021276595745,2.6666666666666665,8,0.3541666666666667,0.3541666666666667,0.30033670033670035,0.8857142857142857,35
790713,96,72,True,True,0.011392405063291136,0.9886075949367089,9.648549084340213e-17,0.9999999999999999,119434409042171.97,32.41378845830309,0.0,6.454491431043509,4.207748727473604,3.880515108396486,4.101204298320707,9.028539129212742,10.593446462788501,14.148248865650636,0.284,-4.138955031744992,False,0.7540061382288227,0.24599386177117724,0.3792112974064106,0.6207887025935894,25,0.352112676056338,2.769230769230769,8,0.3888888888888889,0.3888888888888889,0.34761904761904755,0.8679245283018868,53
790714,32,24,False,True,0.07258064516129031,0.9274193548387097,0.57888271974836,0.4211172802516399,0.05693209248975176,-2.865896081209776,0.0,0.33451987908885217,0.42200495387944786,0.922390134491743,0.2868988938271708,1.7191437996799939,2.189444559744478,2.9219040282036763,0.471,-1.8549246806556257,False,0.9006624724105879,0.0993375275894122,0.012994536971857304,0.9870054630281427,0,0.0,24.0,24,0.0,0.0,0.0,0.9375,16
790714,64,48,False,False,0.02337662337662337,0.9766233766233766,0.4849400847485325,0.5150599152514674,0.025422855707267326,-3.67210667856808,0.0,-0.16070837820855988,0.028697510113057927,1.1528259541115757,0.011150309616170473,1.4859362833139833,1.98357841055603,2.9119595475476734,0.56,-2.14428678876459,False,0.9006624724105879,0.0993375275894122,0.012994536971857304,0.9870054630281427,0,0.0,48.0,48,0.0,0.0,0.0,0.9285714285714286,28
790714,96,72,False,False,0.011392405063291136,0.9886075949367089,0.2822467144583072,0.7177532855416928,0.02930473305240608,-3.530006238380132,0.0,0.1362626350680598,0.1774938209719367,1.4257874977240896,0.11254587136433214,2.0515433295583336,2.5294390226450343,3.63600626327357,0.487,-2.3931763875769745,False,0.9006624724105879,0.0993375275894122,0.012994536971857304,0.9870054630281427,0,0.0,72.0,72,0.0,0.0,0.0,0.9047619047619048,42
790715,32,24,True,True,0.07258064516129031,0.9274193548387097,9.671819344074388e-05,0.9999032818065592,809.0856283749674,6.695904756172993,0.0,2.5364520293856136,1.0202839585364405,1.4411474631591612,0.9696040147699396,2.9383696854511863,3.484368425183722,4.404992261712379,0.15,-0.9479163957981083,False,0.7912581579189881,0.2087418420810119,0.3966994817288314,0.6033005182711685,6,0.2608695652173913,3.4285714285714284,12,0.25,0.25,0.3,0.9411764705882353,17
790715,64,48,True,True,0.02337662337662337,0.9766233766233766,8.171676882621616e-13,0.9999999999991829,29291625888.50095,24.100567506265946,0.0,6.329152240833052,1.3623429429328147,2.8548737545096534,1.4186944038497298,4.911717169526143,5.796593179896228,7.9284267462556475,0.029,0.5325590609368236,True,0.7912581579189881,0.2087418420810119,0.3966994817288314,0.6033005182711685,13,0.2765957446808511,3.4285714285714284,12,0.4166666666666667,0.4166666666666667,0.3978835978835979,0.9411764705882353,34
790715,96,72,True,True,0.011392405063291136,0.9886075949367089,3.3211096995593765e-18,1.0,3469830455029683.5,35.78288212745376,0.0,8.541086579091528,1.7647406683262017,3.4571235894641146,1.6700069162854994,6.239023028585549,7.5392591455569775,10.047347884336338,0.03,1.001827433534551,True,0.7912581579189881,0.2087418420810119,0.3966994817288314,0.6033005182711685,18,0.2535211267605634,3.789473684210526,12,0.3888888888888889,0.3888888888888889,0.402056277056277,0.96,50
790716,32,24,False,False,0.07258064516129031,0.9274193548387097,2.1292410508716273e-06,0.9999978707589491,36755.21045253395,10.512035275612336,0.0,0.863669621019121,-0.5059800837240697,1.697094368960572,-0.43277522482522857,1.6214856064832932,2.170358966852148,3.00384934689657,0.224,-1.3066893458330269,False,0.8068310940855004,0.19316890591449967,0.2747676297414482,0.7252323702585518,6,0.2608695652173913,3.4285714285714284,7,0.3333333333333333,0.3333333333333333,0.7833333333333333,1.0,16
790716,64,48,True,True,0.02337662337662337,0.9766233766233766,3.719069980291988e-11,0.9999999999628093,643606340.7980433,20.28259782511297,0.0,0.9330536566320491,0.7195968656090245,2.631577006911448,0.731060437168713,4.151624899046627,5.079101549663826,6.934218366886501,0.465,-4.146047893031777,False,0.8068310940855004,0.19316890591449967,0.2747676297414482,0.7252323702585518,14,0.2978723404255319,3.2,8,0.3541666666666667,0.3541666666666667,0.49126984126984125,0.9714285714285714,35
790716,96,72,True,True,0.011392405063291136,0.9886075949367089,4.808498236801146e-15,0.9999999999999952,2396525279312.9326,28.505041003920645,0.0,3.8646304791427744,3.9917209636526105,3.5651156247632745,3.9286916769940605,8.351665342110262,10.006967872278155,12.518284844930452,0.511,-6.142337393135381,False,0.8068310940855004,0.19316890591449967,0.2747676297414482,0.7252323702585518,19,0.2676056338028169,3.6,8,0.3611111111111111,0.3611111111111111,0.42471833721833724,0.9629629629629629,54
790717,32,24,False,False,0.07258064516129031,0.9274193548387097,0.3832246815637523,0.6167753184362477,0.1259558036560195,-2.071824198197729,0.0,-0.6277079790037905,0.16203696642091214,1.0146208339033518,-0.017624118540179534,1.7666215352873051,2.060798460782742,2.6234869922685533,0.769,-2.6885064397865324,False,0.9235760828666081,0.07642391713339186,0.015773540296374716,0.9842264597036252,0,0.0,24.0,24,0.0,0.0,0.0,0.9333333333333333,15
790717,64,48,False,False,0.02337662337662337,0.9766233766233766,0.20348924210714242,0.7965107578928575,0.09369250619737532,-2.367737069484878,0.0,-0.8066496095667528,0.22410186788894046,1.349489804293493,0.2534037383065122,1.9433464495179265,2.5153333843077306,3.3525437014229595,0.742,-3.3219829938744834,False,0.9235760828666081,0.07642391713339186,0.015773540296374716,0.9842264597036252,2,0.0425531914893617,16.0,42,0.020833333333333332,0.020833333333333332,0.8,0.9354838709677419,31
790717,96,72,False,False,0.011392405063291136,0.9886075949367089,0.19142221067569834,0.8085777893243017,0.04867668070194289,-3.0225551992610686,0.0,-1.4483783902079426,1.21191380085042,1.9067451549746914,1.3542897596377474,3.5410585095940563,4.212537635889357,6.022118365512236,0.9,-5.6609160260973,False,0.9235760828666081,0.07642391713339186,0.015773540296374716,0.9842264597036252,4,0.056338028169014086,14.4,42,0.041666666666666664,0.041666666666666664,0.30952380952380953,0.9019607843137255,51
790718,32,24,False,False,0.07258064516129031,0.9274193548387097,0.4710129691378765,0.5289870308621235,0.08789351405709128,-2.431629264759857,0.0,-0.623588400426963,-0.3094835511035706,0.8676391160126522,-0.4437957852818539,0.9180760241522271,1.2644321026902503,2.523792514294355,0.573,-1.8880205031172133,False,0.9834375314025071,0.01656246859749279,0.2108741607580723,0.7891258392419276,0,0.0,24.0,24,0.0,0.0,0.0,0.85,20
790718,64,48,False,False,0.02337662337662337,0.9766233766233766,0.5704786457604767,0.42952135423952337,0.018021877455885748,-4.016168844888018,0.0,-1.5749196657053677,-0.9406139139079003,1.032049468890589,-1.1543386920133059,0.35385789691540315,1.1144888171823135,2.4094044893193343,0.711,-2.689408482887681,False,0.9834375314025071,0.01656246859749279,0.2108741607580723,0.7891258392419276,0,0.0,48.0,48,0.0,0.0,0.0,0.9230769230769231,39
790718,96,72,False,False,0.011392405063291136,0.9886075949367089,0.5269946109112811,0.473005389088719,0.010343115877601415,-4.571434113168477,0.0,-1.740247470111526,-0.8876648921442354,1.0544399426898066,-1.1066040419078844,0.41700891359053327,1.1854501112528875,2.6098533887019073,0.812,-2.9256975813644135,False,0.9834375314025071,0.01656246859749279,0.2108741607580723,0.7891258392419276,0,0.0,72.0,72,0.0,0.0,0.0,0.9107142857142857,56
790719,32,24,True,True,0.07258064516129031,0.9274193548387097,9.071182965317322e-06,0.9999909288170348,8627.337795496975,9.062691253925756,0.0,4.9198114579992716,2.786139316873265,1.9705505543957844,2.6878643421720767,5.464527065357899,6.082592810385693,7.269889877093613,0.152,-1.1627813523864212,False,0.6016039060629172,0.39839609393708275,0.2977136846686389,0.7022863153313611,5,0.21739130434782608,4.0,12,0.3333333333333333,0.3333333333333333,0.5611111111111111,1.0,20
