seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count,population
788567,32,24,True,True,0.07258064516129031,0.9274193548387097,8.830701519908709e-07,0.999999116929848,88623.53718891004,11.39215275807237,0.0,1.6140533976177003,0.6949531655824139,1.7805114469606198,0.7334341362295953,2.9241228222009603,3.5142050668972584,4.907512738401248,0.313,-1.9001516692795581,False,0.8674085009244856,0.13259149907551426,0.1507694808862143,0.8492305191137858,5,0.21739130434782608,4.0,7,0.3333333333333333,0.3333333333333333,0.5888888888888889,1.0,19,consumed_v243_genuine_noncriterial
788568,32,24,True,True,0.07258064516129031,0.9274193548387097,1.1159627420927047e-06,0.9999988840372578,70128.49020590467,11.158084412793649,0.0,4.610975026514936,-0.9810069514036276,2.072686954190392,-0.9304512070341704,1.7287422117869855,2.351684561607231,3.7333336154613592,0.003,2.259290464907705,True,0.8304987868778414,0.1695012131221587,0.46857593048077073,0.5314240695192292,7,0.30434782608695654,3.0,6,0.4166666666666667,0.4166666666666667,0.5444444444444445,0.9444444444444444,18,consumed_v243_genuine_noncriterial
788569,32,24,False,False,0.07258064516129031,0.9274193548387097,0.6303147155304685,0.3696852844695315,0.04590070819416203,-3.0812747329679535,0.0,-1.412159969277695,-0.8509285117215005,1.0578943776622873,-1.1921397396027569,0.6922564957319607,1.0985751365851746,1.9600885670065482,0.586,-2.5107351058628695,False,0.9705461348650766,0.02945386513492337,0.523633846548653,0.47636615345134703,0,0.0,24.0,24,0.0,0.0,0.0,0.8947368421052632,19,consumed_v243_genuine_noncriterial
788570,32,24,True,True,0.07258064516129031,0.9274193548387097,8.808179527983106e-09,0.9999999911918205,8885021.998842219,15.999877495520803,0.0,2.4019230649356693,1.7748228659466834,2.109119577776698,1.8393714161274746,4.412969946887063,5.141552076766345,6.585241752453243,0.403,-2.739629011830676,False,0.7021128354537598,0.29788716454624015,0.4834992294818847,0.5165007705181154,9,0.391304347826087,2.4,6,0.375,0.2916666666666667,0.3333333333333333,0.9523809523809523,21,consumed_v243_genuine_noncriterial
788571,32,24,False,True,0.07258064516129031,0.9274193548387097,0.8958831304138625,0.10411686958613754,0.009095245209556825,-4.700003506456653,0.0,-0.7868471794092513,-0.4083228015913125,0.7444280719233155,-0.7083314040194133,1.025777684932993,1.545560566901881,1.7490862871779873,0.608,-2.3324077463111323,False,0.8069019962380998,0.1930980037619001,0.009188349406817233,0.9908116505931828,0,0.0,24.0,24,0.0,0.0,0.0,0.9523809523809523,21,consumed_v243_genuine_noncriterial
788572,32,24,True,True,0.07258064516129031,0.9274193548387097,0.0005327678451013429,0.9994672321548987,146.81662080320277,4.989184330501696,0.0,4.137680110527079,-0.5490747303975857,1.0450894919998102,-0.4958101272409481,0.7401072043007947,1.306138618286941,2.8064500686897405,0.002,2.8315414922401376,True,0.9523925966352966,0.047607403364703496,0.3130939517876726,0.6869060482123275,1,0.043478260869565216,12.0,21,0.125,0.125,0.7142857142857143,1.0,20,consumed_v243_genuine_noncriterial
788573,32,24,False,False,0.07258064516129031,0.9274193548387097,1.4541012789212517e-11,0.999999999985459,5382078311.776085,22.4063404398283,0.0,-1.1032756664429249,3.5305647039153816,2.26827588819195,3.485927627236725,6.4588480566001145,7.263793614261129,8.599198487933874,0.98,-8.367069280704055,False,0.885215155999721,0.11478484400027898,0.05366917361762616,0.946330826382374,1,0.043478260869565216,12.0,15,0.375,0.375,0.6444444444444444,1.0,23,consumed_v243_genuine_noncriterial
788574,32,24,True,True,0.07258064516129031,0.9274193548387097,5.283988842312455e-07,0.9999994716011158,148109.37446645251,11.905706296473118,3.009265538105056e-36,6.428027426915559,2.3764157772603873,1.734187541273779,2.4563161647439724,4.634628037558176,5.167069596587702,6.386483804098271,0.009,1.2609578303278575,True,0.7182437845255183,0.2817562154744817,0.38595600534277735,0.6140439946572226,9,0.391304347826087,2.4,5,0.375,0.20833333333333334,0.6825396825396827,1.0,20,consumed_v243_genuine_noncriterial
788575,32,24,True,True,0.07258064516129031,0.9274193548387097,6.258908521425278e-11,0.999999999937411,1250391650.4358425,20.946722659534725,0.0,8.593440830853664,2.069912624323899,2.447856463244114,2.130795867876613,5.29751130393546,5.932449921137023,7.508612478327727,0.003,2.6609909097166415,True,0.8069262699977249,0.19307373000227504,0.10198403954040076,0.8980159604595993,4,0.17391304347826086,4.8,11,0.4166666666666667,0.4166666666666667,0.7000000000000001,0.9545454545454546,22,consumed_v243_genuine_noncriterial
788576,32,24,True,True,0.07258064516129031,0.9274193548387097,3.504237177797062e-05,0.999964957628222,2233.2428756414056,7.711210012446514,0.0,1.043248933183641,-0.22236274639647216,1.7491622637097424,-0.18850807830714333,2.015181979896088,2.5633985975654543,3.4943768147395993,0.247,-1.5201496643818133,False,0.8315715712388341,0.1684284287611659,0.35972898504273443,0.6402710149572656,8,0.34782608695652173,2.6666666666666665,8,0.375,0.375,0.3888888888888889,0.8947368421052632,19,consumed_v243_genuine_noncriterial
788577,32,24,False,True,0.07258064516129031,0.9274193548387097,0.0742889724926658,0.9257110275073341,0.9752046306198023,-0.025107952446731918,0.0,1.394307985922239,-0.2153036625143305,1.0909982679315988,-0.2038029099595502,1.1948522944362538,1.5723526421345588,2.381768513729995,0.072,-0.1780446562123199,False,0.829158173353082,0.17084182664691802,0.05805236382191934,0.9419476361780806,4,0.17391304347826086,4.8,14,0.16666666666666666,0.16666666666666666,0.5952380952380952,0.95,20,consumed_v243_genuine_noncriterial
788578,32,24,False,False,0.07258064516129031,0.9274193548387097,1.2569780120394198e-05,0.9999874302198797,6226.034591990984,8.736494907039923,0.0,0.4318809047857779,3.5696226286754182,1.7525445811340072,3.563481700176886,5.804915397355099,6.581990200791521,7.581002976004232,0.962,-6.150109296005743,False,0.7371345392848699,0.26286546071513006,0.11080126135248425,0.8891987386475158,3,0.13043478260869565,6.0,16,0.16666666666666666,0.16666666666666666,0.8412698412698413,0.9047619047619048,21,consumed_v243_genuine_noncriterial
788579,32,24,True,True,0.07258064516129031,0.9274193548387097,3.0007018744807155e-10,0.9999999996999299,260808546.85131654,19.37929715914895,0.0,7.340987050958844,2.6524250092804547,2.415348332940907,2.6404500615480795,5.791828677175705,6.565730887293295,7.972778140605627,0.028,0.7752561636655493,True,0.7717848785535266,0.22821512144647343,0.1462199644747407,0.8537800355252593,8,0.34782608695652173,2.6666666666666665,6,0.4583333333333333,0.375,0.5777777777777778,1.0,21,consumed_v243_genuine_noncriterial
788580,32,24,False,False,0.07258064516129031,0.9274193548387097,1.0580636213048552e-07,0.9999998941936379,739661.2047601107,13.5139475289383,0.0,0.7719578117361302,-1.0335240839043975,2.1266135499504095,-0.9413351184253114,1.6124268804789443,2.3203569724924122,3.6630849219486885,0.197,-1.548399160756282,False,0.8625662243551051,0.13743377564489476,0.21015265891737722,0.7898473410826229,4,0.17391304347826086,4.8,9,0.2916666666666667,0.2916666666666667,0.5333333333333333,0.9411764705882353,17,consumed_v243_genuine_noncriterial
788581,32,24,False,False,0.07258064516129031,0.9274193548387097,1.165825897156833e-06,0.9999988341741028,67129.04432602493,11.114372080663205,0.0,1.155824960303386,-0.6862669594595479,2.174600391205582,-0.6459316633811882,2.080242407237188,2.905934233171865,3.9039971014557615,0.206,-1.750109272868479,False,0.7625051085665354,0.23749489143346447,0.35063939005082106,0.649360609949179,5,0.21739130434782608,4.0,9,0.375,0.375,0.5555555555555555,0.8888888888888888,18,consumed_v243_genuine_noncriterial
788582,32,24,True,True,0.07258064516129031,0.9274193548387097,8.974577603550885e-09,0.9999999910254224,8720284.376603344,15.9811624073492,0.0,2.628526455666533,-1.094192575628218,2.170035019542793,-1.071119364598475,1.6435218409295502,2.427503018786769,3.547727152516272,0.041,0.20102343687976365,True,0.8211592695596142,0.17884073044038593,0.2408632110632878,0.7591367889367123,3,0.13043478260869565,6.0,9,0.5,0.5,0.5,0.8421052631578947,19,consumed_v243_genuine_noncriterial
788583,32,24,True,True,0.07258064516129031,0.9274193548387097,3.0564043786593235e-05,0.9999694359562133,2560.475248072408,7.847948164022219,0.0,4.684040722675839,1.1930121396822977,1.5903788596849184,1.088556734652801,3.2837213002030428,3.9386302650764944,4.953931329224067,0.016,0.7454104575993443,True,0.6002371135428404,0.3997628864571595,0.19087367336621244,0.8091263266337876,2,0.08695652173913043,8.0,12,0.2916666666666667,0.2916666666666667,0.5,1.0,19,consumed_v243_genuine_noncriterial
788584,32,24,True,True,0.07258064516129031,0.9274193548387097,1.2966819681766998e-12,0.9999999999987033,60354714174.949745,24.823504895357193,0.0,4.587366972765455,0.5204992351214442,2.44196269910566,0.6102734505837559,3.5006917052734217,4.262329929818847,6.427834838876912,0.041,0.32503704294660807,True,0.8785659149059803,0.12143408509401964,0.13053674726993322,0.8694632527300667,5,0.21739130434782608,4.0,8,0.4583333333333333,0.4583333333333333,0.5833333333333334,1.0,20,consumed_v243_genuine_noncriterial
788585,32,24,False,True,0.07258064516129031,0.9274193548387097,0.06884829879511094,0.9311517012048891,1.058453776037251,0.05680914133103254,0.0,2.231081244130207,1.035347271512122,1.343163203400978,0.9841690479164572,2.8511742420713944,3.2765049820075323,4.451890376559745,0.201,-1.0454237378773255,False,0.7591024182044702,0.24089758179552967,0.0971740192558369,0.9028259807441631,2,0.08695652173913043,8.0,14,0.041666666666666664,0.041666666666666664,0.7142857142857143,0.95,20,consumed_v243_genuine_noncriterial
788586,32,24,True,True,0.07258064516129031,0.9274193548387097,4.324285548440726e-07,0.9999995675714453,180979.80544139212,12.106140731876323,0.0,2.3611764236660018,1.6511272873388327,2.2187723794328975,1.6793133743401558,4.466939382188636,5.2210916483004,6.595455195859564,0.39,-2.8599152246343986,False,0.535002183721313,0.46499781627868697,0.23488635905375743,0.7651136409462426,10,0.43478260869565216,2.1818181818181817,5,0.4166666666666667,0.3333333333333333,0.39365079365079364,0.9,20,consumed_v243_genuine_noncriterial
