bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.7,0.692,0.116,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.212,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.308,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.404,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.5,0.9999999258759601,0.0753003532419306,3.2107598640697405e-8,self
0.8,0.7,0.692,0.596,0.9999999224713573,0.07530035410087886,3.358233776997e-8,self
0.8,0.7,0.692,0.692,0.9999999166321626,0.07530035557405121,3.611164574303123e-8,self
0.8,0.7,0.692,0.788,0.9999999087680393,0.07530035755809335,3.951807257378085e-8,self
0.8,0.7,0.692,0.884,0.9999998990878286,0.0753003600003169,4.3711156633097945e-8,self
0.8,0.7,0.692,0.98,0.9999998877362214,0.07530036286421785,4.862822352573819e-8,self
0.8,0.7,0.788,0.02,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.116,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.212,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.308,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.404,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.5,0.9999999492313624,0.0753003473495892,2.1990963130611755e-8,self
0.8,0.7,0.788,0.596,0.9999999466744498,0.07530034799467342,2.309851641220982e-8,self
0.8,0.7,0.788,0.692,0.9999999415917208,0.07530034927699661,2.530015336528631e-8,self
0.8,0.7,0.788,0.788,0.9999999344573577,0.07530035107692716,2.8390476964822137e-8,self
0.8,0.7,0.788,0.884,0.9999999255607745,0.07530035332144884,3.22441245284715e-8,self
0.8,0.7,0.788,0.98,0.9999999150916218,0.07530035596271463,3.6778946992831594e-8,self
0.8,0.7,0.884,0.02,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.116,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.212,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.308,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.404,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.5,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.596,0.9999999704360965,0.07530034199984119,1.2805912077353721e-8,self
0.8,0.7,0.884,0.692,0.99999996595464,0.07530034313046895,1.474710151516325e-8,self
0.8,0.7,0.884,0.788,0.999999959400965,0.07530034478389735,1.758589399706484e-8,self
0.8,0.7,0.884,0.884,0.9999999510848397,0.07530034688197493,2.118811014217493e-8,self
0.8,0.7,0.884,0.98,0.9999999412841646,0.07530034935459007,2.5433374538444068e-8,self
0.8,0.7,0.98,0.02,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.116,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.212,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.308,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.404,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.5,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.596,0.9999999939348493,0.07530033607133509,2.6271830541905116e-9,self
0.8,0.7,0.98,0.692,0.9999999899346173,0.07530033708055453,4.359925114228552e-9,self
0.8,0.7,0.98,0.788,0.9999999837954746,0.0753003386294003,7.019158553973786e-9,self
0.8,0.7,0.98,0.884,0.9999999759399539,0.07530034061127155,1.0421858990606575e-8,self
0.8,0.7,0.98,0.98,0.9999999666334866,0.07530034295920261,1.4453052088583707e-8,self
0.8,1.0,0.02,0.02,0.9999997425247332,0.07575122299602605,1.1156487326897101e-7,self
0.8,1.0,0.02,0.116,0.9999997334193859,0.07575122530584552,1.1551025027787973e-7,self
0.8,1.0,0.02,0.212,0.9999997212351411,0.07575122839671132,1.2078972368276545e-7,self
0.8,1.0,0.02,0.308,0.9999997054639913,0.07575123239749368,1.276234149551068e-7,self
0.8,1.0,0.02,0.404,0.9999996855114562,0.0757512374589988,1.3626891431785027e-7,self
0.8,1.0,0.02,0.5,0.9999996604979393,0.07575124380436082,1.471073539965548e-7,self
0.8,1.0,0.02,0.596,0.9999996292285191,0.07575125173670456,1.6065649743711454e-7,self
0.8,1.0,0.02,0.692,0.9999995899483173,0.07575126170120382,1.776767394870621e-7,self
0.8,1.0,0.02,0.788,0.9999995401810886,0.07575127432602727,1.992410456373824e-7,self
0.8,1.0,0.02,0.884,0.9999994763571043,0.07575129051673665,2.2689619171150948e-7,self
