seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63630,0.5762182796591575,0.9152407570721203,0.5243220857243331,0.9453267079838698,0.7894329563203722,0.8349025611380759,0.6594963127692396,0.5689095342929731,0.4375,0.0,0.375,0.0,0.5625,0.1875,0.9848434712311204,0.7471214272264299,0.375,0.0
63631,0.8277828278931854,0.963815326996619,0.20875981050870943,0.915497165259832,0.781386778009545,0.7598503544585851,0.47697194039564716,0.44815462210854573,0.3125,0.0,0.3125,0.0,0.3125,0.0,0.7532272482375416,0.24393620849301437,0.3125,0.0
63632,0.7238464560557392,0.9367646225358115,0.4833703171932731,0.9429624025117346,0.6851260539587033,0.8503024417024116,0.4501029268067179,0.45818158290201233,0.25,0.0,0.25,0.0,0.375,0.125,0.24350236499448902,0.08574990233357783,0.25,0.0
63633,0.7855605336149821,0.913031232491013,0.16222127562574074,0.9493521830153011,0.7886720292414121,0.9077258968691377,0.5692315646439242,0.4386980114906544,0.5,0.0,0.5,0.0,0.5,0.0,0.994904439673632,0.5288957098907878,0.5,0.0
63634,0.801420276028266,0.9574910393459335,0.5623179788568837,0.9528767746128605,0.7501274296776,0.7209099970543088,0.44868225610846807,0.4712930940219885,0.1875,0.0,0.1875,0.0,0.25,0.0625,0.06777179492631352,0.05330310384836111,0.1875,0.0
63635,0.824226661061988,0.9650737596576225,0.5467314660058384,0.8966933013839193,0.7134611929970177,0.908534684317556,0.567894652533766,0.4184248492914167,0.4375,0.0,0.4375,0.0625,0.5,0.125,0.9904942564941273,0.6783289892773814,0.3263888888888889,-0.0
63636,0.7743941367945315,0.9648034482122514,0.1673651221841403,0.9548274359123927,0.7627354893341545,0.8041345960122328,0.6007582585282055,0.49587586567653286,0.5,0.0,0.5,0.0,0.5625,0.0625,0.9731500441390017,0.1731521820005953,0.5,0.0
63637,0.8213596822445692,0.795156066341845,0.20528359815717678,0.9423878662336331,0.7640958146867947,0.839282385175756,0.5575197815447966,0.4782979144301933,0.4375,0.0,0.5,0.0625,0.625,0.1875,0.9742919645800819,0.39272181479475854,0.38888888888888884,-0.0
63638,0.840192172505652,0.953601672153115,0.20027037964035527,0.9238708358480924,0.7117475197298916,0.8499531741917056,0.4641602818890703,0.4146297080889397,0.25,0.0,0.25,0.0,0.4375,0.1875,0.9669344284347321,0.9102027119575974,0.25,0.0
63639,0.7656773148348986,0.9388242873675834,0.6265915305751496,0.9516440177990568,0.7671342401867561,0.9220634200137298,0.7732274640865477,0.4526105206282117,0.8125,0.0,0.75,0.0,0.75,0.0,0.999942638693937,0.22519275517673162,0.75,0.0
63640,0.8245269087172604,0.9673133492611654,0.26610292061404917,0.8754400690552661,0.7691755560617701,0.9159475900293512,0.4778922223824597,0.47745523586874433,0.125,0.0,0.1875,0.0625,0.25,0.125,0.12409372727181918,0.273491206853134,0.11607142857142858,-0.0
