seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63076,periodic,80,middle,1,0.75,-1.036118575524653,0.1009082225808526,0.6893446116329562,0.04734045395941178
63077,jittered,80,middle,1,0.25,-1.915633809082041,0.1009082225808526,0.6915344486166441,0.05864425967607667
63078,bernoulli,80,middle,1,1.0,1.164646398978725,0.1009082225808526,0.7279749396154274,0.04343590226207206
63079,clustered,80,middle,1,0.5,-0.10124338485800735,-0.6528635797955276,0.6808594000725657,0.041551689608187226
63080,periodic,16,late,1,0.0,-0.35191377058954215,-0.6528635797955276,0.49132465999223346,0.03343155043105628
63081,jittered,16,late,1,0.75,0.22561756201034688,0.1009082225808526,0.5233306783304782,0.03273151285041742
63082,bernoulli,16,late,1,0.25,-2.2762916525046717,0.1009082225808526,0.37049719887269406,0.0419480225607301
63083,clustered,16,late,1,1.0,-0.12772339746041309,0.1009082225808526,0.47806299354924975,0.04134170284559985
63084,periodic,32,late,1,0.5,-0.8418612110228626,0.1009082225808526,0.5403158883459475,0.04504186321906417
63085,jittered,32,late,1,0.0,-3.301812696822905,0.1009082225808526,0.40685680450894046,0.049500291224737425
63086,bernoulli,32,late,1,0.75,1.0581946705341871,-0.6528635797955276,0.6338379587215719,0.056334155593805446
63087,clustered,32,late,1,0.25,-0.6332193272825143,0.1009082225808526,0.5638810471959858,0.041881256078320495
63088,periodic,64,late,1,1.0,1.7624539401409556,0.1009082225808526,0.7428020376828641,0.04789679488650844
63089,jittered,64,late,1,0.5,-1.3759343557769212,-0.6528635797955276,0.7245686015891472,0.03763003667538867
63090,bernoulli,64,late,1,0.0,-2.9101999399197664,0.1009082225808526,0.7076709094675196,0.055195559480036294
63091,clustered,64,late,1,0.75,0.8397873410559427,0.1009082225808526,0.7433573841767933,0.04466278189750039
63092,periodic,80,late,1,0.25,-2.488052683826374,0.1009082225808526,0.7347969024218264,0.05929899396283134
63093,jittered,80,late,1,1.0,0.595554805392498,0.1009082225808526,0.7143863732583082,0.03667649531292838
63094,bernoulli,80,late,1,0.5,0.9178230111267742,0.1009082225808526,0.6925078983107034,0.04174995636869211
63095,clustered,80,late,1,0.0,-0.9482905694877046,0.1009082225808526,0.6449679204012928,0.058811110427918645
63096,periodic,16,early,3,0.75,0.8409290336347425,0.3027246677425578,0.6795606379948294,0.14097726560894464
63097,jittered,16,early,3,0.25,0.39767680344847384,0.3027246677425578,0.627391287123217,0.10856117330467818
63098,bernoulli,16,early,3,1.0,1.180876578215891,0.3027246677425578,0.5675311077083486,0.08419809073094509
63099,clustered,16,early,3,0.5,-1.895722602699331,0.3027246677425578,0.4804692175542574,0.05481770043685574
63100,periodic,32,early,3,0.0,-2.2176452195192096,0.3027246677425578,0.5326711805344915,0.05154524630326757
63101,jittered,32,early,3,0.75,0.9131094479388292,-0.45104713463382234,0.6044549454716879,0.04113873692259151
63102,bernoulli,32,early,3,0.25,-1.6969938878042277,0.3027246677425578,0.5446434111481719,0.04338417903645864
63103,clustered,32,early,3,1.0,1.543464424605577,0.3027246677425578,0.7297167569124002,0.0753662701211878
63104,periodic,64,early,3,0.5,-0.31272281100410915,-0.45104713463382234,0.6709014277812473,0.053082511386216835
63105,jittered,64,early,3,0.0,-3.2084045894099837,-0.4510471346338224,0.554898576100393,0.057513302519759835
