seed,stage,episode,world,model,arm,guide_regime,contact_mode,packets,interventions,contact,pseudo_observations,selected_channels,packet_signature,contact_signature,replay_exact
17001,43A,35,joint,factorized_replay,replay,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43A,35,joint,shuffled_replay,replay,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43A,35,joint,learned_joint,precision_blind,none,present,2,0,1,0,4;2,-1.7760874595140528;-0.13581107186763572;-2.4803857540071945;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43A,35,factorized,factorized,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43A,35,factorized,factorized,random,none,present,2,2,1,0,2;4,-0.13581107186763572;-1.7760874595140528;1.2248479346816945;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43A,35,configuration_violating,learned_joint,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;0.02391254048594746;-0.05060141688119402;-0.6803857540071948,218;71;34;125;249;236;242;63,true
17001,43A,35,configuration_violating,factorized_replay,replay,none,present,2,0,1,0,1;4,-0.56538695987134;0.02391254048594746;-0.05060141688119402;-0.6803857540071948,218;71;34;125;249;236;242;63,true
17001,stress,35,coordinated_precision,adaptive_global,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,stress,35,coordinated_precision,rigid_global,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,stress,35,coordinated_precision,independent_local,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,stress,35,local_deviation,adaptive_global,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,stress,35,local_deviation,rigid_global,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,stress,35,local_deviation,independent_local,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,no_guidance,none,present,0,0,1,0,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,random_guidance,none,present,2,2,1,0,2;4,-0.13581107186763572;-1.7760874595140528;1.2248479346816945;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,scaffolded,accurate_stable,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion,accurate_stable,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion_info_matched,accurate_stable,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,scaffolded,noisy,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion,noisy,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion_info_matched,noisy,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,scaffolded,systematically_wrong,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion,systematically_wrong,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion_info_matched,systematically_wrong,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,scaffolded,context_switch,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion,context_switch,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,joint,joint,conclusion_info_matched,context_switch,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,no_guidance,none,present,0,0,1,0,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,random_guidance,none,present,2,2,1,0,2;4,-0.13581107186763572;-1.7760874595140528;1.2248479346816945;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,scaffolded,accurate_stable,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion,accurate_stable,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion_info_matched,accurate_stable,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,scaffolded,noisy,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion,noisy,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion_info_matched,noisy,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,scaffolded,systematically_wrong,present,2,2,1,0,2;1,-0.13581107186763572;-0.56538695987134;1.2248479346816945;-0.05060141688119402,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion,systematically_wrong,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion_info_matched,systematically_wrong,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,scaffolded,context_switch,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion,context_switch,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,43B,35,factorized,factorized,conclusion_info_matched,context_switch,present,0,2,1,2,,,210;20;48;76;171;248;234;63,true
17001,stress,35,joint,learned_joint,scaffolded,accurate_stable,absent,2,2,1,0,2;1,-0.13581107186763572;-0.56538695987134;1.2248479346816945;-0.05060141688119402,82;198;135;182;30;114;252;63,true
17001,stress,35,joint,learned_joint,no_guidance,accurate_stable,absent,0,0,1,0,,,82;198;135;182;30;114;252;63,true
17001,stress,35,joint,learned_joint,scaffolded,accurate_stable,misattuned,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,128;50;47;42;159;55;214;191,true
17001,stress,35,joint,learned_joint,no_guidance,accurate_stable,misattuned,0,0,1,0,,,128;50;47;42;159;55;214;191,true
17001,43C,35,joint,guided_policy_learner,guided_training,accurate_stable,present,2,2,1,0,1;2,-0.56538695987134;-0.13581107186763572;-0.05060141688119402;1.2248479346816945,210;20;48;76;171;248;234;63,true
17001,43C,35,joint,random_policy_learner,random_training,none,present,2,2,1,0,2;4,-0.13581107186763572;-1.7760874595140528;1.2248479346816945;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43A,36,joint,learned_joint,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,43A,36,joint,learned_joint,random,none,present,2,2,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,43A,36,joint,factorized_replay,replay,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,43A,36,joint,shuffled_replay,replay,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,43A,36,joint,learned_joint,precision_blind,none,present,2,0,1,0,4;2,1.588165682854124;1.0589328537768687;1.0393502975487432;1.8241944391645768,66;55;229;188;98;113;231;63,true
17001,43A,36,factorized,factorized,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,43A,36,factorized,factorized,random,none,present,2,2,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,43A,36,configuration_violating,learned_joint,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;3.3881656828541242;-0.12813328077208003;2.8393502975487435,18;217;124;53;85;41;241;63,true
17001,43A,36,configuration_violating,factorized_replay,replay,none,present,2,0,1,0,1;4,0.026696933486609564;3.3881656828541242;-0.12813328077208003;2.8393502975487435,18;217;124;53;85;41;241;63,true
17001,stress,36,coordinated_precision,adaptive_global,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,stress,36,coordinated_precision,rigid_global,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,stress,36,coordinated_precision,independent_local,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
17001,stress,36,local_deviation,adaptive_global,autonomous,none,present,2,0,1,0,1;4,0.026696933486609564;1.588165682854124;-0.12813328077208003;1.0393502975487432,66;55;229;188;98;113;231;63,true
