seed,cell,truth,slice_index,event,precision,control,broadcast,real_danger,persistent_probability,absolute_persistent_posterior_change,maximum_absolute_pairwise_log_bf,exceeds_empirical_p99,exceeds_multiplied_bound,exceeds_analytic_bound
813342,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9988251855943918,0.00021649749815999542,0.19493764530120528,0,0,0
813342,P_favoring,P,13,1,overwhelm,low,collapsed,0,0.9998586858749321,0.0010335002805402782,2.3196827878973805,0,0,0
813342,P_favoring,P,14,1,overwhelm,low,collapsed,0,0.9999827936504033,0.0001241077754712272,2.3196827878973805,0,0,0
813342,P_favoring,P,15,1,overwhelm,low,collapsed,0,0.9999855818373677,2.7881869644197366e-06,0.19493764530120528,0,0,0
813342,P_favoring,P,16,1,overwhelm,low,collapsed,0,0.9999982313209096,1.2649483541848916e-05,2.3196827878973805,0,0,0
813342,P_favoring,P,17,1,overwhelm,low,collapsed,0,0.9999997808626061,1.549541696510559e-06,2.3196827878973805,0,0,0
813342,P_favoring,P,18,1,overwhelm,low,collapsed,0,0.9999999726244894,1.9176188326142096e-07,2.3196827878973805,0,0,0
813342,P_favoring,P,19,1,overwhelm,low,collapsed,0,0.999999996557173,2.3932683612670758e-08,2.3196827878973805,0,0,0
813342,P_favoring,P,20,1,overwhelm,low,collapsed,0,0.999999997145082,5.879090547722399e-10,0.19493764530120528,0,0,0
813342,P_favoring,P,21,1,overwhelm,low,collapsed,0,0.9999999996396405,2.4945584486957273e-09,2.3196827878973805,0,0,0
813342,P_favoring,P,22,1,overwhelm,low,collapsed,0,0.9999999999543038,3.1466329541984805e-10,2.3196827878973805,0,0,0
813342,P_favoring,P,23,1,overwhelm,low,collapsed,0,0.9999999999941842,3.988043228986271e-11,2.3196827878973805,0,0,0
813343,P_favoring,P,0,1,overwhelm,low,collapsed,0,0.7544486293022921,0.5044486293022921,2.3196827878973805,1,0,0
813343,P_favoring,P,1,1,overwhelm,low,collapsed,0,0.9653133866896916,0.21086475738739952,2.3196827878973805,0,0,0
813343,P_favoring,P,2,1,overwhelm,low,collapsed,0,0.9698218507318453,0.00450846404215377,0.19493764530120528,0,0,0
813343,P_favoring,P,3,1,overwhelm,low,collapsed,0,0.9965355339363103,0.02671368320446499,2.3196827878973805,0,0,0
813343,P_favoring,P,4,1,overwhelm,low,collapsed,0,0.9970107368368396,0.00047520290052927017,0.19493764530120528,0,0,0
813343,P_favoring,P,5,1,overwhelm,low,collapsed,0,0.9996610996516099,0.0026503628147702685,2.3196827878973805,0,0,0
813343,P_favoring,P,6,1,overwhelm,low,collapsed,0,0.9999609693071522,0.0002998696555422953,2.3196827878973805,0,0,0
813343,P_favoring,P,7,1,overwhelm,low,collapsed,0,0.9998907902340349,7.017907311723803e-05,1.0735736801623024,0,0,0
813343,P_favoring,P,8,1,overwhelm,low,collapsed,0,0.9999871120684528,9.632183441787845e-05,2.3196827878973805,0,0,0
813343,P_favoring,P,9,1,overwhelm,low,collapsed,0,0.9999984558484049,1.1343779952044386e-05,2.3196827878973805,0,0,0
813343,P_favoring,P,10,1,overwhelm,low,collapsed,0,0.9999956068947605,2.84895364432991e-06,1.0735736801623024,0,0,0
813343,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9999963070209889,7.001262283257148e-07,0.19493764530120528,0,0,0
813343,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9999995509626174,3.2439416285390266e-06,2.3196827878973805,0,0,0
813343,P_favoring,P,13,1,overwhelm,low,collapsed,0,0.9999999447755105,3.9381289307360845e-07,2.3196827878973805,0,0,0
813343,P_favoring,P,14,1,overwhelm,low,collapsed,0,0.9999999931431286,4.8367618132871826e-08,2.3196827878973805,0,0,0
813343,P_favoring,P,15,1,overwhelm,low,collapsed,0,0.9999999802156534,1.2927475201429672e-08,1.0735736801623024,0,0,0
813343,P_favoring,P,16,1,overwhelm,low,collapsed,0,0.9999999428345174,3.7381135964409395e-08,1.0735736801623024,0,0,0
813343,P_favoring,P,17,1,overwhelm,low,collapsed,0,0.9999999928050762,4.997055880195944e-08,2.3196827878973805,0,0,0
813343,P_favoring,P,18,1,overwhelm,low,collapsed,0,0.9999999990897107,6.284634479492013e-09,2.3196827878973805,0,0,0
813343,P_favoring,P,19,1,overwhelm,low,collapsed,0,0.9999999998843562,7.946454605445297e-10,2.3196827878973805,0,0,0
813343,P_favoring,P,20,1,overwhelm,low,collapsed,0,0.9999999999852609,1.0090472901680414e-10,2.3196827878973805,0,0,0
813343,P_favoring,P,21,1,overwhelm,low,collapsed,0,0.9999999999981167,1.2855827513647e-11,2.3196827878973805,0,0,0
813343,P_favoring,P,22,1,overwhelm,low,collapsed,0,0.9999999999945071,3.6096681199637715e-12,1.0735736801623024,0,0,0
813343,P_favoring,P,23,1,overwhelm,low,collapsed,0,0.9999999999992962,4.789169061325538e-12,2.3196827878973805,0,0,0
813344,P_favoring,P,0,1,overwhelm,low,collapsed,0,0.7544486293022921,0.5044486293022921,2.3196827878973805,1,0,0
813344,P_favoring,P,1,1,overwhelm,low,collapsed,0,0.9653133866896916,0.21086475738739952,2.3196827878973805,0,0,0
813344,P_favoring,P,2,1,overwhelm,low,collapsed,0,0.9959764586240581,0.03066307193436657,2.3196827878973805,0,0,0
813344,P_favoring,P,3,1,overwhelm,low,collapsed,0,0.9995376969387432,0.0035612383146850224,2.3196827878973805,0,0,0
813344,P_favoring,P,4,1,overwhelm,low,collapsed,0,0.9996045938859897,6.689694724648643e-05,0.19493764530120528,0,0,0
813344,P_favoring,P,5,1,overwhelm,low,collapsed,0,0.9996610996516099,5.650576562021836e-05,0.19493764530120528,0,0,0
813344,P_favoring,P,6,1,overwhelm,low,collapsed,0,0.9990596415054113,0.0006014581461986079,1.0735736801623024,0,0,0
813344,P_favoring,P,7,1,overwhelm,low,collapsed,0,0.9998907902340348,0.0008311487286235542,2.3196827878973805,0,0,0
813344,P_favoring,P,8,1,overwhelm,low,collapsed,0,0.9999871120684528,9.632183441798947e-05,2.3196827878973805,0,0,0
813344,P_favoring,P,9,1,overwhelm,low,collapsed,0,0.9999984558484049,1.1343779952044386e-05,2.3196827878973805,0,0,0
813344,P_favoring,P,10,1,overwhelm,low,collapsed,0,0.9999998124828176,1.3566344126969554e-06,2.3196827878973805,0,0,0
813344,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9999999769632837,1.6448046613604106e-07,2.3196827878973805,0,0,0
813344,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9999999338047123,4.3158571383372646e-08,1.0735736801623024,0,0,0
813344,P_favoring,P,13,1,overwhelm,low,collapsed,0,0.9999998094519759,1.243527364414021e-07,1.0735736801623024,0,0,0
813344,P_favoring,P,14,1,overwhelm,low,collapsed,0,0.9999998412471758,3.179519991736157e-08,0.19493764530120528,0,0,0
813344,P_favoring,P,15,1,overwhelm,low,collapsed,0,0.9999995428414875,2.984056882704422e-07,1.0735736801623024,0,0,0
