seed,truth,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error
787048,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.196712362497916e-11,0.9999999999380329,185964539.01995057,19.041066563071,0.0
787049,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.3530809381563925e-10,0.9999999998646919,85166284.24436837,18.260116188648453,0.0
787050,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.57976701027218e-12,0.9999999999954202,2516216994.0361094,21.646022417707997,0.0
787051,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.616830624265815e-11,0.9999999999438317,205163522.8164747,19.13931789140672,0.0
787052,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.04546321933599e-14,0.9999999999999495,228397018847.78772,26.154351262312908,0.0
787053,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.2042636081569522e-16,0.9999999999999998,52279081038138.14,31.587617426835706,0.0
787054,global_downweight,False,False,0.011392405063291136,0.9886075949367089,0.19400103208242847,0.8059989679175716,0.04787644785394128,-3.039131589558644,0.0
787055,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.24807478659911e-11,0.9999999999075193,124606340.72356576,18.640670051654993,0.0
787056,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.1982891429344659e-15,0.9999999999999988,9616783768736.71,29.894530997132094,0.0
787057,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.2606560364529682e-08,0.9999999873934396,914102.4277466721,13.725697909525783,0.0
787058,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.532502215289688e-19,1.0,3.262188351969823e+16,38.02375973169037,0.0
787059,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.36361944186442e-15,0.9999999999999976,4875441188170.164,29.215231716420938,0.0
787060,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.2584931043392847e-09,0.9999999977415069,5102378.896733739,15.445217439280361,0.0
787061,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.3967995457478807e-07,0.9999997603200454,48079.46846649167,10.780610513958539,0.0
787062,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.1877127794715256e-16,0.9999999999999998,97024194562873.3,32.20598149181305,0.0
787063,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.706718745756974e-15,0.9999999999999963,3108864839884.7627,28.765278772237302,0.0
787064,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.478798694168392e-24,1.0,1.215732916357356e+21,48.549634071140794,0.0
787065,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.918767808402583e-05,0.999900812321916,116.16911288567891,4.7550469991501725,0.0
787066,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.505565102062779e-19,1.0,7.654061298469898e+16,38.87659788356051,0.0
787067,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.352731572375227e-16,0.9999999999999996,34371041436704.57,31.16823550707911,0.0
787068,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.201963817830118e-13,0.9999999999993798,18580707528.297516,23.6453896497092,0.0
787069,global_downweight,False,False,0.011392405063291136,0.9886075949367089,7.52833156280852e-10,0.9999999992471668,15307093.577386444,16.54382691142724,0.0
787070,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.254110435608606e-15,0.9999999999999988,9188734303477.283,29.848999317400605,0.0
787071,global_downweight,False,False,0.011392405063291136,0.9886075949367089,8.811720155203705e-10,0.999999999118828,13077682.185658213,16.386417685359703,0.0
787072,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.596237132670236e-19,1.0,1.200854816393962e+16,37.02439513809496,0.0
787073,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.3014339364330882e-05,0.9999869856606357,885.449294370477,6.786095193438207,0.0
787074,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.852725782660656e-15,0.9999999999999902,1169593860036.7317,27.78767767630155,0.0
787075,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.995830663689894e-08,0.9999999300416934,164722.2085242676,12.012015749359891,0.0
787076,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.8365781955716827e-21,1.0,6.274542302533754e+18,43.28303221641517,0.0
787077,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.025010175872512e-09,0.9999999959749898,2863020.7204742315,14.867387821383518,0.0
787078,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.4100302153110124e-13,0.999999999999559,26130631803.86352,23.986374095438954,0.0
787079,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.527849132971723e-17,1.0,176531156668745.16,32.80451850175857,0.0
787080,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.498252881233319e-16,0.9999999999999997,32941265172239.145,31.12574724832659,0.0
