seed,truth,regret,truth_weight,off_truth_weight,entropy,largest_absorber,largest_absorber_weight,weight_global_downweight,weight_cue_local_relearning,weight_context_split,weight_continuous_drift,weight_change_point,gap_truth_minus_global_downweight,gap_truth_minus_cue_local_relearning,gap_truth_minus_context_split,gap_truth_minus_continuous_drift,gap_truth_minus_change_point
788084,continuous_drift,-0.031192363470588402,0.703841132982276,0.296158867017724,0.7257138470866721,global_downweight,0.255741738239186,0.255741738239186,0.04040402021263487,1.3107839671213846e-05,0.703841132982276,7.262319240674012e-10,-0.08523493482428268,-0.07536809991537119,0.25228920593993376,0.0,0.11050835852956986
788085,continuous_drift,0.05816221734043592,0.553217063568032,0.446782936431968,0.9930469704980196,global_downweight,0.3100567707713016,0.3100567707713016,0.13028731350153008,0.0030103155104179596,0.553217063568032,0.0034285366487183475,0.3575711555167471,0.10357422498431301,0.5766878175941095,0.0,0.4993976909737139
788086,continuous_drift,-0.0033908075284296846,0.9766624195064156,0.023337580493584364,0.11684924485729777,cue_local_relearning,0.021965264611824138,0.0010867853105144276,0.021965264611824138,0.00020563868595721265,0.9766624195064156,7.989188528859518e-05,-0.08102262402330052,-0.09887765361275136,-0.05117303347147395,0.0,1.1417620074678139
788087,continuous_drift,0.011026678202041396,0.910339952196084,0.08966004780391601,0.35899013870919344,cue_local_relearning,0.06660485204319701,0.0012553245076777392,0.06660485204319701,0.021574359333052393,0.910339952196084,0.00022551191998875877,0.5993767802710908,0.32485877660207496,0.5519279679596716,0.0,0.6094101905716043
788088,continuous_drift,0.11270377172048951,0.1396829675038701,0.8603170324961299,0.932803449428506,global_downweight,0.6047640536400489,0.6047640536400489,0.2548922886402511,0.00029719580721664085,0.1396829675038701,0.0003634944086132651,0.22572151085229208,0.053021138667240564,0.24605024365446226,0.0,0.4255739020964242
788089,continuous_drift,-0.04754542640923276,0.2042103600445205,0.7957896399554795,0.9606307535017123,global_downweight,0.5944989013572807,0.5944989013572807,0.2006692358093081,0.0005702198210498517,0.2042103600445205,5.12829678408733e-05,-0.07695308195403427,0.029722296786768965,0.22178074010286775,0.0,0.9994454191820381
788090,continuous_drift,0.0727502073095132,0.46766012624680353,0.5323398737531965,1.0020742396888789,global_downweight,0.38815561604936744,0.38815561604936744,0.14417698997781606,7.261604736297874e-06,0.46766012624680353,6.121276752287037e-09,0.19775152993095535,0.31796000454920126,0.8237037830575478,0.0,0.8954382512620445
788091,continuous_drift,0.009054166271436515,0.8757448184605464,0.12425518153945359,0.42794732302702926,cue_local_relearning,0.10818235818390151,0.0146669065359986,0.10818235818390151,0.0014055383346695373,0.8757448184605464,3.7848488384407814e-07,0.26086364535064277,0.09106235024606768,0.17349369345182275,0.0,0.2893137178966372
788092,continuous_drift,0.03573801802563703,0.12040037011132182,0.8795996298886781,0.9768487548373298,global_downweight,0.45597575527257506,0.45597575527257506,0.42362159949825473,2.273233597054104e-06,0.12040037011132182,1.8842513616347585e-09,0.0990634085253177,-0.00026185780272847126,0.25740689549256857,0.0,0.661854591477967
788093,continuous_drift,-0.03478568440832541,0.7409700645966484,0.2590299354033516,0.6532534101776385,global_downweight,0.23473672804038667,0.23473672804038667,0.024201886817325356,9.131791337495571e-05,0.7409700645966484,2.6322645955958344e-09,-0.101051636553807,-0.09702441456186417,-0.20427022920496096,0.0,-0.1128832770017194
