group,seed,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,transition_00,transition_01,transition_10,transition_11,transition_mean_00,transition_mean_11,occupancy_then,occupancy_now,occupancy_min_fraction,cue_marker_outcome_contrast,cue_first_second_contrast,marker_aligned_log_signal,marker_switch_rate
neutral,788523,False,False,0.07258064516129031,0.9274193548387097,0.0003466280828381347,0.9996533719171619,225.69937643099618,5.419203920997326,0.0,2.751540307363113,2.338421642798713,1.8148898702528353,16.095148179585337,0.7124961840773769,0.8633147735792874,5.545247889855677,18.45475211014432,0.23105199541065324,-0.041666666666666685,-0.08333333333333333,3.5471512942852343,0.34782608695652173
neutral,788524,False,False,0.07258064516129031,0.9274193548387097,0.0010425288886557168,0.9989574711113443,74.9900373970952,4.317355270007602,0.0,2.4056390046136342,3.336371144152462,3.9851046115181656,13.272885239715741,0.6610108179500354,0.7804275133939403,6.6464401539379185,17.353559846062087,0.27693500641407987,-0.09444444444444444,-0.25,-2.9924064365844085,0.6086956521739131
neutral,788525,True,True,0.07258064516129031,0.9274193548387097,0.0005228042699104098,0.9994771957300895,149.61613542644923,5.008072916852886,5.877471754111438e-39,3.524558056339941,2.6933058827315266,2.683692260951236,14.098443799977286,0.7106088754743718,0.8251187937251911,6.258660838304056,17.741339161695933,0.2607775349293358,0.22222222222222224,0.16666666666666666,10.227308671603781,0.34782608695652173
neutral,788526,True,True,0.07258064516129031,0.9274193548387097,7.74290537640602e-10,0.9999999992257094,101074294.07970701,18.43136638934312,0.0,6.596051651273082,4.333237149799896,5.289170578487564,6.781540620439482,0.6973983583486502,0.6697355824744822,11.916600880803493,12.083399119196532,0.49652503670014503,0.47222222222222227,-0.16666666666666666,10.247927958806518,0.6086956521739131
neutral,788527,False,False,0.07258064516129031,0.9274193548387097,0.15865388805085293,0.8413461119491471,0.4150196325812703,-0.8794294524456521,0.0,19.72122171725188,1.4095461138638357,1.473153803661495,0.3960783652227417,0.8904766457300183,0.7073817620008702,22.096202931520107,1.9037970684798464,0.07932487785332709,0.6,0.25,3.2958368660043287,0.6521739130434783
neutral,788528,True,True,0.07258064516129031,0.9274193548387097,2.3132930491459055e-08,0.9999999768670695,3383093.542070206,15.034301098007298,0.0,7.235666135432561,5.633881244458623,6.002862647341352,4.127589972767458,0.6661988487288135,0.6024499399806295,13.254652703891473,10.745347296108521,0.44772280400452186,0.3277777777777778,-0.08333333333333333,4.163754013594268,0.7391304347826086
neutral,788529,True,True,0.07258064516129031,0.9274193548387097,2.9119109152808006e-10,0.9999999997088089,268761208.0841478,19.409333841035693,0.0,9.057811822159747,2.8680808093188,2.8246991440163782,8.249408224505084,0.7779757070264134,0.7710603320156247,11.934016467205877,12.065983532794132,0.4972506861335781,0.29444444444444445,0.16666666666666666,8.84101431048389,0.5217391304347826
neutral,788530,False,False,0.07258064516129031,0.9274193548387097,0.17153113373368312,0.8284688662663169,0.37798790499674706,-0.9728930812375789,0.0,19.945845172461773,0.924478728175394,0.9853633281811299,1.144312771181696,0.9052656934346247,0.7538793860836934,21.867339226954172,2.132660773045822,0.08886086554357595,0.21666666666666667,0.08333333333333333,12.424533248940001,0.34782608695652173
neutral,788531,True,True,0.07258064516129031,0.9274193548387097,0.0012409727775985137,0.9987590272224015,62.98586993003621,4.142910414410659,0.0,16.514612579465428,2.1479655565394156,2.154311585432644,2.183110278562487,0.8552828870851329,0.710246958983249,19.659716567469722,4.340283432530251,0.180845143022094,0.4666666666666667,-0.08333333333333333,8.55333223803211,0.5217391304347826
neutral,788532,True,True,0.07258064516129031,0.9274193548387097,6.250306544092291e-07,0.9999993749693457,125211.17180043917,11.73775696530013,0.0,7.691392836147358,3.3424584065415983,3.3845196827215225,8.581629074589495,0.7460066468617556,0.754871928520042,11.952738495416884,12.04726150458309,0.4980307706423707,-0.16666666666666666,0.0,-3.0808900818942977,0.5652173913043478
neutral,788533,False,False,0.07258064516129031,0.9274193548387097,0.00047483742822059725,0.9995251625717795,164.7378739041649,5.104355567664161,0.0,16.51248266869107,2.5243336915131125,1.6022620280701432,2.360921611725697,0.8441863035055783,0.7420171415776916,19.05078573605054,4.949214263949486,0.20621726099789503,-0.29999999999999993,0.16666666666666666,-4.200121657765142,0.34782608695652173
neutral,788534,False,True,0.07258064516129031,0.9274193548387097,0.08651329706574516,0.9134867029342548,0.8263500078325494,-0.19073685691681286,0.0,1.4356300457594815,1.9347945263989137,1.944408382019194,17.68516704582241,0.7057090816253924,0.8668759735816934,3.394379952258118,20.605620047741883,0.14143249801075491,-0.1111111111111111,-0.08333333333333333,3.5471512942852343,0.4782608695652174
neutral,788535,True,True,0.07258064516129031,0.9274193548387097,0.0032063668284522165,0.9967936331715478,24.3296979674452,3.1916977427210567,0.0,17.375051717304377,1.6917103674897118,2.6414553654040116,1.2917825498019087,0.8729920327307119,0.6668789125937052,20.060744494906086,3.9392555050939233,0.1641356460455801,0.11904761904761907,0.08333333333333333,6.931471805599454,0.43478260869565216
neutral,788536,False,False,0.07258064516129031,0.9274193548387097,0.5539383269664768,0.4460616730335232,0.0630199657829992,-2.764303685607786,0.0,21.479638604521295,0.6074991307958864,0.6143839286961573,0.2984783359866738,0.9187369358929793,0.7604309607061515,23.069733887079877,0.9302661129201356,0.03876108803833896,-0.4666666666666667,-0.16666666666666666,4.1952507275305475,0.4782608695652174
neutral,788537,True,True,0.07258064516129031,0.9274193548387097,0.00021654418861562374,0.9997834558113843,361.3300505958334,5.889791808223331,0.0,13.441108251424195,2.813051091053886,2.616100628591894,4.129740028930017,0.8166747208216041,0.724343452025,16.6830699166469,7.316930083353094,0.304872086806379,0.044444444444444474,0.08333333333333333,4.791234159636845,0.5217391304347826
neutral,788538,True,True,0.07258064516129031,0.9274193548387097,0.0003086925238622044,0.9996913074761378,253.4454350918951,5.535148553676635,0.0,15.176013316984143,1.6295308275694336,2.3076264122424313,3.8868294432039776,0.8645977560464151,0.7340061036509776,17.67888522361632,6.321114776383666,0.2633797823493196,0.2111111111111111,0.16666666666666666,7.16703787691222,0.4782608695652174
