seed,truth,regret,truth_weight,off_truth_weight,entropy
787096,global_downweight,0.007912607677365457,0.7712142378121528,0.22878576218784719,0.6098614501614796
787097,global_downweight,0.005197719835126809,0.8396972617482613,0.16030273825173869,0.5005695631720741
787098,global_downweight,0.010120288970023003,0.6428148764805501,0.35718512351944987,0.7613579019719687
787099,global_downweight,0.0006099236763847197,0.8212257318033114,0.17877426819668862,0.5695416374034724
787100,cue_local_relearning,-0.013481251347929657,0.8824852153371676,0.11751478466283238,0.4135138264398198
787101,cue_local_relearning,0.004046179801558895,0.8753865307981303,0.12461346920186966,0.4171747545690291
787102,cue_local_relearning,0.0027148178918900237,0.7921006657507722,0.2078993342492278,0.6505506578915061
787103,cue_local_relearning,0.001990863334164613,0.7672731902504449,0.23272680974955506,0.6390202749791469
787104,cue_local_relearning,-0.008925597387631138,0.7089989214815724,0.2910010785184276,0.6853784568135856
787105,cue_local_relearning,0.000608334203354192,0.9585362052287251,0.04146379477127493,0.20150261852702955
787106,cue_local_relearning,0.002253603488468888,0.8883285908428397,0.11167140915716034,0.397889956145429
787107,cue_local_relearning,-0.0008872046281993562,0.710095066330942,0.289904933669058,0.625136157799936
787108,cue_local_relearning,0.011285076943112315,0.43915405206354197,0.560845947936458,0.9365524701663526
787109,cue_local_relearning,0.003508222332038772,0.8401163188135237,0.15988368118647633,0.5038491137645851
787110,cue_local_relearning,-0.00687146704079981,0.7320493739005862,0.2679506260994138,0.7240165398404158
787111,cue_local_relearning,-0.0013884882510308099,0.20075520025982874,0.7992447997401713,0.8906744137141805
787112,cue_local_relearning,0.0019134931808233446,0.83134935341961,0.16865064658038997,0.5679512324410543
787113,cue_local_relearning,0.008397971484876435,0.46517298374033794,0.534827016259662,0.9056431863990899
787114,cue_local_relearning,-0.0033458545946499405,0.13363563638366416,0.8663643636163358,0.40470252231300013
787115,cue_local_relearning,0.0004862430339326688,0.791115319084801,0.20888468091519896,0.6544180270988863
787116,cue_local_relearning,-0.007381432219993063,0.3685804892986117,0.6314195107013882,0.9410411491908689
787117,cue_local_relearning,-0.001030131738793294,0.9247474663089399,0.07525253369106011,0.30681923737604555
787118,cue_local_relearning,0.021180084350940653,0.40086338137682037,0.5991366186231797,0.8021742604230919
787119,cue_local_relearning,0.008323972065295967,0.4531317760871312,0.5468682239128688,1.15773535076876
787120,cue_local_relearning,0.007763632946547953,0.5855047861411644,0.4144952138588356,0.8039743658073804
787121,cue_local_relearning,-0.002446295939195764,0.9798140263901531,0.020185973609846863,0.11266290045689206
787122,cue_local_relearning,0.05211735061288506,0.2365808020496827,0.7634191979503173,0.9404446973662717
787123,cue_local_relearning,-0.0022524642873407905,0.18838753309211625,0.8116124669078837,1.0249380695657715
787124,cue_local_relearning,0.005095342235358125,0.8492060092325558,0.15079399076744415,0.50754195461986
787125,cue_local_relearning,0.0016016578447531533,0.7719213236359378,0.2280786763640622,0.641039142115352
787126,cue_local_relearning,-0.0010321320407117678,0.9272412249314325,0.07275877506856754,0.27181248195592256
787127,cue_local_relearning,0.001314027071883217,0.8357768178723328,0.16422318212766718,0.5424885943909251
787128,cue_local_relearning,0.000269311080729769,0.6354753747744537,0.3645246252255463,0.7639405767204331
787129,cue_local_relearning,0.006524761867428157,0.7965781231767113,0.20342187682328872,0.6390326577276519
787130,cue_local_relearning,0.004913425930295941,0.6262195169154209,0.3737804830845791,0.8010012068562122
787131,cue_local_relearning,-0.05110558499963395,0.7369052035413056,0.2630947964586944,0.7586105739615437
787132,cue_local_relearning,0.010645645074707962,0.6699465605956633,0.33005343940433673,0.777502431461464
787133,cue_local_relearning,-0.008378352593156594,0.8730818177664571,0.1269181822335429,0.4573988178843235
787134,cue_local_relearning,0.0066211463625605775,0.3764771264857896,0.6235228735142104,0.8194364970266849
787135,cue_local_relearning,0.0005820782510106426,0.9152746542760719,0.08472534572392809,0.318040574254231
787136,cue_local_relearning,0.015787859399804205,0.5695641126267078,0.4304358873732922,0.8643087824876766
787137,cue_local_relearning,0.02808354704807403,0.331723699673506,0.668276300326494,0.7744267117474528
787138,cue_local_relearning,-0.0019187421983832091,0.9092382408482114,0.09076175915178863,0.32598672553821084
787139,cue_local_relearning,0.014800148969820329,0.6444985357282977,0.35550146427170226,0.7101454439377167
787140,cue_local_relearning,0.012461386865247448,0.6584246420495572,0.3415753579504428,0.7825061398915619
787141,cue_local_relearning,0.04943496280413543,0.047361229497121286,0.9526387705028787,0.5847390503250057
787142,cue_local_relearning,0.00880838706466669,0.7400751612309758,0.25992483876902417,0.6812354014394391
787143,cue_local_relearning,-0.0014256267334233168,0.31518004276099637,0.6848199572390037,0.6624291633119241
787144,cue_local_relearning,0.0016592173336681764,0.9483138049239718,0.05168619507602823,0.2379857921745869
787145,cue_local_relearning,-0.004543542562055099,0.4090137889825769,0.5909862110174231,0.7157488329412092
787146,cue_local_relearning,0.025944515046707767,0.34073090878815104,0.659269091211849,0.7242641040117741
787147,cue_local_relearning,0.013213104084798921,0.6287409683367402,0.3712590316632598,0.7155875955779977
787148,cue_local_relearning,-0.056948210575946234,0.3257887135792721,0.6742112864207279,1.0267589606566039
787149,cue_local_relearning,0.019678218009723913,0.46500995749419083,0.5349900425058092,0.780317780630054
787150,cue_local_relearning,-0.0011179480969021327,0.8949311280144728,0.10506887198552717,0.3409596022323936
787151,cue_local_relearning,0.011001532586284668,0.6581064004800261,0.3418935995199739,0.8790872837150274
787152,cue_local_relearning,0.006838202348451778,0.811461534543812,0.18853846545618802,0.617392989855262
787153,cue_local_relearning,0.0023549152015288864,0.9105640458333877,0.08943595416661232,0.3548152993229927
787154,cue_local_relearning,0.022285288091205224,0.30758824113784367,0.6924117588621563,0.8198170596959369
