seed,association_auc,learned_association_cue1,learned_association_cue2,learned_association_cue3,learned_association_cue4,learned_association_cue5,learned_association_cue6,learned_similarity_cue2,cue1_root_revision,cue1_broad_attribution,cue1_narrowed_attribution,cue1_broad_minus_narrowed,cue1_transfer_cue2,cue1_transfer_cue3,cue1_transfer_cue4,cue1_structural_win,cue5_root_revision,cue5_max_untreated_transfer,cue5_floor_clean,segment_q0,segment_q1,segment_q2
802071,1.0,0.8626373626373627,0.532967032967033,0.8791208791208791,0.8516483516483516,0.521978021978022,0.46703296703296704,0.9010989010989011,0.28562606927695944,0.2589979911179269,0.026628078159032564,0.2323699129588943,0.01883248808419513,0.21657361296824396,0.2008798728980814,1,0.019166517332279365,0.014532853801398682,1,2,0,2
802072,1.0,0.9010989010989011,0.5494505494505495,0.8901098901098901,0.8736263736263736,0.5494505494505495,0.532967032967033,0.9230769230769231,0.3092683762421373,0.28051296346293053,0.02875541277920679,0.25175755068372374,0.030586982265705998,0.24129730454056875,0.2311016437853335,1,0.04305501192446637,0.03453863593940709,0,2,0,2
802073,1.0,0.8791208791208791,0.45604395604395603,0.8901098901098901,0.9285714285714286,0.4725274725274725,0.5054945054945055,0.9395604395604396,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,-0.02601820225520113,0.23091154501490985,0.2536774719882109,1,-0.023952780818477015,0.020530954987266037,0,2,0,2
802074,1.0,0.8956043956043956,0.5054945054945055,0.8956043956043956,0.8736263736263736,0.4835164835164835,0.4945054945054945,0.945054945054945,0.30599049267776113,0.27752688738680986,0.028463605290951266,0.2490632820958586,0.0033625328865688475,0.2421023678329539,0.22865223628667863,1,-0.014377393129141436,0.011375519838441539,1,2,0,2
802075,1.0,0.8626373626373627,0.554945054945055,0.9010989010989011,0.9065934065934066,0.4835164835164835,0.4835164835164835,0.9120879120879121,0.28562606927695944,0.2589979911179269,0.026628078159032564,0.2323699129588943,0.03138748014032522,0.22912860502437404,0.23226735303840662,1,-0.014377393129141436,0.011691506500620563,1,2,0,2
802076,1.0,0.9065934065934066,0.4340659340659341,0.8516483516483516,0.9010989010989011,0.5274725274725275,0.5274725274725275,0.9340659340659341,0.3125128262353839,0.2834697713550549,0.02904305488032899,0.2544267164747259,-0.04121048258049015,0.21978924042928094,0.2506971023646487,1,0.02395278081847707,0.019478085500739706,1,2,0,2
802077,1.0,0.9010989010989011,0.521978021978022,0.9285714285714286,0.8791208791208791,0.510989010989011,0.5054945054945055,0.9175824175824175,0.3092683762421373,0.28051296346293053,0.02875541277920679,0.25175755068372374,0.013594214340313715,0.26508717963611783,0.23450019737041183,1,0.009586122053439006,0.008216676045804894,1,2,0,2
802078,1.0,0.8901098901098901,0.554945054945055,0.8626373626373627,0.9010989010989011,0.5439560439560439,0.46703296703296704,0.9395604395604396,0.3026792513034502,0.27451156941818644,0.02816768188526375,0.2463438875329227,0.03326145618719234,0.2195256108354694,0.242808630166504,1,0.03828729363976435,0.03071398280992088,0,2,0,2
802079,1.0,0.9065934065934066,0.489010989010989,0.9065934065934066,0.8956043956043956,0.5439560439560439,0.4340659340659341,0.9175824175824175,0.3125128262353839,0.2834697713550549,0.02904305488032899,0.2544267164747259,-0.0068684137634150155,0.2541313092463562,0.24726289548294123,1,0.03828729363976435,0.031134722300467765,0,2,0,2
802080,1.0,0.8736263736263736,0.510989010989011,0.8846153846153846,0.9340659340659341,0.46153846153846156,0.5384615384615384,0.9505494505494505,0.2925462957863152,0.26529058048809406,0.027255715298221128,0.23803486518987294,0.006429588918380524,0.22503561214331935,0.2539687622760318,1,-0.03351387825506602,0.02909446573791441,0,2,0,2
802081,1.0,0.8791208791208791,0.5494505494505495,0.9230769230769231,0.8681318681318682,0.554945054945055,0.5164835164835165,0.9505494505494505,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,0.029270477537101214,0.2504251967063107,0.21790244388730928,1,0.04781633063201918,0.04045997207324703,0,2,0,2
802082,1.0,0.9175824175824175,0.4835164835164835,0.9175824175824175,0.9010989010989011,0.5604395604395604,0.5274725274725275,0.9615384615384616,0.3189011739610257,0.28929552741584474,0.02960564654518094,0.2596898808706638,-0.010513225515198676,0.2663350463850326,0.25582182086983396,1,0.05257055067069705,0.043905075285417317,0,2,0,2
802083,1.0,0.9285714285714286,0.5164835164835165,0.8846153846153846,0.9120879120879121,0.489010989010989,0.5439560439560439,0.9340659340659341,0.32515513369381244,0.2950041431143826,0.030150990579429826,0.2648531525349528,0.010719400011883984,0.250119333610625,0.26798500029709826,1,-0.009586122053439061,0.00821667604580495,1,2,0,2
802084,1.0,0.9230769230769231,0.5164835164835165,0.9230769230769231,0.8901098901098901,0.46153846153846156,0.521978021978022,0.945054945054945,0.32204497122877673,0.292164472547802,0.029880498680974754,0.2622839738668272,0.010616867183366296,0.2724995910397341,0.2512658566730015,1,-0.03351387825506602,0.028357896985055864,0,2,0,2
802085,1.0,0.8846153846153846,0.45054945054945056,0.9120879120879121,0.9285714285714286,0.4945054945054945,0.47802197802197804,0.9340659340659341,0.29933473834975943,0.27146704602087635,0.027867692328883087,0.24359935369199326,-0.029604534562064133,0.2467044546838677,0.25657263287122245,1,-0.0047934190932859555,0.004108644937102224,1,2,0,2
802086,1.0,0.9065934065934066,0.5164835164835165,0.8956043956043956,0.8901098901098901,0.489010989010989,0.46703296703296704,0.9395604395604396,0.3125128262353839,0.2834697713550549,0.02904305488032899,0.2544267164747259,0.010302620645122551,0.24726289548294123,0.24382868860123363,1,-0.009586122053439061,0.007795308043455906,1,2,0,2
802087,1.0,0.9175824175824175,0.5164835164835165,0.9340659340659341,0.8791208791208791,0.532967032967033,0.489010989010989,0.9340659340659341,0.3189011739610257,0.28929552741584474,0.02960564654518094,0.2596898808706638,0.010513225515198732,0.2768482719002313,0.24180418684956895,1,0.02873547126635123,0.024946178352107107,0,2,0,2
802088,1.0,0.8791208791208791,0.5164835164835165,0.8846153846153846,0.9285714285714286,0.5054945054945055,0.4725274725274725,0.9395604395604396,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,0.009756825845700479,0.22765926973300965,0.2536774719882109,1,0.004793419093286011,0.004108644937102279,1,2,0,2
802089,1.0,0.9065934065934066,0.4725274725274725,0.8736263736263736,0.8461538461538461,0.4835164835164835,0.45604395604395603,0.9505494505494505,0.3125128262353839,0.2834697713550549,0.02904305488032899,0.2544267164747259,-0.017171034408537567,0.23352606795611097,0.21635503354757346,1,-0.014377393129141436,0.011691506500620563,1,2,0,2
802090,1.0,0.9230769230769231,0.5054945054945055,0.9065934065934066,0.8901098901098901,0.521978021978022,0.5439560439560439,0.9285714285714286,0.32204497122877673,0.292164472547802,0.029880498680974754,0.2622839738668272,0.0035389557277887285,0.2618827238563679,0.2512658566730015,1,0.019166517332279365,0.016217822358082556,1,2,0,2
802091,1.0,0.8791208791208791,0.5,0.9285714285714286,0.8626373626373627,0.5659340659340659,0.5384615384615384,0.9120879120879121,0.20389865045683286,0.17633496377423385,0.02756368668259901,0.14877127709163485,0.0,0.1747702718201425,0.14788253769396675,1,0.03676623305806814,0.03151391404977266,0,2,0,0
802092,1.0,0.8681318681318682,0.6098901098901099,0.9010989010989011,0.8901098901098901,0.47802197802197804,0.510989010989011,0.9120879120879121,0.2891025921870285,0.2621587633715242,0.026943828815504278,0.23521493455601994,0.06353903124989635,0.23191746406212188,0.22556356093713203,1,-0.019166517332279365,0.015375338079740564,1,2,0,2
802093,1.0,0.9010989010989011,0.45054945054945056,0.8516483516483516,0.9560439560439561,0.47802197802197804,0.5384615384615384,0.9395604395604396,0.3092683762421373,0.28051296346293053,0.02875541277920679,0.25175755068372374,-0.030586982265705887,0.21750742944501966,0.28207994756151,1,-0.019166517332279365,0.01748154877559549,1,2,0,2
802094,1.0,0.9120879120879121,0.5054945054945055,0.8956043956043956,0.8626373626373627,0.46153846153846156,0.521978021978022,0.8956043956043956,0.31572377722480316,0.2863972948002039,0.02932648242459923,0.2570708123756047,0.003469492057415424,0.2498034281339102,0.22898647578941767,1,-0.03351387825506602,0.027621328232197262,0,2,0,2
802095,1.0,0.9065934065934066,0.45604395604395603,0.8846153846153846,0.9010989010989011,0.5,0.521978021978022,0.967032967032967,0.2174815222667872,0.1884384673864582,0.02904305488032899,0.1593954125061292,-0.019119254704772493,0.16729347866675937,0.17446319918104902,1,0.0,0.0,1,2,0,0
802096,1.0,0.9010989010989011,0.489010989010989,0.8901098901098901,0.8956043956043956,0.6043956043956044,0.4340659340659341,0.8956043956043956,0.3092683762421373,0.28051296346293053,0.02875541277920679,0.25175755068372374,-0.0067971071701568575,0.24129730454056875,0.2446958581256472,1,0.0902662683363713,0.07241140207203411,0,2,0,2
802097,1.0,0.8956043956043956,0.5,0.8901098901098901,0.8846153846153846,0.4945054945054945,0.5,0.9560439560439561,0.30599049267776113,0.27752688738680986,0.028463605290951266,0.2490632820958586,0.0,0.23873983494638507,0.23537730205981622,1,-0.0047934190932859555,0.003792595326555903,1,2,0,2
802098,1.0,0.8571428571428571,0.510989010989011,0.9010989010989011,0.9065934065934066,0.5274725274725275,0.5,0.9175824175824175,0.23311114258744747,0.20680262805238836,0.026308514535059113,0.18049411351732925,0.005123321815108772,0.18700124625146897,0.18956290715902324,1,0.019069679222105895,0.015507211675119037,1,2,0,1
802099,1.0,0.8901098901098901,0.489010989010989,0.8956043956043956,0.9230769230769231,0.4725274725274725,0.4945054945054945,0.9175824175824175,0.3026792513034502,0.27451156941818644,0.02816768188526375,0.2463438875329227,-0.006652291237438435,0.23948248454778476,0.256113212641381,1,-0.023952780818477015,0.02026773761563444,0,2,0,2
802100,1.0,0.9175824175824175,0.47802197802197804,0.9230769230769231,0.9285714285714286,0.5054945054945055,0.489010989010989,0.9175824175824175,0.22284983469901665,0.1932441881538357,0.02960564654518094,0.16363854160865476,-0.009795597129627132,0.18856524474532188,0.19101414402772865,1,0.003067360058509494,0.002629165764436725,1,2,0,0
802101,1.0,0.9285714285714286,0.5604395604395604,0.8571428571428571,0.8681318681318682,0.521978021978022,0.46703296703296704,0.945054945054945,0.32515513369381244,0.2950041431143826,0.030150990579429826,0.2648531525349528,0.039304466710241126,0.23225366692415172,0.23939993359874112,1,0.019166517332279365,0.016428443427668027,1,2,0,2
802102,1.0,0.9395604395604396,0.5164835164835165,0.8956043956043956,0.8736263736263736,0.45054945054945056,0.5274725274725275,0.9560439560439561,0.39817103414440136,0.2618191884045298,0.13635184573987158,0.1254673426646582,0.013126517609156174,0.3150364226197462,0.29753439914087143,1,-0.05843888585279389,0.05137484470575282,0,2,2,2
802103,1.0,0.9340659340659341,0.47802197802197804,0.8681318681318682,0.9010989010989011,0.4725274725274725,0.46153846153846156,0.9395604395604396,0.32823163574627756,0.2978145614469673,0.030417074299310287,0.267397487147657,-0.01442776420862757,0.24166505049451215,0.26330669680745356,1,-0.023952780818477015,0.020794172358897633,0,2,0,2
802104,1.0,0.9010989010989011,0.5934065934065934,0.8626373626373627,0.8791208791208791,0.4340659340659341,0.45604395604395603,0.9560439560439561,0.3092683762421373,0.28051296346293053,0.02875541277920679,0.25175755068372374,0.05777541094633343,0.22430453661517658,0.23450019737041183,1,-0.057316976697051214,0.0459795527349971,0,2,0,2
802105,1.0,0.8791208791208791,0.4945054945054945,0.8626373626373627,0.9120879120879121,0.4835164835164835,0.489010989010989,0.945054945054945,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,-0.003252275281900141,0.2146501686054092,0.2439206461425104,1,-0.014377393129141436,0.01184949983171002,1,2,0,2
802106,1.0,0.9230769230769231,0.521978021978022,0.9285714285714286,0.8461538461538461,0.45054945054945056,0.5,0.9230769230769231,0.32204497122877673,0.292164472547802,0.029880498680974754,0.2622839738668272,0.014155822911155025,0.2760385467675228,0.22295421085069156,1,-0.04305501192446626,0.03690429593525679,0,2,0,2
802107,1.0,0.8626373626373627,0.47802197802197804,0.9175824175824175,0.9120879120879121,0.5604395604395604,0.46703296703296704,0.9340659340659341,0.28562606927695944,0.2589979911179269,0.026628078159032564,0.2323699129588943,-0.012554992056130088,0.23854484906647166,0.2354061010524391,1,0.05257055067069705,0.043905075285417317,0,2,0,2
802108,1.0,0.9285714285714286,0.46703296703296704,0.8901098901098901,0.8626373626373627,0.5,0.4725274725274725,0.9615384615384616,0.27258575998422596,0.23935784863687992,0.03322791134734604,0.20612993728953388,-0.017972687471487447,0.2126768017459345,0.19769956218636164,1,0.0,0.0,1,1,0,2
802109,1.0,0.8791208791208791,0.5604395604395604,0.8626373626373627,0.9010989010989011,0.532967032967033,0.5439560439560439,0.9560439560439561,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,0.035775028100901496,0.2146501686054092,0.23741609557871013,1,0.02873547126635123,0.0230515318949851,0,2,0,2
802110,1.0,0.9120879120879121,0.44505494505494503,0.8901098901098901,0.8626373626373627,0.44505494505494503,0.47802197802197804,0.945054945054945,0.31572377722480316,0.2863972948002039,0.02932648242459923,0.2570708123756047,-0.03469492057415413,0.24633393607649468,0.22898647578941767,1,-0.04781633063201918,0.03940906370770808,0,2,0,2
