stage,seed,arm,organization_match_max_abs,organization_match_bitwise,organization_match_within_tolerance,match_bundle_max_abs,match_couplings_max_abs,match_precisions_max_abs,match_field_profile_max_abs,low_carrier_plasticity,high_carrier_plasticity,plasticity_difference,corrective_target_coupling_1,corrective_target_coupling_2,low_final_coupling_1,low_final_coupling_2,high_final_coupling_1,high_final_coupling_2,revision_trajectory_divergence,carrier_read_ablated
confirmation,18515,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.3304520015142787,0.3190530847182958,0.15366155115867167,-0.19131585289843026,0.15366155115867167,-0.19131585289843026,0.0,false
confirmation,18515,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.3304520015142787,0.3190530847182958,0.15366155115867167,-0.19131585289843026,-0.29262157256481003,0.28113489899401345,0.5949028355837821,false
confirmation,18516,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.033351210806813386,0.17636505162474356,-0.012043368920263168,-0.12083842945615045,-0.012043368920263168,-0.12083842945615045,0.0,false
confirmation,18516,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.033351210806813386,0.17636505162474356,-0.012043368920263168,-0.12083842945615045,0.022680173918883034,0.12259408693079607,0.22817057513233047,false
confirmation,18517,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0964127111602728,-0.15345239900678315,-0.01672272648401921,0.08633357406018716,-0.01672272648401921,0.08633357406018716,0.0,false
confirmation,18517,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0964127111602728,-0.15345239900678315,-0.01672272648401921,0.08633357406018716,0.11766071329299076,-0.15005248138600147,0.24696235106518666,false
confirmation,18518,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.1052804501901566,-0.019025139695848767,0.014179279745774072,0.0437463906115107,0.014179279745774072,0.0437463906115107,0.0,false
confirmation,18518,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.1052804501901566,-0.019025139695848767,0.014179279745774072,0.0437463906115107,-0.1273900355798129,0.04498432620805991,0.1565186372844279,false
confirmation,18519,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.16883535688159793,-0.03821352175216316,0.06957871507160375,0.02293567692210301,0.06957871507160375,0.02293567692210301,0.0,false
confirmation,18519,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.16883535688159793,-0.03821352175216316,0.06957871507160375,0.02293567692210301,-0.133912635463384,-0.046104361144680424,0.23163727398616288,false
confirmation,18520,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.17731506304216596,0.029689097931658148,-0.07027526426815481,0.008948408910965355,-0.07027526426815481,0.008948408910965355,0.0,false
confirmation,18520,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.17731506304216596,0.029689097931658148,-0.07027526426815481,0.008948408910965355,0.2246423567971977,0.050175205710498626,0.23535457289982678,false
