bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,1.0,0.02,0.308,0.9999997344933474,0.07575122503340595,1.1504489919384164e-7,self
0.8,1.0,0.02,0.404,0.9999997274241027,0.07575122682671256,1.1810802624983252e-7,self
0.8,1.0,0.02,0.5,0.999999719223458,0.07575122890702968,1.2166139264435447e-7,self
0.8,1.0,0.02,0.596,0.999999709845839,0.07575123128591853,1.2572474592054066e-7,self
0.8,1.0,0.02,0.692,0.9999996992219161,0.07575123398096643,1.3032812676708848e-7,self
0.8,1.0,0.02,0.788,0.9999996872646227,0.07575123701426029,1.355092614897168e-7,self
0.8,1.0,0.02,0.884,0.999999673867301,0.07575124041285695,1.4131436532322774e-7,self
0.8,1.0,0.02,0.98,0.9999996589009601,0.07575124420947822,1.4779933037462488e-7,self
0.8,1.0,0.116,0.02,0.9999997846026019,0.07575121232182942,9.33323944413925e-8,self
0.8,1.0,0.116,0.116,0.9999997820379511,0.07575121297242275,9.444366599769798e-8,self
0.8,1.0,0.116,0.212,0.9999997784141303,0.07575121389170353,9.601387946457499e-8,self
0.8,1.0,0.116,0.308,0.9999997737062656,0.07575121508598154,9.805381274571233e-8,self
0.8,1.0,0.116,0.404,0.9999997679162652,0.07575121655477257,1.0056263890270569e-7,self
0.8,1.0,0.116,0.5,0.9999997610336123,0.07575121830074481,1.0354491503645032e-7,self
0.8,1.0,0.116,0.596,0.999999753048492,0.07575122032638802,1.070048939595955e-7,self
0.8,1.0,0.116,0.692,0.9999997439382373,0.07575122263745228,1.1095239730114586e-7,self
0.8,1.0,0.116,0.788,0.9999997336569252,0.07575122524558725,1.1540732371984185e-7,self
0.8,1.0,0.116,0.884,0.9999997221424053,0.0757512281665591,1.2039660315324364e-7,self
0.8,1.0,0.116,0.98,0.9999997093135642,0.07575123142094452,1.25955382324095e-7,self
0.8,1.0,0.212,0.02,0.9999998118863465,0.07575120540056607,8.151025841326546e-8,self
0.8,1.0,0.212,0.116,0.999999811223198,0.07575120556879165,8.179760278189347e-8,self
0.8,1.0,0.212,0.212,0.9999998094850185,0.07575120600972812,8.255076166722739e-8,self
0.8,1.0,0.212,0.308,0.9999998064666991,0.07575120677540689,8.385860939544167e-8,self
0.8,1.0,0.212,0.404,0.9999998021929373,0.07575120785956266,8.57104443791335e-8,self
0.8,1.0,0.212,0.5,0.9999997967243672,0.07575120924681407,8.807999371483704e-8,self
0.8,1.0,0.212,0.596,0.9999997901201154,0.07575121092216211,9.094163770951289e-8,self
0.8,1.0,0.212,0.692,0.999999782422881,0.0757512128747749,9.427687464012564e-8,self
0.8,1.0,0.212,0.788,0.9999997736361091,0.07575121510377854,9.808421173700014e-8,self
0.8,1.0,0.212,0.884,0.9999997637576211,0.0757512176097259,1.0236459308619473e-7,self
0.8,1.0,0.212,0.98,0.9999997527500443,0.07575122040209746,1.0713421234499398e-7,self
0.8,1.0,0.308,0.02,0.999999834884066,0.07575119956657003,7.154527121464199e-8,self
0.8,1.0,0.308,0.116,0.999999834884066,0.07575119956657003,7.154527121464199e-8,self
0.8,1.0,0.308,0.212,0.999999834884066,0.07575119956657003,7.154527121464199e-8,self
0.8,1.0,0.308,0.308,0.9999998339967968,0.07575119979165004,7.192972788042928e-8,self
0.8,1.0,0.308,0.404,0.9999998315050218,0.07575120042375633,7.300942212105105e-8,self
0.8,1.0,0.308,0.5,0.9999998275627182,0.0757512014238287,7.47176351816042e-8,self
0.8,1.0,0.308,0.596,0.9999998223496493,0.07575120274626514,7.69764749913136e-8,self
0.8,1.0,0.308,0.692,0.9999998159757549,0.07575120436317653,7.973830431092588e-8,self
0.8,1.0,0.308,0.788,0.9999998085298308,0.07575120625203742,8.296464761738308e-8,self
0.8,1.0,0.308,0.884,0.9999998000617745,0.07575120840019002,8.663388420931666e-8,self
0.8,1.0,0.308,0.98,0.9999997905907717,0.07575121080276737,9.073770079556186e-8,self
