seed,history_length,matches,posterior_mean_association,posterior_absolute_deviation_from_zero,credible_interval_lower,credible_interval_upper,credible_interval_covers_zero,maximum_untreated_transfer,floor_violation
50194,800,406,0.5074812967581047,0.007481296758104716,0.4728450295295719,0.5414775483278506,1,0.00522124922064604,0
50195,800,404,0.5049875311720698,0.004987531172069848,0.4716600921327008,0.5387510677531911,1,0.003480922090938754,0
50196,800,399,0.49875311720698257,0.0012468827930174342,0.46422757478565374,0.5336615134049327,1,0.0008702472630094382,0
50197,800,383,0.47880299251870323,0.02119700748129677,0.4447219856133291,0.5129876935670776,1,0.014788741493001523,0
50198,800,415,0.5187032418952618,0.018703241895261846,0.48481652479792864,0.5524086259462972,1,0.013049960199435495,0
50199,800,401,0.5012468827930174,0.0012468827930174342,0.46647428418679815,0.5355510058991777,1,0.0008702472630095492,0
50200,800,413,0.516209476309227,0.016209476309226978,0.48201162030769673,0.5504858102867454,1,0.011310777547080986,0
50201,800,403,0.5037406483790524,0.0037406483790524137,0.46971453406160146,0.5381660148580588,1,0.002610715004331521,0
50202,800,399,0.49875311720698257,0.0012468827930174342,0.46479674581437574,0.5337465670238473,1,0.0008702472630094382,0
50203,800,400,0.5,0.0,0.46574458354702264,0.5347373769954948,1,0.0,0
50204,800,393,0.4912718204488778,0.008728179551122206,0.45791399847363023,0.5266314898639703,1,0.006091355875902371,0
50205,800,377,0.4713216957605985,0.028678304239401486,0.43727947691727104,0.5066792455410881,1,0.02000214366306652,1
50206,800,390,0.48753117206982544,0.012468827930174564,0.4529782810356884,0.5223926190246536,1,0.008701367899383416,0
50207,800,416,0.5199501246882793,0.01995012468827928,0.48500741223864574,0.5541171977728894,1,0.013919404353499809,0
50208,800,413,0.516209476309227,0.016209476309226978,0.48116603382295475,0.549643105956776,1,0.011310777547080986,0
50209,800,411,0.513715710723192,0.013715710723191998,0.4792218324203834,0.5480692849316742,1,0.009571246961291191,0
50210,800,404,0.5049875311720698,0.004987531172069848,0.469942567732206,0.5397714187507096,1,0.003480922090938754,0
50211,800,387,0.4837905236907731,0.016209476309226922,0.44895733698272317,0.5177148670451975,1,0.01131077754708082,0
50212,800,409,0.5112219451371571,0.01122194513715713,0.47615621187330526,0.5454716521702254,1,0.007831421905608371,0
50213,800,411,0.513715710723192,0.013715710723191998,0.4789004773180579,0.5479030625782629,1,0.009571246961291191,0
50214,800,400,0.5,0.0,0.46500908698894217,0.5355095048817169,1,0.0,0
50215,800,390,0.48753117206982544,0.012468827930174564,0.4531504807153559,0.5226617199641647,1,0.008701367899383416,0
50216,800,393,0.4912718204488778,0.008728179551122206,0.4576345966868499,0.5260084254156182,1,0.006091355875902371,0
50217,800,396,0.49501246882793015,0.004987531172069848,0.4599191037508105,0.5301100168736692,1,0.003480922090938865,0
50218,800,422,0.527431421446384,0.027431421446383997,0.49260044647337237,0.5609921823250941,1,0.019133588591534467,0
50219,800,426,0.5324189526184538,0.032418952618453845,0.498074354000925,0.5676335634379365,1,0.02260686045117377,1
50220,800,381,0.4763092269326683,0.023690773067331694,0.44274243527564844,0.5111152834344633,1,0.016527068046465032,0
50221,800,423,0.5286783042394015,0.028678304239401542,0.49392348883314974,0.5617683597389599,1,0.02000214366306652,1
50222,800,392,0.49002493765586036,0.00997506234413964,0.45523677032049414,0.5250454784224644,1,0.006961415667913806,0
