stage,seed,condition,model,generating_carrier_id,selected_carrier_id,samples_to_formation,formed,formation_rmse,interference_shared_carrier,interference_baseline_rmse,interference_after_rmse,interference_degradation,cluster_margin,estimate_affect,estimate_self_world_coupling,estimate_policy,estimate_policy_outcome_coupling,carrier_residue_norm,coupling_residue_norm,carrier_ablation_loss,coupling_ablation_loss,carrier_residue_present,coupling_residue_present
pilot,18108,prepared,assembly,4,4,8,true,0.2166499208042213,true,0.2166499208042213,0.2166499208042213,0.0,0.6342699245442964,0.7127226630264537,0.05785733050178542,0.982749305824145,-0.425886653146134,0.0,0.37445630033107025,0.0,0.37445630033107025,false,true
pilot,18108,prepared,recruitment,4,4,4,true,0.20597978949101703,true,0.20597978949101703,0.33386518805622706,0.12788539856521003,1.2592176506848616,1.0387875141238117,0.13673027730172643,1.480926576423106,-0.33723463733504944,1.6278820596099708,0.0,1.6278820596099708,0.0,true,false
pilot,18108,prepared,hybrid,4,4,4,true,0.20597978949101703,true,0.20597978949101703,0.33386518805622706,0.12788539856521003,1.2592176506848616,1.0387875141238117,0.13673027730172643,1.480926576423106,-0.33723463733504944,1.6278820596099708,0.3414160385371523,1.6278820596099708,0.3414160385371523,true,true
pilot,18108,arbitrary,assembly,0,3,4,true,0.2258965082574649,true,0.2258965082574649,0.2258965082574649,0.0,0.35784654301023233,-0.1126505790660728,-0.05834147645677156,-0.2292786298605513,-0.10886146485572683,0.0,0.34363553778860584,0.0,0.34363553778860584,false,true
pilot,18108,arbitrary,recruitment,0,3,8,true,0.222982122762947,true,0.222982122762947,0.3301026827417116,0.10712055997876463,0.6064010681640536,-0.00885219371258181,-0.24089557059627142,-0.32796221020704674,-0.2694278048686184,0.7106335201775948,0.0,0.7106335201775948,0.0,true,false
pilot,18108,arbitrary,hybrid,0,3,8,true,0.222982122762947,true,0.222982122762947,0.3301026827417116,0.10712055997876463,0.6064010681640536,-0.00885219371258181,-0.24089557059627142,-0.32796221020704674,-0.2694278048686184,0.7106335201775948,0.31331475504255235,0.7106335201775948,0.31331475504255235,true,true
pilot,18108,shuffled,assembly,4,3,10,true,0.27215760992147214,true,0.27215760992147214,0.27215760992147214,0.0,0.9964466850281413,0.917857584537842,0.16261416896027298,0.9219552787493422,-0.6989420559481782,0.0,0.6395675378406834,0.0,0.6395675378406834,false,true
pilot,18108,shuffled,recruitment,4,3,7,true,0.2656864577273931,true,0.2656864577273931,0.340076929311512,0.07439047158411893,1.0303913045195396,1.0090425881207208,0.1488834324334194,1.1631440683159502,-0.47689795820874276,0.97082439194738,0.0,0.97082439194738,0.0,true,false
pilot,18108,shuffled,hybrid,4,3,7,true,0.2656864577273931,true,0.2656864577273931,0.340076929311512,0.07439047158411893,1.0303913045195396,1.0090425881207208,0.1488834324334194,1.1631440683159502,-0.47689795820874276,0.97082439194738,0.5831351080312114,0.97082439194738,0.5831351080312114,true,true
pilot,18109,prepared,assembly,1,1,11,true,0.25506799333167146,true,0.25506799333167146,0.25506799333167146,0.0,1.1853660550369707,-0.9974165574576208,-0.031263129840154745,-0.6365106626884354,-0.4262916128997661,0.0,0.22049275715306166,0.0,0.22049275715306166,false,true
pilot,18109,prepared,recruitment,1,1,4,true,0.09453881981788506,true,0.09453881981788506,0.1593450413550047,0.06480622153711965,1.8177351066413543,-1.368603931586735,-0.1423266717688603,-0.9679754314523313,-0.34571939500478743,1.5305227865013966,0.0,1.5305227865013966,0.0,true,false
pilot,18109,prepared,hybrid,1,1,4,true,0.09453881981788506,true,0.09453881981788506,0.1593450413550047,0.06480622153711965,1.8177351066413543,-1.368603931586735,-0.1423266717688603,-0.9679754314523313,-0.34571939500478743,1.5305227865013966,0.20103751387485033,1.5305227865013966,0.20103751387485033,true,true
pilot,18109,arbitrary,assembly,0,2,8,true,0.27750072572020834,true,0.27750072572020834,0.27750072572020834,0.0,0.4313092100436865,0.02235585395650658,-0.15589778373517504,0.3857098643915444,0.06838924055160278,0.0,0.3966434814799002,0.0,0.3966434814799002,false,true
pilot,18109,arbitrary,recruitment,0,2,8,true,0.26385681588555887,true,0.26385681588555887,0.2584709541035082,-0.005385861782050694,1.0482190210776772,-0.10957561021794825,-0.15589778373517504,0.6872674967902983,0.06838924055160278,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18109,arbitrary,hybrid,0,2,8,true,0.26385681588555887,true,0.26385681588555887,0.2584709541035082,-0.005385861782050694,1.0482190210776772,-0.10957561021794825,-0.15589778373517504,0.6872674967902983,0.06838924055160278,0.873212459828649,0.3616455272316737,0.873212459828649,0.3616455272316737,true,true
pilot,18109,shuffled,assembly,1,2,15,true,0.2712727215736837,true,0.2712727215736837,0.2712727215736837,0.0,0.9396843787038952,-0.9316944858402574,0.6030326860991545,-0.47150063015993876,-0.5616786746237127,0.0,0.7602994682050348,0.0,0.7602994682050348,false,true
pilot,18109,shuffled,recruitment,1,2,11,true,0.2553611771397094,true,0.2553611771397094,0.3196240746195813,0.0642628974798719,1.2875111050915111,-0.9365159402325798,0.529347191214563,-0.7050045773320719,-0.5542910701164333,1.0124228365658292,0.0,1.0124228365658292,0.0,true,false
pilot,18109,shuffled,hybrid,1,2,11,true,0.2553611771397094,true,0.2553611771397094,0.3196240746195813,0.0642628974798719,1.2875111050915111,-0.9365159402325798,0.529347191214563,-0.7050045773320719,-0.5542910701164333,1.0124228365658292,0.6932142210104728,1.0124228365658292,0.6932142210104728,true,true
