mapping,seed,trial,true_depth,noiseless_external_load,observed_external_load,state_depth,capture,class
theory,23,26,0.6545755549894772,0.11335214485028632,0.12612209192263274,0.9635082352658799,0.17145360230362336,self
theory,23,27,0.695953688525413,0.08782195154523653,0.07361129955546646,0.9695742969873109,0.16651417903216345,self
theory,23,28,0.7502785124837039,0.059242780260984035,0.0461113179014048,0.974631991339383,0.16288397710663854,self
theory,23,29,0.8218038853653794,0.030166162507331097,0.022460614004445215,0.9788489402155556,0.16015037885564656,self
theory,23,30,0.8947502921462889,0.010523625953126964,0.008606682827054658,0.9823649015580924,0.15804769141427935,self
theory,23,31,0.8969561772497963,0.010087127936626635,0.009876706148512304,0.9852964012099056,0.15640111202468038,self
theory,23,32,0.8503998515973931,0.021261194181977916,0.034291370572615006,0.9877405948091391,0.1550928079646194,self
theory,23,33,0.8030528012405783,0.036848789144223994,0.05449576051875234,0.9897784877172412,0.15404123858944593,self
theory,23,34,0.7644562179304053,0.05270682960806628,0.04547307753392745,0.9914776196952463,0.1531884355912925,self
theory,23,35,0.6977940168755962,0.08676203342437808,0.10552654844732219,0.9928943033036935,0.1524920885701201,self
theory,23,36,0.6177107144194797,0.13883784297618137,0.12312116701935057,0.9940754902111402,0.15192054986380962,self
theory,23,37,0.5295969647790022,0.2102150647678709,0.21618165062745442,0.9950603272643848,0.1514496267797265,self
theory,23,38,0.46970989611058306,0.2671472145688962,0.26830213346845616,0.9958814538916179,0.15106047916434698,self
theory,23,39,0.39341235648867484,0.34955114079759125,0.33828373930112404,0.9965660838369778,0.15073820910524038,self
theory,23,40,0.3460941210219928,0.4062132536339002,0.3937602801481323,0.9971369070773138,0.15047089072696973,self
theory,23,41,0.2675794499695764,0.5096178690015248,0.5215910306418765,0.997612841812445,0.1616443176508689,self
theory,23,42,0.20485273946432112,0.600646207640525,0.5850499321967141,0.9980096614513426,0.1758914911408981,self
theory,23,43,0.14482083778293972,0.6947648295157594,0.6851937709754439,0.9958670833491525,0.196249793798457,self
theory,23,44,0.09142547312649535,0.784232287339242,0.8100968925187195,0.9533658515830685,0.22785718027374496,self
theory,23,45,0.13628245802939545,0.7087075926923558,0.7169318907513844,0.916710750162437,0.2508770725487977,self
theory,23,46,0.18253225061513834,0.6348408452201334,0.6409838806320166,0.8869153013064063,0.2677055913440613,self
theory,23,47,0.23451732565106012,0.5566655384919849,0.5473502477379458,0.8720462702461461,0.2751397636334018,self
theory,23,48,0.2985298060679712,0.46745741132628615,0.47633452099746576,0.871225486001878,0.27444440247654833,self
theory,23,49,0.35268629431128556,0.39806428189383275,0.41720464350572706,0.8853976342583367,0.2656269168129681,self
theory,23,50,0.41100882189204024,0.3295650774945522,0.33828250197631077,0.904448097536177,0.24583316610556383,self
theory,23,51,0.4655808829031603,0.2713236030826374,0.2714536635028911,0.9203317836820476,0.2201105083354191,self
theory,23,52,0.5149457443428102,0.22351374938459295,0.22018503078796797,0.9335751091540316,0.20051138461025705,self
theory,23,53,0.5635819311570512,0.1809376942719783,0.19602091823668527,0.9446169836878279,0.18728780043267282,self
theory,23,54,0.6273636752410541,0.13191493900336188,0.1294745267377911,0.9538233566247479,0.17812725797563272,self
theory,23,55,0.687870095372919,0.09255382349438515,0.10554717148775737,0.961499345189392,0.17160721549236418,self
theory,23,56,0.7447940579132486,0.06187356923256699,0.05536070591599097,0.9678993466718714,0.16684244061267275,self
theory,23,57,0.8166809661768878,0.03192557475374739,0.007501355833505457,0.9732354696520961,0.16327408872044466,self
theory,23,58,0.8650447327915609,0.017302277939936134,0.023026775656414523,0.9776845636934071,0.16054314359677876,self
theory,23,59,0.8980027647428009,0.00988326420010679,0.01142207044022815,0.9813940804833662,0.158414163939333,self
theory,23,60,0.8478894548140622,0.021980737058925063,0.03365340738442929,0.9844869606713816,0.15672909487395875,self
theory,23,61,0.7612431315252647,0.05415460013166896,0.06656938337654061,0.9870657083625395,0.1553790988738604,self
theory,23,62,0.7082777136442961,0.08084679773876931,0.08642629123384976,0.9892157883043424,0.15428722598054298,self
theory,23,63,0.6604380418778963,0.10953720723353141,0.12118400905584945,0.9910084583557766,0.15339763471755236,self
theory,23,64,0.6020794744033219,0.15042370745657974,0.1481492114533091,0.9925031311122761,0.15266879557565624,self
theory,23,65,0.5508334220728276,0.1916630839904663,0.18672607967897764,0.9937493429554619,0.15206913421085644,self
theory,23,66,0.4770506490439845,0.2598022224820519,0.2860058782708067,0.9947883957858177,0.15157418360972374,self
theory,23,67,0.4266076799115451,0.3123398150996001,0.31490399010091386,0.9956547258485384,0.15116468078252163,self
theory,23,68,0.3664023401962762,0.3813736947833176,0.37326190731221953,0.9963770450181197,0.15082526339747843,self
theory,23,69,0.29985464367306586,0.4656933439868612,0.47614481461750613,0.9969792923660948,0.15735332392405607,self
theory,23,70,0.23421929270693387,0.5570990870791551,0.5570891002259978,0.997481427548736,0.1701411068725573,self
theory,23,71,0.1723163573555024,0.6508072016862011,0.6445841682940446,0.9979000923091437,0.1880556428326993,self
theory,23,72,0.14253678051082855,0.6984810141378982,0.6865745112476321,0.9905788190717106,0.20531295550728823,self
theory,37,1,0.9,0.009499999999999995,0.020217744751246894,0.88327233684608,0.19775048820227953,self
theory,37,2,0.8614547335470678,0.01823505131368828,0.030111287888294053,0.9026760903901785,0.1920851779466226,self
theory,37,3,0.8025898298078601,0.037022236530525165,0.028681101263061212,0.9188543390160158,0.18620620941620958,self
theory,37,4,0.7735805216603897,0.04870249116300219,0.05608279385250711,0.9323432615589949,0.1806736966622572,self
theory,37,5,0.7252125295169308,0.07173274623775942,0.05352684297892236,0.9435899073226107,0.17572389847725184,self
theory,37,6,0.6680256603159672,0.10469661409821711,0.1182575564464197,0.9529670121676592,0.17142248138130498,self
theory,37,7,0.5991585790163468,0.15264015253738453,0.18160482171519113,0.9607853517084579,0.1677500590122041,self
theory,37,8,0.5196481454517673,0.21920100895953015,0.2377524782360489,0.9673040410251817,0.16464903793470242,self
theory,37,9,0.4546183478327371,0.28256908919465873,0.3151937915383731,0.9727391222449501,0.16204855288019268,self
theory,37,10,0.3941022028137269,0.34875653360341924,0.33384569700268746,0.9772707246009167,0.15987714434821965,self
theory,37,11,0.34022137262921864,0.41354244527850864,0.40182331632434126,0.9810490342677366,0.15992722885044494,self
theory,37,12,0.28120944858864694,0.49082686395832514,0.4683588821744769,0.9841992718254492,0.16615639242540203,self
theory,37,13,0.2138659422937347,0.5871064188514318,0.5910369194359114,0.9868258423146742,0.18277909842647005,self
theory,37,14,0.15560182597636904,0.67735786247972,0.7018792518350493,0.9765000410123003,0.20641730085941265,self
theory,37,15,0.09617490615142184,0.7760548102568714,0.7759824465837803,0.9361085184313418,0.23642757550560067,self
theory,37,16,0.12168911599441462,0.7328585085145392,0.7286653999607474,0.8915317376051806,0.2637017858388423,self
theory,37,17,0.17866661032610273,0.6408591101435532,0.6365483699117406,0.8561779680395881,0.2836215410313758,self
theory,37,18,0.24823156462217477,0.5368979914089022,0.5482578649105664,0.8334336743263957,0.29549961227622706,self
theory,37,19,0.29097892963162,0.47757533431500715,0.47959995756702445,0.8224162442245185,0.30041350419407253,self
theory,37,20,0.34335076130983994,0.4096288115387485,0.41498570760723535,0.8252388048836043,0.2973495957434137,self
theory,37,21,0.4123462725848055,0.32807005817772317,0.33241753668790247,0.849812401381737,0.2819134418643697,self
theory,37,22,0.4943257183458274,0.24292115517014032,0.21883188150679933,0.8747782327042233,0.25049793979329926,self
theory,37,23,0.5430733478554356,0.19834286716803778,0.20151054003271435,0.8955939694825716,0.22436750150562787,self
theory,37,24,0.6098754918239079,0.14458727528565588,0.14207077402365312,0.9129494859894551,0.20618852431956528,self
theory,37,25,0.6647521705111511,0.10677155181813508,0.1197467894957995,0.927419978022868,0.19322167460807393,self
theory,37,26,0.7192571450479898,0.07487572307627519,0.09724197136364786,0.939485026021066,0.18374490666953747,self
theory,37,27,0.7570708855516685,0.056063826914318035,0.05081664841521865,0.9495444892972769,0.17666002079868226,self
theory,37,28,0.8267681704833498,0.02850880341980146,0.03436265201763048,0.9579317581602396,0.1712546957157098,self
theory,37,29,0.8681274285453532,0.016520856346957883,0.015206469014062168,0.9649248031217914,0.1670578205614409,self
theory,37,30,0.9045798730050765,0.008649750603940966,0.0018273109505275234,0.9707553873838789,0.1637509959090029,self
theory,37,31,0.8742374800670578,0.015025400848889495,0.03874117745455233,0.9756167479248468,0.1611139799837722,self
theory,37,32,0.8146542827985392,0.032635383140677675,0.03577925129385792,0.9796699997512458,0.15899074447249814,self
theory,37,33,0.7520096284855574,0.05842426314567769,0.07360350867002143,0.9830494755646021,0.1572681138618538,self
theory,37,34,0.7016416444991976,0.084566822882286,0.0856908404037101,0.9858671778101613,0.1558621406828159,self
theory,37,35,0.6427625455691427,0.12123766890582689,0.11478084003475911,0.9882164906572162,0.15470927630426223,self
theory,37,36,0.5944464546123429,0.1562499942676735,0.17013723085649834,0.9901752749333176,0.15376054461607047,self
theory,37,37,0.5444037977770688,0.1971895045059601,0.1847512956946136,0.9918084485845459,0.152977618861139,self
theory,37,38,0.47638224079079866,0.26046677987130185,0.2757729035251489,0.993170138183349,0.15233012188031742,self
theory,37,39,0.4296613373626284,0.30902188059403635,0.30656846639259316,0.9943054727891295,0.1517937258229191,self
theory,37,40,0.38491847200024193,0.35940902178219136,0.378100551915561,0.9952520796136334,0.15134878404231938,self
theory,37,41,0.34349435070262996,0.40944968418139327,0.404683717790386,0.9960413310604183,0.15097932450910928,self
theory,37,42,0.258132147239318,0.5228495154117576,0.5293532358075653,0.996699384467733,0.16304663598489616,self
theory,37,43,0.2060196945722741,0.5988844891367496,0.599431508323325,0.997248049013921,0.178581712114536,self
theory,37,44,0.14673032609935452,0.691665679578588,0.6743933904414438,0.9962201535373756,0.19711928401230397,self
theory,37,45,0.08990256780268127,0.7868634692875456,0.7762753607286634,0.961955934272839,0.22400419366176128,self
theory,37,46,0.13102017512309133,0.7173696392409478,0.72552899656576,0.9255286663343611,0.24676534274413905,self
theory,37,47,0.18119765173651983,0.6369154212457,0.6263974779033599,0.9016847179996784,0.2601979813784434,self
theory,37,48,0.24258578135913245,0.544992483669388,0.5331851302918292,0.8942119797595477,0.2635888479352787,self
theory,37,49,0.3211446356827783,0.4378023753791544,0.44305505138711054,0.9075202029423127,0.255367285092459,self
theory,37,50,0.3800058488630972,0.3651731100717702,0.3467654552322418,0.9228932100036243,0.23474488632973092,self
theory,37,51,0.4175234490510392,0.3223149857851274,0.31782650200305895,0.9357107470744501,0.21385781234420456,self
theory,37,52,0.46605742841894704,0.27083993625925845,0.2625326926943964,0.9463976124292088,0.19490712115566727,self
theory,37,53,0.5172692092619389,0.22137756551026405,0.22834158079900724,0.9553079897099345,0.18241132023292325,self
theory,37,54,0.583482194855319,0.16481272790241527,0.15988184260770605,0.9627371862656408,0.17395973849445936,self
theory,37,55,0.6594000326677874,0.1102079208593691,0.1221247095167895,0.9689314202160604,0.16808536637032895,self
theory,37,56,0.721420323166203,0.07372630452758165,0.07407184394127718,0.9740959806022116,0.16388716876793272,self
theory,37,57,0.7694789433430591,0.05048295968412092,0.06584879454091395,0.9784020310671596,0.16080513393465176,self
theory,37,58,0.8225893514958063,0.029900811292544655,0.026381594328278246,0.9819922825542755,0.15848598278057424,self
theory,37,59,0.8824597876496421,0.013124916443398875,0.0,0.9849857230273178,0.1567027574459822,self
theory,37,60,0.8958630119349679,0.010302286669093812,0.007427133963239035,0.987481560964522,0.15530648022272406,self
theory,37,61,0.8536640908553942,0.02034348838991941,0.03597811623726495,0.9895625133218132,0.15419694032229553,self
theory,37,62,0.8042344098432718,0.036407957974941486,0.053492975604405024,0.9912975469346792,0.15330491929766873,self
theory,37,63,0.7486944732877662,0.05999674436830761,0.04937057043511918,0.9927441642141316,0.1525812805258339,self
theory,37,64,0.7205138220683317,0.07420689747210954,0.049877670226546725,0.9939503088891928,0.15199019624094398,self
theory,37,65,0.666725176062811,0.1055185028568461,0.10428958425808754,0.994955954955946,0.1515048832980376,self
theory,37,66,0.6078524742349564,0.14609069786546328,0.15950042739329823,0.9957944314940319,0.15110487166641573,self
theory,37,67,0.5350124561486449,0.20540274514007006,0.2002547700969988,0.9964935272576044,0.15077421852837353,self
theory,37,68,0.4687847410203458,0.26808016880417995,0.29268511158553134,0.9970764116490517,0.15050031299048702,self
theory,37,69,0.40622608588098497,0.3349390880338047,0.3350738797407424,0.9975624025983556,0.1502730553514587,self
theory,37,70,0.34919623551766604,0.4023682628711583,0.39614892229789705,0.9979676067971142,0.1500842783149105,self
theory,37,71,0.2648862872246196,0.5133725621748843,0.5015510854715619,0.9983054535058374,0.159119007217775,self
theory,37,72,0.21127207821461252,0.5909871478737015,0.5887409254254543,0.9985871396259337,0.17436818315371552,self
theory,53,1,0.9,0.009499999999999995,0.03625750743780484,0.88327233684608,0.19775048820227953,self
theory,53,2,0.8468551449310892,0.02228067930237382,0.039983262949491005,0.9026760903901785,0.1920851779466226,self
theory,53,3,0.8019376656514997,0.037267253873198264,0.02016885109384552,0.9188543390160158,0.18620620941620958,self
theory,53,4,0.7382108561707432,0.06510687803551252,0.061499900960529125,0.9323432615589949,0.1806736966622572,self
theory,53,5,0.6905712112016377,0.09095886657036044,0.08446891018167987,0.9435899073226107,0.17572389847725184,self
theory,53,6,0.6335764447348434,0.12755291076049938,0.13661583760741264,0.9529670121676592,0.17142248138130498,self
theory,53,7,0.5830247528004664,0.16517493893825655,0.16735819661715107,0.9607853517084579,0.1677500590122041,self
