seed,trial,condition,cause,bound_correct,local_correct,inverted_correct,bound_confidence,local_confidence,probability_positive
8501,150,coherent_ambiguous,1,true,true,true,0.8370270780950002,0.4777027217628231,0.9185135390475001
8501,151,coherent_ambiguous,1,false,false,false,0.47372816238872395,0.4579376320276496,0.263135918805638
8501,152,coherent_ambiguous,-1,true,true,true,0.6293809008697406,0.27658106868952315,0.18530954956512968
8501,153,coherent_ambiguous,1,true,true,true,0.6889686560922088,0.32461212671627343,0.8444843280461044
8501,154,coherent_ambiguous,1,true,true,true,0.7007559833206221,0.33902954408031666,0.850377991660311
8501,155,coherent_ambiguous,-1,true,true,true,0.5337912550528574,0.5980326808724629,0.2331043724735713
8501,156,coherent_ambiguous,1,true,true,true,0.8115231338094278,0.44502834690317933,0.9057615669047139
8501,157,coherent_ambiguous,-1,false,true,false,0.3380714244120673,0.30369560772751497,0.6690357122060336
8501,158,coherent_ambiguous,1,true,true,true,0.5829413129247549,0.40973907087123257,0.7914706564623775
8501,159,coherent_ambiguous,-1,true,true,true,0.8241132001007705,0.4485861999579481,0.08794339994961473
8501,160,coherent_ambiguous,1,true,true,true,0.3492870852352692,0.7109566375545807,0.6746435426176346
8501,161,coherent_ambiguous,1,true,true,true,0.9457050287136195,0.6505032559249029,0.9728525143568097
8501,162,coherent_ambiguous,-1,true,true,true,0.9305928400629235,0.6150093777697323,0.03470357996853826
8501,163,coherent_ambiguous,1,true,false,true,0.12828645315431575,0.142242567294921,0.5641432265771579
8501,164,coherent_ambiguous,1,true,false,true,0.06547609672774501,0.5030531880922456,0.5327380483638725
8501,165,coherent_ambiguous,1,true,true,true,0.645378044932523,0.3531749253056146,0.8226890224662615
8501,166,coherent_ambiguous,1,false,true,false,0.005240102268876168,0.34561366063260696,0.4973799488655619
8501,167,coherent_ambiguous,1,true,true,true,0.8177445999228756,0.5471128114131166,0.9088722999614378
8501,168,coherent_ambiguous,-1,true,true,true,0.7716326723603495,0.5889016271031732,0.11418366381982528
8501,169,coherent_ambiguous,-1,false,false,false,0.31748540486814214,0.2200726662926575,0.6587427024340711
8501,170,coherent_ambiguous,-1,true,true,true,0.6942692539400762,0.3427810071371775,0.1528653730299619
