seed,dose,closed_exposure,open_exposure,exposure_effect,closed_revision,open_revision,revision_effect,avoidance_mediator
701224,1.0,18,24,-6,0.1131633558667055,0.0005373777296816274,0.11262597813702388,0.0
701225,0.0,0,24,-24,0.0,0.1401549108964775,-0.1401549108964775,1.0
701225,0.5,12,24,-12,0.6020303626171428,0.1401549108964775,0.46187545172066535,0.5
701225,1.0,21,24,-3,0.9635458571039425,0.1401549108964775,0.823390946207465,0.0
701226,0.0,0,24,-24,0.0,0.031958144016126636,-0.031958144016126636,1.0
701226,0.5,12,24,-12,0.15026375927124738,0.031958144016126636,0.11830561525512075,0.5
701226,1.0,23,24,-1,0.9195656175641969,0.031958144016126636,0.8876074735480702,0.0
701227,0.0,0,24,-24,0.0,0.010204431622056614,-0.010204431622056614,1.0
701227,0.5,10,24,-14,0.043287590791227536,0.010204431622056614,0.03308315916917092,0.5
701227,1.0,21,24,-3,0.7509264765786212,0.010204431622056614,0.7407220449565646,0.0
701228,0.0,0,24,-24,0.0,0.0013529934627133596,-0.0013529934627133596,1.0
701228,0.5,10,24,-14,0.0059110293273395955,0.0013529934627133596,0.004558035864626235,0.5
701228,1.0,21,24,-3,0.28439229512493824,0.0013529934627133596,0.2830393016622249,0.0
701229,0.0,0,24,-24,0.0,0.0028387619495667,-0.0028387619495667,1.0
701229,0.5,10,24,-14,0.0223716930957736,0.0028387619495667,0.019532931146206897,0.5
701229,1.0,19,24,-5,0.4168293102349116,0.0028387619495667,0.4139905482853449,0.0
701230,0.0,0,24,-24,0.0,0.002161572763675326,-0.002161572763675326,1.0
701230,0.5,11,24,-13,0.007836690751098815,0.002161572763675326,0.005675117987423489,0.5
701230,1.0,23,24,-1,0.43391206695664875,0.002161572763675326,0.4317504941929734,0.0
701231,0.0,0,24,-24,0.0,0.10735267118230547,-0.10735267118230547,1.0
701231,0.5,11,24,-13,0.5801845271898747,0.10735267118230547,0.4728318560075692,0.5
701231,1.0,19,24,-5,0.946755536319069,0.10735267118230547,0.8394028651367634,0.0
701232,0.0,0,24,-24,0.0,0.016238810340806705,-0.016238810340806705,1.0
701232,0.5,8,24,-16,0.07707648252515617,0.016238810340806705,0.06083767218434946,0.5
701232,1.0,18,24,-6,0.7939831954217442,0.016238810340806705,0.7777443850809376,0.0
701233,0.0,0,24,-24,0.0,0.002149371591078531,-0.002149371591078531,1.0
701233,0.5,7,24,-17,0.010193334693492276,0.002149371591078531,0.008043963102413745,0.5
701233,1.0,17,24,-7,0.33065991095599256,0.002149371591078531,0.32851053936491403,0.0
701234,0.0,0,24,-24,0.0,0.5697726726730434,-0.5697726726730434,1.0
701234,0.5,11,24,-13,0.6873597364086453,0.5697726726730434,0.1175870637356019,0.5
701234,1.0,22,24,-2,0.7257685250357233,0.5697726726730434,0.15599585236267988,0.0
701235,0.0,0,24,-24,0.0,0.003404072655485187,-0.003404072655485187,1.0
701235,0.5,10,24,-14,0.019777738385636345,0.003404072655485187,0.016373665730151157,0.5
701235,1.0,20,24,-4,0.47963256009146565,0.003404072655485187,0.47622848743598045,0.0
701236,0.0,0,24,-24,0.0,0.019966015782868482,-0.019966015782868482,1.0
701236,0.5,8,24,-16,0.09342845686563649,0.019966015782868482,0.073462441082768,0.5
701236,1.0,18,24,-6,0.8250602096664488,0.019966015782868482,0.8050941938835803,0.0
701237,0.0,0,24,-24,0.0,0.3344993476208211,-0.3344993476208211,1.0
701237,0.5,11,24,-13,0.7369185484358529,0.3344993476208211,0.4024192008150318,0.5
701237,1.0,21,24,-3,0.9391283978889243,0.3344993476208211,0.6046290502681032,0.0
701238,0.0,0,24,-24,0.0,0.030729917812780748,-0.030729917812780748,1.0
701238,0.5,11,24,-13,0.21602293310926893,0.030729917812780748,0.18529301529648817,0.5
701238,1.0,20,24,-4,0.8919459680513071,0.030729917812780748,0.8612160502385263,0.0
701239,0.0,0,24,-24,0.0,7.000055596824365e-5,-7.000055596824365e-5,1.0
701239,0.5,10,24,-14,0.0005624107679322816,7.000055596824365e-5,0.000492410211964038,0.5
701239,1.0,19,24,-5,0.017279176001347714,7.000055596824365e-5,0.01720917544537947,0.0
701240,0.0,0,24,-24,0.0,0.03871727669393888,-0.03871727669393888,1.0
701240,0.5,11,24,-13,0.20642742954785212,0.03871727669393888,0.16771015285391325,0.5
701240,1.0,21,24,-3,0.9185245862557258,0.03871727669393888,0.8798073095617869,0.0
701241,0.0,0,24,-24,0.0,1.5006010044669723e-5,-1.5006010044669723e-5,1.0
701241,0.5,9,24,-15,5.997509494572221e-5,1.5006010044669723e-5,4.4969084901052486e-5,0.5
701241,1.0,20,24,-4,0.00403477290781206,1.5006010044669723e-5,0.00401976689776739,0.0
701242,0.0,0,24,-24,0.0,0.4149202018726468,-0.4149202018726468,1.0
701242,0.5,10,24,-14,0.7197874127788252,0.4149202018726468,0.3048672109061784,0.5
701242,1.0,19,24,-5,0.8007007317639454,0.4149202018726468,0.38578052989129863,0.0
701243,0.0,0,24,-24,0.0,0.01276821130392785,-0.01276821130392785,1.0
