seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
770044,global_downweight,cue_local_relearning,0.22781788713946452,"[0.22781788713946452, 0.613004777523972, 6.923045591537642e-06, 0.15916496307475225, 5.449216219725708e-06]",3.1086244689504383e-15,1.4210854715202004e-14
770045,global_downweight,cue_local_relearning,0.2896203874955801,"[0.2896203874955801, 0.6256101735120065, 0.0006867293050086163, 0.07952350752119722, 0.004559202166207519]",1.7763568394002505e-15,1.4210854715202004e-14
770046,global_downweight,cue_local_relearning,0.16665490544958464,"[0.16665490544958464, 0.7902202132441482, 0.0040042721930026, 0.027005799867532796, 0.012114809245731753]",1.3322676295501878e-15,1.4210854715202004e-14
770047,global_downweight,global_downweight,0.6058187283791978,"[0.6058187283791978, 0.14858564923199788, 3.24260624310622e-05, 0.245548142189662, 1.5054136711235242e-05]",3.3306690738754696e-15,1.4210854715202004e-14
770048,global_downweight,global_downweight,0.5822475463328209,"[0.5822475463328209, 0.22328799756409634, 0.025485350484892286, 0.1689788819662158, 2.23651974725347e-07]",3.1086244689504383e-15,1.4210854715202004e-14
770049,global_downweight,global_downweight,0.6492652568045084,"[0.6492652568045084, 0.1359232395065427, 0.040885928621553345, 0.17389603834257716, 2.9536724818370596e-05]",3.1086244689504383e-15,1.4210854715202004e-14
770050,global_downweight,continuous_drift,0.24462924920970142,"[0.24462924920970142, 0.035609099596886934, 5.814933093216018e-09, 0.7197616417332908, 3.645187771078927e-09]",4.218847493575595e-15,1.4210854715202004e-14
770051,global_downweight,global_downweight,0.5776832546803234,"[0.5776832546803234, 0.06660187637242629, 0.043559445125632035, 0.3096756614986324, 0.0024797623229858997]",2.220446049250313e-15,7.105427357601002e-15
770052,global_downweight,continuous_drift,0.40019281175778487,"[0.40019281175778487, 0.09401631733512053, 0.039036150202242825, 0.46658781506868724, 0.0001669056361644176]",1.7763568394002505e-15,2.842170943040401e-14
770053,global_downweight,global_downweight,0.5851468248258604,"[0.5851468248258604, 0.23169003471772145, 0.0007782030386478965, 0.18238365594103545, 1.2814767346659992e-06]",2.6645352591003757e-15,1.4210854715202004e-14
770054,global_downweight,cue_local_relearning,0.3899242009266222,"[0.3899242009266222, 0.40919300154994864, 0.00011912833141293137, 0.20074814833503932, 1.5520856976802327e-05]",1.9984014443252818e-15,1.4210854715202004e-14
770055,global_downweight,global_downweight,0.7391684572635451,"[0.7391684572635451, 0.18106510877484028, 3.1180154000945983e-06, 0.07976329922142701, 1.6724787576042726e-08]",3.552713678800501e-15,2.842170943040401e-14
770056,global_downweight,global_downweight,0.6344980596906545,"[0.6344980596906545, 0.16685193610545548, 0.13136877108371753, 0.06726693344932311, 1.4299670849433927e-05]",1.3322676295501878e-15,1.4210854715202004e-14
