seed,truth,predicted,T_probability,D_probability,P_probability
750198,T,T,0.9862300526174411,0.01376994738003683,2.5221138387709435e-12
750199,D,D,1.4504953340874592e-05,0.9999854815450941,1.350156500464144e-08
750200,P,P,2.238466643060858e-05,4.596072050691722e-07,0.9999771557263644
750201,T,T,0.7651927208993439,0.23480727909271443,7.941654645467213e-12
750202,D,D,8.29903951847562e-05,0.9999170089066051,6.982100866241128e-10
750203,P,P,1.0107830748754989e-08,1.1366994241772529e-10,0.9999999897784992
750204,T,T,0.9468927004840351,0.053107299360435706,1.5552923946506778e-10
750205,D,T,0.9857026776084975,0.014297283345332281,3.904617025920614e-08
750206,P,P,3.7608991793302295e-14,4.0817464530439493e-16,0.999999999999962
750207,T,T,0.6100453129218353,0.38995447670225325,2.1037591156619944e-07
750208,D,D,0.00012185010718828484,0.9998780507449536,9.914785822931336e-08
750209,P,P,9.676625051706982e-12,3.4147736032943013e-13,0.9999999999899819
750210,T,T,0.6862937835702385,0.31370618312195736,3.330780412157156e-08
750211,D,D,3.1699262898424055e-06,0.9999968295480863,5.256239266104085e-10
750212,P,P,2.613722017544383e-07,7.558174335799456e-10,0.9999997378719809
750213,T,T,0.8178135081021356,0.18218649188656777,1.1296490851013635e-11
750214,D,D,2.5092924661296704e-06,0.999997490707445,8.877169047176096e-14
750215,P,P,1.3650589252807094e-08,4.2252988445180936e-10,0.9999999859268809
750216,T,T,0.8770497196250181,0.12295027977408027,6.009015507114116e-10
750217,D,D,2.7957947318198403e-05,0.9999720419588458,9.383596474907976e-11
750218,P,P,8.329605714083877e-11,3.423931882776448e-13,0.9999999999163616
750219,T,T,0.9205993316857032,0.0794006534579284,1.4856368433823747e-08
750220,D,D,1.5323541134783307e-05,0.9999846764530855,5.7796961335370095e-12
750221,P,P,1.9358947448436636e-10,2.299166940405225e-13,0.9999999998061806
750222,T,T,0.9925052391508375,0.007494341681302496,4.191678599843576e-07
750223,D,D,0.004195713556494656,0.995804286427791,1.5714457082377457e-11
750224,P,P,5.835336572098225e-11,3.061061846816287e-11,0.999999999911036
750225,T,T,0.8573590488493992,0.1426408569252521,9.422534864350263e-08
750226,D,D,0.014235186900250647,0.985764597183353,2.1591639644440253e-07
750227,P,P,7.523093330085014e-12,4.290410527663326e-14,0.9999999999924339
750228,T,T,0.9367833169491387,0.06321668299507405,5.5787195706320825e-11
750229,D,D,2.6329845830691838e-05,0.9999736604063496,9.747819630316516e-09
750230,P,P,4.0045824231514424e-11,1.1287973663165896e-12,0.9999999999588254
750231,T,T,0.8695674953434106,0.13043250393698555,7.19603909105121e-10
750232,D,D,6.227735004854316e-07,0.9999993772252732,1.2263067300980647e-12
750233,P,P,7.681135607859191e-05,1.5308144900713518e-06,0.9999216578294314
750234,T,T,0.741885280186509,0.25811471981248035,1.010583792328001e-12
750235,D,D,0.011769372094244328,0.9882306276841175,2.2163815390594305e-10
750236,P,P,6.628581542095064e-12,1.395628853053066e-12,0.9999999999919759
750237,T,D,0.49936734057724685,0.5006326593913377,3.141552209733358e-11
750238,D,D,0.000533573696128483,0.9994664263018517,2.019747713281892e-12
750239,P,P,2.2849251168587985e-07,4.198443149346037e-09,0.9999997673090453
750240,T,T,0.9840235721810294,0.015976410183408105,1.7635562540967497e-08
750241,D,D,7.769847837549633e-05,0.9999220604559901,2.4106563445199125e-07
750242,P,P,1.6852180968949828e-05,6.872838871711034e-06,0.9999762749801593
750243,T,T,0.9076953304645204,0.09230466941729477,1.1818478921073994e-10
750244,D,D,1.1049377940431042e-05,0.9999884094242932,5.411977663072023e-07
750245,P,P,5.913995630830595e-09,4.118752299532811e-11,0.9999999940448169
750246,T,T,0.8290579928445352,0.1708756516338274,6.635552163747282e-05
750247,D,D,0.006539961383525493,0.9934600386161149,3.5950332057359815e-13
750248,P,P,5.944153645744491e-11,2.671011216683841e-11,0.9999999999138484
750249,T,D,0.10379190667353141,0.8962080933264525,1.614045761023485e-14
750250,D,D,2.3540425196021673e-05,0.9999764506247891,8.950014966406646e-09
750251,P,P,2.273558150105512e-08,3.868135710594324e-11,0.9999999772257372
750252,T,T,0.8412479499742364,0.15875204615700586,3.868757735167178e-09
750253,D,D,0.42934074202645106,0.5688014246018201,0.001857833371728788
