seed,length,acute_count,acute_widths,control_level,action_dependence,low_control_fraction,chronic_profile,scheduled_dose,available_formation_margin,available_formed,available_final_persistent_probability,available_max_step_change,available_realized_avoidance_mediator,available_avoidance_rate,available_realized_event_fraction,replay_formation_margin,replay_formed,replay_final_persistent_probability,replay_max_step_change,replay_realized_avoidance_mediator,replay_avoidance_rate,replay_realized_event_fraction
809347,90,1,1,1,0.0,1.0,bursty-moderate,0.18888888888888888,0.5698059462732243,0,0.794768679525165,0.047512468325675905,0.13333333333333333,0.32222222222222224,0.13333333333333333,0.3833025019229199,0,0.7814999000067443,0.047512468325675905,0.0,0.0,0.18888888888888888
809348,120,1,2,1,0.0,1.0,bursty-moderate,0.2,-0.39145472682723303,0,0.8068841049147749,0.05722952460238606,0.13333333333333333,0.30833333333333335,0.11666666666666667,-0.09623710462738377,0,0.8222859899542967,0.05530722776045127,0.0,0.0,0.2
809349,90,1,1,2,0.25,0.75,none,0.011111111111111112,2.84993519079722,1,0.9027086031575577,0.04693487113695605,0.06666666666666667,0.2222222222222222,0.011111111111111112,2.31549744950488,1,0.8797365815684175,0.04693487113695605,0.0,0.0,0.011111111111111112
809350,90,1,2,2,0.25,0.75,none,0.022222222222222223,-0.2141150608208584,0,0.6841856748246975,0.053723631234885216,0.05555555555555555,0.23333333333333334,0.022222222222222223,-0.18470242084868405,0,0.6889273698613281,0.06039548064736833,0.0,0.0,0.022222222222222223
809351,90,1,3,2,0.25,0.75,steady-low,0.1111111111111111,0.343384831920287,0,0.7149725932343891,0.050016235257714814,0.07777777777777778,0.4111111111111111,0.07777777777777778,0.3954859059746718,0,0.7330918279981371,0.05462394325392772,0.0,0.0,0.1111111111111111
809352,60,1,2,2,0.25,0.75,none,0.03333333333333333,-0.13755595289539646,0,0.639680637253503,0.039359322855507695,0.06666666666666667,0.15,0.03333333333333333,-0.25049157633562213,0,0.6186047239504333,0.04764109886609058,0.0,0.0,0.03333333333333333
809353,60,1,2,2,0.25,0.75,none,0.03333333333333333,0.17417146818095275,0,0.7100441742567177,0.04501131542599912,0.08333333333333333,0.16666666666666666,0.03333333333333333,0.03266796823940821,0,0.681048817735764,0.04501131542599912,0.0,0.0,0.03333333333333333
809354,120,1,3,2,0.25,0.75,bursty-moderate,0.20833333333333334,0.6475793199783033,0,0.8000685202996819,0.060568155855965644,0.075,0.25833333333333336,0.13333333333333333,0.6843643929760348,0,0.7563016606198333,0.05490482960610299,0.0,0.0,0.20833333333333334
809355,90,1,1,2,0.25,0.75,none,0.011111111111111112,-0.17961694797848837,0,0.7501558721167636,0.05553173976730985,0.06666666666666667,0.13333333333333333,0.011111111111111112,-0.3951507488732353,0,0.728820960899851,0.05667822844190751,0.0,0.0,0.011111111111111112
809356,60,1,3,2,0.25,0.75,none,0.05,0.3282087520006627,0,0.7042374778754477,0.04451015620551346,0.1,0.23333333333333334,0.05,0.9806678055313718,0,0.8073333013803664,0.04451015620551346,0.0,0.0,0.05
809357,60,1,2,3,0.5,0.5,bursty-moderate,0.21666666666666667,-0.7990434157605415,0,0.7002656242554461,0.06054596687977443,0.0,0.18333333333333332,0.21666666666666667,-0.8696504575567645,0,0.6677153227691333,0.05428638807671482,0.0,0.0,0.21666666666666667
809358,60,1,3,3,0.5,0.5,steady-low,0.13333333333333333,0.17072415774786176,0,0.7514423637321467,0.057833051592772966,0.05,0.23333333333333334,0.13333333333333333,0.17265181451174505,0,0.7428792371595541,0.05256661541844948,0.0,0.0,0.13333333333333333
809359,120,1,3,3,0.5,0.5,none,0.025,1.5458752977053405,1,0.8115549828439357,0.0495457705388605,0.008333333333333333,0.10833333333333334,0.025,1.1984551495046731,1,0.772508988819847,0.0495457705388605,0.0,0.0,0.025
809360,90,1,2,3,0.5,0.5,none,0.022222222222222223,0.7372686236906973,0,0.8068430206222513,0.05804020949445088,0.06666666666666667,0.2111111111111111,0.022222222222222223,0.5853885038169806,0,0.7982891782259959,0.05690455280450368,0.0,0.0,0.022222222222222223
