seed,regulation,evidence_present,root_change,uptake
704220,true,false,0.0,1.4485817062562272
704220,true,true,0.9857238759090798,1.4437411897416466
704221,false,false,0.0,0.45
704221,false,true,0.3957685742171487,0.45
704221,true,false,0.0,1.4366241488613136
704221,true,true,0.9650274668208733,1.4421986567230345
704222,false,false,0.0,0.45
704222,false,true,0.004234445032407183,0.45
704222,true,false,0.0,1.3369129903463963
704222,true,true,0.2654028665198385,1.3944363620106661
704223,false,false,0.0,0.45
704223,false,true,6.735925436979002e-5,0.45
704223,true,false,0.0,1.4337753533101902
704223,true,true,0.0073895118896122325,1.4519617467541348
704224,false,false,0.0,0.45
704224,false,true,0.1321391834776848,0.45
704224,true,false,0.0,1.3893507131161542
704224,true,true,0.9565405097286191,1.4469773241970907
704225,false,false,0.0,0.45
704225,false,true,0.4021892124171854,0.45
704225,true,false,0.0,1.4700203184244673
704225,true,true,0.9470979187753272,1.5098878988559354
704226,false,false,0.0,0.45
704226,false,true,0.00011385804433011969,0.45
704226,true,false,0.0,1.4374304959329698
704226,true,true,0.00839136719334017,1.365084919689528
704227,false,false,0.0,0.45
704227,false,true,0.009417619353800687,0.45
704227,true,false,0.0,1.4028788871350193
704227,true,true,0.8158573071132137,1.450046613713642
704228,false,false,0.0,0.45
704228,false,true,0.32260819035243316,0.45
704228,true,false,0.0,1.3297952536628745
704228,true,true,0.9745035995575679,1.477707121445029
704229,false,false,0.0,0.45
704229,false,true,0.004033253605227953,0.45
704229,true,false,0.0,1.484196016098045
704229,true,true,0.8223117923942542,1.372188614481801
704230,false,false,0.0,0.45
704230,false,true,0.5643056151295741,0.45
704230,true,false,0.0,1.4402342570736373
704230,true,true,0.8724833085628374,1.4568257666298154
704231,false,false,0.0,0.45
704231,false,true,0.07751572762706228,0.45
704231,true,false,0.0,1.401370509864507
704231,true,true,0.9426342915335624,1.4522590355165945
704232,false,false,0.0,0.45
704232,false,true,0.00011351523452427672,0.45
704232,true,false,0.0,1.4894662633090217
704232,true,true,0.011965360633668872,1.4442161161568974
704233,false,false,0.0,0.45
704233,false,true,0.000117076158145019,0.45
704233,true,false,0.0,1.4798252854284129
704233,true,true,0.030821586154103745,1.4855272432084583
704234,false,false,0.0,0.45
704234,false,true,0.02100819785069328,0.45
704234,true,false,0.0,1.4266681023095877
704234,true,true,0.5757013242863924,1.4913494856366905
704235,false,false,0.0,0.45
704235,false,true,0.021977095013767753,0.45
704235,true,false,0.0,1.3600502445457343
704235,true,true,0.9342380148406595,1.3882590730493383
704236,false,false,0.0,0.45
704236,false,true,0.3759591603791639,0.45
704236,true,false,0.0,1.427355770709425
704236,true,true,0.9782735696097403,1.4726327135231547
704237,false,false,0.0,0.45
