seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
62021,0.9986453359537749,0.3528509101472276,0.3693663132311105,0.9440390690891876,0.5798418959633604,0.9999622368708828,0.9999960708071347,0.48440054093990953,1.0,0.0,0.8125,0.0625,0.75,0.125,0.9999999887336295,0.0569264102132785,0.8125,-0.0
62022,0.01692353834025509,0.9993083507940799,0.849030895030877,0.41224201639878677,0.3153448337034701,0.9989011889857113,0.915532712533422,0.5372371833502729,0.5,0.0,0.5625,0.125,0.5,0.1875,0.8937749650496107,0.1046532411493476,0.1875,-0.0
62023,0.9999524062069661,0.7889709966796908,0.9959542275647388,0.45696311741282825,0.5912684303697265,0.9990339284753671,0.030259245522427675,0.45529892673425887,0.0625,0.0,0.25,0.1875,0.25,0.1875,0.18890632410874142,0.050566123883459685,0.05,-0.0
62024,0.28626595031236274,0.44521967480612656,0.4013772220254451,0.9450145861793224,0.3147192608838248,0.9999714688670092,0.7793072359467639,0.5183425232711923,0.5,0.0,0.1875,0.0,0.25,0.0625,0.22795274012393202,0.015581975313869588,0.1875,0.0
62025,0.250305066280133,0.9846011776303963,0.9947755937747621,0.161752565008784,0.3782906666572964,0.9999651771961222,0.9983075767725391,0.8019459776955392,0.875,0.0,0.4375,0.0625,0.5625,0.1875,0.9999596466980037,0.003912339208506335,0.4375,-0.0
62026,0.9128486060458334,0.4456914724490928,0.9873386057074596,0.5260417495364924,0.33459786727071905,0.99991032378817,0.999850268923616,0.5299743394863533,0.625,0.0,0.6875,0.0625,0.75,0.125,0.9991510562206742,0.026014207882938872,0.35416666666666663,-0.0
62027,0.9838577070332927,0.5734411755079671,0.7749138594154734,0.7963280842336027,0.6475086961631019,0.9995465233744247,0.22933259632145234,0.2972648981829476,0.3125,0.0,0.4375,0.0625,0.4375,0.1875,0.10147566198813157,0.11772478633520854,0.2556818181818182,-0.0
62028,0.07596995461610088,0.997624600971819,0.5438574125796423,0.40279882597989414,0.18230788620212368,0.9969398825545939,0.6295493900282787,0.5915425381317213,0.6875,0.0,0.5,0.0,0.375,0.125,0.6410060741905479,0.025438997254144804,0.3,0.0
62029,0.9945590276749208,0.9525110955562966,0.8337346071698678,0.9401598911017894,0.4201311061805892,0.9982259824024997,0.39816606411458777,0.49507749644817245,0.25,0.0,0.3125,0.125,0.375,0.1875,0.2333722368207233,0.07708589813455492,0.14583333333333334,-0.0
62030,0.9984127077285322,0.9996922626158952,0.36594570241852153,0.9208143435393543,0.2692325047043555,0.9999884401461746,0.10932567757953723,0.3353287869280309,0.1875,0.0,0.1875,0.0625,0.25,0.125,0.09577102979498885,0.07147955367479009,0.11057692307692306,-0.0
62031,0.9979519468273,0.9998067807813978,0.4331643032103791,0.5561522522978448,0.4341511679179473,0.9997831808141582,0.8181738824999902,0.4177945320099393,0.375,0.0,0.3125,0.0625,0.375,0.125,0.528579228367898,0.125310097944129,0.2125,-0.0
62032,0.9997023824603248,0.5989422459965387,0.06134668140955746,0.5163419677695102,0.36149912279167185,0.9977953619054093,0.419690046324656,0.2594891452157371,0.5,0.0,0.3125,0.125,0.4375,0.25,0.17851564340375747,0.15867414179143957,0.1875,-0.0
62033,0.14963271240040898,0.9644316670703439,0.06793112008887274,0.4910672774115622,0.6729952334107492,0.9999285469451236,0.3706828359599295,0.4592594714570112,0.25,0.0,0.25,0.0,0.1875,0.0625,0.12399986118317502,0.02088011484004725,0.16666666666666666,0.0
62034,0.9998131134369683,0.7719965815805369,0.7817223013183394,0.31522591187624316,0.2706837443266401,0.9999950894124088,0.6506434927757077,0.6184247067777909,0.3125,0.0,0.1875,0.0,0.25,0.0625,0.10561408536079284,0.012672860186591535,0.1875,0.0
62035,0.9923429434917237,0.6242480870473878,0.429160819690217,0.6884960932741024,0.17087647712223947,0.9998345400268505,0.9991447980465642,0.41333121144153173,0.75,0.0,0.6875,0.0625,0.5625,0.1875,0.9998373872310911,0.07778258525665004,0.6875,-0.0
62036,0.6720705666726181,0.9575769033154842,0.820767674765075,0.9434642411735796,0.2989281023210973,0.9999705443433657,0.999977613320573,0.5770953793529219,0.875,0.0,0.875,0.0625,0.6875,0.25,0.999999354202517,0.23555482597000685,0.875,-0.0
62037,0.7471929170020908,0.9947611988665278,0.9592474697021534,0.6806325935642841,0.2285918636009695,0.9979904057398004,0.7239334207763883,0.5713215959709729,0.4375,0.0,0.3125,0.0625,0.375,0.125,0.0260940624879453,0.007253278252781453,0.3125,-0.0
62038,0.9989487882371137,0.5724457445676002,0.06737603623886469,0.9923299868802872,0.30554109190860634,0.9991421337151432,0.2588617069020879,0.29099387270579485,0.625,0.0,0.5625,0.125,0.4375,0.25,0.3297437800477522,0.17016775332519699,0.39583333333333337,-0.0
62039,0.9998772538285021,0.9979437489411461,0.9309051321666336,0.4400418406946359,0.3193601240636763,0.999978170377701,0.070664863266241,0.4782411026729785,0.0625,0.0,0.25,0.1875,0.375,0.3125,0.1677019136719464,0.22154888137574705,0.05,-0.0
62040,0.9370124439919669,0.9983628444808883,0.3863607355896887,0.6932754999463487,0.34949683764336203,0.9999202037097121,0.9799148620385569,0.6054214048768684,0.5,0.0,0.625,0.375,0.625,0.375,0.9297706174393883,0.41774686239651004,0.375,-0.0
62041,0.7703531530128418,0.9646582037690393,0.15855206538946254,0.9570877102816374,0.31847615552155384,0.9875512628999722,0.9999727193823034,0.6970858783488492,0.9375,0.0,0.6875,0.0,0.6875,0.0,0.9999998900876598,0.0011356874456840851,0.6875,0.0
62042,0.8679209448152595,0.9497985787559328,0.28080614948195953,0.1938673395491523,0.563879460644846,0.9872507942963956,0.36826469182601107,0.2877662535016477,0.375,0.0,0.3125,0.0625,0.3125,0.0625,0.14696599271650493,0.0567481258094044,0.2125,-0.0
62043,0.5729021297212976,0.9976502249131154,0.24624326643859823,0.9961951994983284,0.37578325958031494,0.9988198691902702,0.9999285328372569,0.6147441546080659,0.9375,0.0,0.8125,0.125,0.6875,0.25,0.999999042238275,0.15035070825168603,-0.18749999999999994,-0.0
62044,0.9387792932035888,0.9424202210882904,0.7680471298841701,0.37878580885750085,0.270492685551791,0.9999272564569314,0.6146873577412842,0.7406799002889078,0.25,0.0,0.125,0.0,0.25,0.125,0.013391059714132259,0.00967396617819478,0.125,0.0
62045,0.8047468686109888,0.99954241575305,0.9923824781347566,0.6114550928494603,0.2865474868334785,0.9999950512267872,0.9991204359621512,0.513439323114872,0.9375,0.0,0.6875,0.0625,0.5625,0.0625,0.9999898441349616,0.019881143441070195,0.6875,-0.0
62046,0.9067544649222349,0.8902866920143743,0.12133635969066439,0.2819275425705728,0.2764967168546082,0.9993328770432583,0.9991455060935208,0.2866687110543882,0.9375,0.0,0.8125,0.125,0.75,0.3125,0.9999952112169261,0.1583595021548979,0.8125,-0.0
62047,0.9539351727862894,0.8726251801959546,0.5355797683479182,0.3296080547445321,0.42892087107331794,0.9996551224118418,0.7243476041766386,0.7299817811205465,0.3125,0.0,0.25,0.0625,0.25,0.0625,0.026921040625056993,0.004225259172135712,0.15909090909090906,-0.0
62048,0.638972723636898,0.8237699783085902,0.049316932384245595,0.4359494223079195,0.32123548867679685,0.9999662527869414,0.49711532667908526,0.6054364501004991,0.5625,0.0,0.3125,0.125,0.3125,0.125,0.048939583963955306,0.00772037826310025,0.3125,-0.0
