seed,model,posterior_mode,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,BLTGlobal,filtered,probe,1,119,0.9929257547815736,0.0016735299750937236,0.002142419987862728,0.0032582952554698038,0.15659094388296316,0.7979756033183074,0.02397289757383322,0.021460555224896014
11,BLTGlobal,filtered,probe,1,120,0.9821752521424965,0.0030600868278465284,0.0031406617278524193,0.011623999301804638,0.035762125347768826,0.9331303380297521,0.0072223949569633905,0.02388514166551555
11,BLTGlobal,filtered,probe,1,121,0.6472802029990624,0.015903327990337696,0.3179841837420188,0.01883228526858101,0.05166466726661369,0.6975179857586485,0.13546563206143244,0.11535171491330527
11,BLTGlobal,filtered,probe,1,122,0.0542356724155595,0.006031270320217784,0.9331788396684666,0.006554217595756211,0.0736765359936402,0.8198083124945674,0.046343468747434474,0.06017168276435806
11,BLTGlobal,filtered,probe,1,123,0.0046748242374181955,0.0017405209142533845,0.9917975580545977,0.0017870967937309988,0.1881396391896405,0.7348100854663677,0.053736262258871466,0.023314013085120492
11,BLTGlobal,filtered,probe,1,124,0.01362360687161442,0.011248338825498017,0.7687577435664185,0.20637031073646891,0.15558354447366782,0.43768826105308434,0.31679237390943155,0.08993582056381609
11,BLTGlobal,filtered,probe,1,125,0.009977837054243842,0.08701425980896882,0.8766323488513774,0.026375554285409962,0.06137973511358669,0.130459935357763,0.6994485054018844,0.10871182412676592
11,BLTGlobal,filtered,probe,1,126,0.0024910108126890867,0.004313109276593867,0.9901774771386072,0.0030184027721096122,0.1711717357909935,0.06683933980943646,0.7097380373320318,0.052250887067538034
11,BLTGlobal,filtered,probe,1,127,0.11753631089498534,0.029854408592816684,0.4166310683257347,0.4359782121864632,0.045196360846119554,0.0832395572236164,0.6756143609941603,0.1959497209361038
11,BLTGlobal,filtered,probe,1,128,0.014106058863340931,0.00873117724373462,0.9486018364972533,0.028560927395671107,0.11053244154702829,0.09397443997994787,0.6244156430412451,0.1710774754317787
11,BLTGlobal,filtered,probe,1,129,0.04040518468524162,0.12280014368026093,0.4152074207305154,0.4215872509039821,0.022986832515050792,0.07879888816135913,0.5221723828453412,0.37604189647824904
11,BLTGlobal,filtered,probe,1,130,0.016456735905497705,0.02484027912565541,0.9156727444135719,0.04303024055527516,0.0898461813731899,0.10125640208088793,0.4674541950168442,0.341443221529078
11,BLTGlobal,filtered,probe,1,131,0.013523052492505079,0.01550583626711859,0.9213724112701838,0.049598699970192534,0.028674365106787874,0.026744670828527904,0.6915537158336532,0.25302724823103095
11,BLTGlobal,filtered,probe,1,132,0.3105373830416589,0.04494415982841132,0.4215543181560392,0.2229641389738905,0.009938215814011473,0.09731523683404555,0.4110907012668516,0.48165584608509127
11,BLTGlobal,filtered,probe,1,133,0.5821927686470509,0.03016859901863299,0.3187807649853256,0.06885786734899028,0.00751442590998353,0.05162569800036164,0.52289420289211,0.4179656731975447
11,BLTGlobal,filtered,probe,1,134,0.20685620985632389,0.2679433113525393,0.2888230978480239,0.23637738094311292,0.0050769505394929765,0.06824632628304877,0.2674961616835787,0.6591805614938795
11,BLTGlobal,filtered,probe,1,135,0.05585716735826937,0.7753415670946345,0.09893703161532373,0.06986423393177232,0.05701643243943518,0.041118563436808114,0.5061440725402443,0.3957209315835123
11,BLTGlobal,filtered,probe,1,136,0.057795666129771786,0.8745190018595939,0.038494456389089216,0.02919087562154529,0.018672609778648444,0.013936019386313551,0.7259814020363511,0.24140996879868723
11,BLTGlobal,filtered,probe,1,137,0.017609903212112272,0.9381534582917933,0.015009417068391265,0.029227221427703138,0.00761751688437746,0.006283063766525068,0.8559650283366109,0.13013439101248653
11,BLTGlobal,filtered,probe,1,138,0.007627271917536085,0.9609564244894389,0.0071199130664339316,0.02429639052659118,0.005303356174985097,0.007772788438898566,0.9145070498727865,0.07241680551332978
11,BLTGlobal,filtered,probe,1,139,0.08324572049878387,0.37582961514809693,0.03310003563635519,0.507824628716764,0.006542096141392041,0.025594685707786422,0.7382205190168762,0.22964269913394528
11,BLTGlobal,filtered,probe,1,140,0.4102175095188375,0.40158430262770006,0.038349533125086904,0.1498486547283756,0.011266813778063735,0.07588164667159926,0.47862743042957234,0.4342241091207648
11,BLTGlobal,filtered,probe,1,141,0.6124969377980399,0.32350803197943206,0.02187120953719838,0.042123820685329744,0.008167885089165692,0.1253899657858089,0.5440927051801989,0.3223494439448266
11,BLTGlobal,filtered,probe,1,142,0.18633705362944372,0.20755893804114123,0.5492526663039872,0.05685134202542795,0.04163953170246651,0.1017574816167779,0.3862481436892602,0.47035484299149544
11,BLTGlobal,filtered,probe,1,143,0.5250013236973814,0.15250111270220493,0.17149091962363042,0.1510066439767833,0.00814244912307116,0.04954648974170498,0.3823528779246672,0.5599581832105566
11,BLTGlobal,filtered,probe,1,144,0.13484206222343786,0.0871359058390568,0.7045093789171433,0.07351265302036193,0.061645420321898674,0.0831660056457971,0.30264842515780127,0.5525401488745028
11,BLTGlobal,filtered,probe,1,145,0.38994809885320536,0.2202522191778687,0.30764413433176324,0.0821555476371627,0.010416063177517148,0.04723785516315559,0.21685414255131605,0.7254919391080112
11,BLTGlobal,filtered,probe,1,146,0.10568241571608857,0.08447831124612196,0.7642082549642395,0.04563101807354991,0.0736031801509488,0.07673063177637246,0.1995474053182012,0.6501187827544774
11,BLTGlobal,filtered,probe,1,147,0.020351693070740175,0.018254371095186316,0.9485182837091705,0.012875652124902987,0.27448068151266414,0.12252895535286991,0.2762436366192108,0.32674672651525505
11,BLTGlobal,filtered,probe,1,148,0.003941493602401902,0.003776167239327662,0.9889628293984972,0.0033195097597733055,0.5314019645972778,0.1145172737131505,0.23734067693928626,0.11674008475028563
11,BLTGlobal,filtered,probe,1,149,0.0010706035705461744,0.0010603621184726258,0.996837339517571,0.0010316947934102417,0.7316882550000966,0.08005037275320487,0.15229885025927223,0.035962521987426416
11,BLTGlobal,filtered,probe,1,150,0.005135323913547747,0.0051291015403796755,0.9439120433364012,0.045823531209671434,0.38037302269180173,0.04006824008338547,0.4987990403471314,0.0807596968776815
