seed,model,posterior_mode,t,p_gA,p_gB
11,HierFixed,smoothed,148,0.6237543869145299,0.37624561308547005
11,HierFixed,smoothed,149,0.6244693007974615,0.37553069920253845
11,HierFixed,smoothed,150,0.6256609056196176,0.3743390943803823
11,HierFixed,smoothed,151,0.6273337649739339,0.372666235026066
11,HierFixed,smoothed,152,0.6216605730671149,0.3783394269328852
11,HierFixed,smoothed,153,0.6164533152699143,0.3835466847300855
11,HierFixed,smoothed,154,0.6116920488928966,0.3883079511071035
11,HierFixed,smoothed,155,0.6073585392988728,0.39264146070112727
11,HierFixed,smoothed,156,0.6034361900681213,0.3965638099318785
11,HierFixed,smoothed,157,0.5999099794376308,0.4000900205623691
11,HierFixed,smoothed,158,0.5967664027709442,0.403233597229056
11,HierFixed,smoothed,159,0.5939934208382737,0.40600657916172644
11,HierFixed,smoothed,160,0.5915804137088135,0.4084195862911864
11,HierFixed,smoothed,161,0.5895181400786639,0.4104818599213363
11,HierFixed,smoothed,162,0.5877987018786026,0.4122012981213975
11,HierFixed,smoothed,163,0.5864155140261615,0.4135844859738385
11,HierFixed,smoothed,164,0.5853632792061613,0.41463672079383884
11,HierFixed,smoothed,165,0.5846379675831205,0.41536203241687963
11,HierFixed,smoothed,166,0.5842368013678448,0.41576319863215494
11,HierFixed,smoothed,167,0.5841582441790846,0.4158417558209154
11,HierFixed,smoothed,168,0.5844019951595206,0.4155980048404794
11,HierFixed,smoothed,169,0.5930182144887579,0.406981785511242
11,HierFixed,smoothed,170,0.6019906737883778,0.39800932621162216
11,HierFixed,smoothed,171,0.6033288188667137,0.39667118113328625
11,HierFixed,smoothed,172,0.5971290897347108,0.4028709102652891
11,HierFixed,smoothed,173,0.5913013443506282,0.4086986556493719
11,HierFixed,smoothed,174,0.5858232636895905,0.41417673631040963
11,HierFixed,smoothed,175,0.580673867868215,0.41932613213178505
11,HierFixed,smoothed,176,0.5758334357961221,0.42416656420387794
11,HierFixed,smoothed,177,0.5712834296483548,0.42871657035164534
11,HierFixed,smoothed,178,0.5670064238694534,0.4329935761305465
11,HierFixed,smoothed,179,0.5629860384372863,0.43701396156271377
11,HierFixed,smoothed,180,0.5592068761310492,0.44079312386895086
11,HierFixed,smoothed,181,0.5556544635631863,0.4443455364368137
11,HierFixed,smoothed,182,0.5523151957493951,0.44768480425060486
11,HierFixed,smoothed,183,0.5491762840044314,0.45082371599556853
11,HierFixed,smoothed,184,0.5462257069641657,0.4537742930358345
11,HierFixed,smoothed,185,0.5434521645463157,0.4565478354536843
11,HierFixed,smoothed,186,0.5408450346735367,0.4591549653264633
11,HierFixed,smoothed,187,0.5383943325931244,0.4616056674068756
11,HierFixed,smoothed,188,0.536090672637537,0.463909327362463
11,HierFixed,smoothed,189,0.5339252322792847,0.46607476772071527
11,HierFixed,smoothed,190,0.5318897183425275,0.4681102816574725
11,HierFixed,smoothed,191,0.529976335241976,0.47002366475802415
11,HierFixed,smoothed,192,0.5281777551274573,0.4718222448725427
11,HierFixed,smoothed,193,0.52648708981981,0.4735129101801901
11,HierFixed,smoothed,194,0.5248978644306214,0.47510213556937875
11,HierFixed,smoothed,195,0.5234039925647841,0.4765960074352159
11,HierFixed,smoothed,196,0.521999753010897,0.47800024698910293
11,HierFixed,smoothed,197,0.5206797678302432,0.4793202321697568
11,HierFixed,smoothed,198,0.5194389817604286,0.48056101823957137
11,HierFixed,smoothed,199,0.5182726428548028,0.4817273571451971
11,HierFixed,smoothed,200,0.5171762842835147,0.48282371571648525
11,LocalBranch,filtered,1,0.5,0.4999999999999999
11,LocalBranch,filtered,2,0.5000000000000001,0.49999999999999994
11,LocalBranch,filtered,3,0.5,0.4999999999999997
11,LocalBranch,filtered,4,0.5000000000000001,0.49999999999999994
11,LocalBranch,filtered,5,0.5000000000000001,0.4999999999999999
11,LocalBranch,filtered,6,0.5000000000000001,0.4999999999999998
11,LocalBranch,filtered,7,0.46355081302945017,0.5364491869705497
11,LocalBranch,filtered,8,0.4637643871831745,0.5362356128168256
11,LocalBranch,filtered,9,0.47303699135343746,0.5269630086465628
11,LocalBranch,filtered,10,0.4843491946996179,0.5156508053003819
11,LocalBranch,filtered,11,0.4936310541301109,0.5063689458698892
11,LocalBranch,filtered,12,0.4992795384540034,0.5007204615459966
11,LocalBranch,filtered,13,0.5021776441024415,0.4978223558975584
11,LocalBranch,filtered,14,0.4696179489344958,0.5303820510655041
11,LocalBranch,filtered,15,0.4702898623716022,0.5297101376283975
11,LocalBranch,filtered,16,0.46959352010244293,0.5304064798975571
11,LocalBranch,filtered,17,0.47803660681556165,0.5219633931844384
11,LocalBranch,filtered,18,0.4884431983647094,0.5115568016352907
11,LocalBranch,filtered,19,0.49716571916457386,0.5028342808354261
11,LocalBranch,filtered,20,0.5026137479662077,0.4973862520337924
11,LocalBranch,filtered,21,0.5054893575737026,0.4945106424262975
11,LocalBranch,filtered,22,0.5068908523507702,0.49310914764922964
11,LocalBranch,filtered,23,0.5400741052748138,0.4599258947251861
11,LocalBranch,filtered,24,0.5038195191402869,0.496180480859713
11,LocalBranch,filtered,25,0.4734996412961324,0.5265003587038675
11,LocalBranch,filtered,26,0.507507164680359,0.49249283531964133
11,LocalBranch,filtered,27,0.47975548486176356,0.5202445151382364
