seed,arm,contact_descent,root_change,p1_permission_episode,p2_permission_episode,conjunction_episode,root_revision_episode,both_permissions_before_root,p1_final_permission,p2_final_permission,p1_probe_strengthening,p2_probe_strengthening,p1_opposed_effect,p2_opposed_effect,escalation_coupled
710138,escalation_probe,,,,,,,,,,0.013244032697159014,0.03394513470220145,0.0,0.0,false
710139,befriend_both,false,0.0,0,0,0,0,false,0.045813302326438106,0.045813302326438106,,,,,
710139,befriend_one,false,0.0,22,0,0,0,false,0.9190256943788011,0.015524573043451341,,,,,
710139,befriend_none,false,0.0,0,0,0,0,false,0.015524573043451341,0.015524573043451341,,,,,
710139,escalation_probe,,,,,,,,,,0.015445192767066684,0.06876554054723139,0.0,0.0,false
710140,befriend_both,false,0.0015881180468988842,21,21,21,0,false,0.8650970397358718,0.8650970397358718,,,,,
710140,befriend_one,false,0.0,14,0,0,0,false,0.9308422637849352,0.015920989498259475,,,,,
710140,befriend_none,false,0.0,0,0,0,0,false,0.015920989498259475,0.015920989498259475,,,,,
710140,escalation_probe,,,,,,,,,,0.7895782188366096,0.09413441134383937,0.0,0.0,false
710141,befriend_both,false,0.0046821114618919545,24,24,24,0,false,0.6487158376425926,0.6487158376425926,,,,,
710141,befriend_one,false,0.0,9,0,0,0,false,0.9306524250287963,0.015525252679107418,,,,,
710141,befriend_none,false,0.0,0,0,0,0,false,0.015525252679107418,0.015525252679107418,,,,,
710141,escalation_probe,,,,,,,,,,0.15616683145676757,0.12427494310978554,0.0,0.0,false
710142,befriend_both,false,0.0,0,0,0,0,false,0.016683345829562733,0.016683345829562733,,,,,
710142,befriend_one,false,0.0,0,0,0,0,false,0.11222627834232303,0.01553516921989786,,,,,
710142,befriend_none,false,0.0,0,0,0,0,false,0.01553516921989786,0.01553516921989786,,,,,
710142,escalation_probe,,,,,,,,,,0.11548058315288956,0.07958587198747358,0.0,0.0,false
710143,befriend_both,false,0.19195784197288274,11,11,11,0,false,0.9283904334997707,0.9283904334997707,,,,,
710143,befriend_one,false,0.0,6,0,0,0,false,0.9308611058627361,0.01593867407675173,,,,,
710143,befriend_none,false,0.0,0,0,0,0,false,0.01593867407675173,0.01593867407675173,,,,,
710143,escalation_probe,,,,,,,,,,0.02118600594737341,0.03888480425864027,0.0,0.0,false
710144,befriend_both,false,0.0,0,0,0,0,false,0.11379714826934895,0.11379714826934895,,,,,
710144,befriend_one,false,0.0,18,0,0,0,false,0.9304233734518224,0.015532286383127855,,,,,
710144,befriend_none,false,0.0,0,0,0,0,false,0.015532286383127855,0.015532286383127855,,,,,
710144,escalation_probe,,,,,,,,,,0.0014268395653969645,-0.14322257884911765,0.0,0.0,false
710145,befriend_both,false,0.0041054547637905045,23,23,23,0,false,0.6827251353009697,0.6827251353009697,,,,,
