seed,cell,triplet,variant,length,event_count,truth,formation_truth,selected,T_probability,D_probability,P_probability,winning_log_evidence,formation_selected,high_or_integrated,false_P_eligible,false_P,maximum_prior_difference,maximum_slice_log_bf,maximum_posterior_step,brier_P
813223,D_favoring,,,24,24,D,0,D,1.0552480799441778e-06,0.999998944751919,1.037518303428224e-15,13.761733616563774,0,1,1,0,0.749998944751919,2.2199785861241947,0.29736862239781103,1.0764442299485805e-30
813224,D_favoring,,,24,24,D,0,D,0.00041485364509912876,0.9995851408991142,5.455786640747761e-09,7.787169817166593,0,1,1,0,0.7495851408991142,2.2199785861241947,0.29736862239781103,2.976560786936174e-17
813225,D_favoring,,,24,24,D,0,D,0.02253364266971128,0.9774663559075384,1.4227502699692651e-09,3.769954450525937,0,1,1,0,0.7387136758995891,2.2199785861241947,0.29736862239781103,2.0242183306976167e-18
813226,P_favoring,,,24,24,P,1,P,2.774574891441212e-15,1.368766097339935e-13,0.9999999999998603,29.619696533795302,1,0,0,0,0.7499999999998603,2.670557431416735,0.5044486293022921,1.9506607337659146e-26
813227,P_favoring,,,24,24,P,1,P,3.089234534545987e-11,1.129003594225825e-09,0.999999998840104,20.601930367075944,1,0,0,0,0.7499999996022109,2.670557431416735,0.5044486293022921,1.3453586312020932e-18
813228,P_favoring,,,24,24,P,1,P,3.987144767780661e-18,2.6551137822930767e-16,0.9999999999999997,35.86487397827486,1,0,0,0,0.7499999999999997,2.670557431416735,0.5044486293022921,1.1093356479670479e-31
813229,P_favoring,,,24,24,P,1,P,1.6828647393280172e-15,9.645531664062573e-14,0.999999999999902,29.96969653379529,1,0,0,0,0.749999999999902,2.670557431416735,0.5044486293022921,9.610408911419773e-27
813230,P_favoring,,,24,24,P,1,P,4.202014055067076e-14,1.240360395484024e-12,0.9999999999987177,27.415619137019014,1,0,0,0,0.7499999999995599,2.3196827878973805,0.5044486293022921,1.6443127641991567e-24
813231,P_favoring,,,24,24,P,1,P,8.674332384176148e-16,7.621160820987879e-14,0.999999999999923,30.205262605108068,1,0,0,0,0.749999999999923,2.670557431416735,0.5044486293022921,5.936622046047301e-27
813232,P_favoring,,,24,24,P,1,P,3.9476564281121695e-08,4.172006176214139e-07,0.9999995433228182,14.689698176747143,1,0,0,0,0.7499995433228182,2.670557431416735,0.5044486293022921,2.0855404842078112e-13
