bank_seed,maintenance_seed,stratum,q0_P,A_delta_L_PT,A_delta_L_PD,B_delta_L_PT,B_delta_L_PD,M_PT,M_PD,A_root_revision_abs,B_root_revision_abs,A_transfer_abs,B_transfer_abs,root_revision_difference,transfer_difference,B_delivered,B_censored,B_avoidance,dose_M_PT,dose_M_PD,external_danger_selected,identity_danger_selected,external_danger_delta_L_PD
760588,762065,strong,0.7975641426905354,-38.65002095928992,-37.73981218377145,-26.182279422316594,-25.830842026388403,12.467741536973325,11.908970157383045,0.4999999994883192,0.49999920057017694,0.16117644396970165,0.16117618643613107,7.98918142252969e-07,2.5753357058011517e-07,21,11,13,"[0.0, 7.569637822516935, 19.15962266973831, 27.92523920040649, 38.65002095928992]","[0.0, 6.852816254538716, 19.01027055360324, 27.42265035285817, 37.73981218377145]",D,P,-12.891710733639599
760601,762066,strong,0.8347733134626641,-37.50524117919392,-37.221984453358246,-22.594724585699403,-21.74054903963667,14.91051659349452,15.481435413721577,0.6346851906933186,0.6346851903085524,0.3077261530634268,0.3077261528768735,3.847662188860568e-10,1.865533283407217e-10,21,11,17,"[0.0, 13.777909126975967, 25.253705092345946, 27.441629372100536, 37.50524117919392]","[0.0, 12.286433426078741, 25.625988001163787, 25.754967128177995, 37.221984453358246]",D,P,-22.385566890962984
760616,762067,strong,0.8634085148698777,-35.55824826455612,-32.64002816447026,-23.739504365795398,-22.258376770049875,11.818743898760722,10.381651394420384,0.999619741489662,0.9996197414896592,0.7546277471796136,0.7546277471796113,2.886579864025407e-15,2.220446049250313e-15,21,11,19,"[0.0, 5.992065854333688, 13.72709148675727, 22.225303639244846, 35.55824826455612]","[0.0, 5.1206434663514315, 11.833095259172634, 18.890765538935966, 32.64002816447026]",D,P,-24.21141491549825
760640,762068,strong,0.8850784038231683,-37.619430061045314,-36.03988417733772,-16.23323778491116,-13.770122072584535,21.386192276134153,22.269762104753184,0.999573918285107,0.7419656957324472,0.2719929029347229,0.20189542741018973,0.2576082225526598,0.07009747552453316,16,16,17,"[0.0, 20.623005756070157, 26.513055042129892, 28.637608080251784, 37.619430061045314]","[0.0, 21.924543617811047, 25.55011310295337, 27.314530672894207, 36.03988417733772]",D,P,-13.423797388008449
760698,762069,strong,0.8526356127244425,-41.13182263028893,-45.031187511642614,-20.50881687421877,-23.10664389383157,20.62300575607016,21.924543617811043,0.576725757004105,0.5767257569915915,0.3810813261620041,0.3810813261537356,1.2513545755155064e-11,8.268496998198316e-12,16,16,20,"[0.0, 10.063611807093384, 18.76585709612887, 28.231288905228354, 41.13182263028893]","[0.0, 11.467017325180251, 21.5148355673618, 31.907872296485493, 45.031187511642614]",D,P,-30.602457376951914
760714,762070,strong,0.8091232776394054,-34.79506174449212,-32.29480967752812,-19.10880502951961,-18.556932386697138,15.686256714972515,13.737877290830983,0.576725757004105,0.576725757004105,0.5070334193365128,0.5070334193365128,0.0,0.0,17,15,18,"[0.0, 5.992065854333688, 10.890169568790078, 25.966073972191246, 34.79506174449212]","[0.0, 5.120643466351435, 10.176797369195764, 25.517868321199817, 32.29480967752812]",D,P,-19.683054658755037
760721,762071,strong,0.8571796247213969,-41.09279601581112,-41.31227744010998,-23.510745314256052,-24.034179674694016,17.582050701555065,17.278097765415964,0.9857188096004289,0.9857188096004289,0.830078997558256,0.830078997558256,0.0,0.0,18,14,21,"[0.0, 5.826678044427041, 17.963643961587064, 24.98630071416535, 41.09279601581112]","[0.0, 5.261007928068956, 17.450707008887033, 24.271278481672194, 41.31227744010998]",D,P,-28.070608036554837
760729,762072,strong,0.8793666408673984,-34.413468484460125,-32.12220043405705,-23.243722223912005,-23.26786780259933,11.16974626054812,8.85433263145772,0.49999999999999806,0.49999999977853266,0.24242424242424115,0.242424242316864,2.2146540157308436e-10,1.0737716271691511e-10,21,11,18,"[0.0, 8.218635460729534, 16.500642163091765, 24.55388981391465, 34.413468484460125]","[0.0, 8.380135017501374, 15.124831592076124, 23.64533107129502, 32.12220043405705]",D,P,-29.680820825474385
760744,762073,strong,0.8292355032475939,-36.970432422832715,-34.512565414375054,-22.441509089370193,-19.203739244124556,14.528923333462522,15.308826170250498,0.5,0.5,0.37745740498034064,0.37745740498034064,0.0,0.0,21,11,16,"[0.0, 9.630819619006129, 17.098440873249107, 29.78238786034778, 36.970432422832715]","[0.0, 10.252672267406169, 15.610414540735778, 27.832358403307406, 34.512565414375054]",D,P,-20.60713464065351
760793,762074,strong,0.7640227701496134,-39.94801623571512,-40.79444970969677,-26.61507161040385,-27.045187084162478,13.332944625311274,13.749262625534293,0.634685190693322,0.634685190693322,0.5344717395312184,0.5344717395312184,0.0,0.0,22,10,16,"[0.0, 8.11661889245558, 16.81886418149107, 29.223234476831696, 39.94801623571512]","[0.0, 6.885061036292271, 16.932879278473823, 30.477287878783493, 40.79444970969677]",D,P,-16.392442427237476
760794,762075,strong,0.8342073305084137,-36.58883916280072,-34.33995617090399,-22.16193239761215,-20.526203981862594,14.426906765188566,13.813752189041395,0.5767257570041049,0.5767257570040831,0.3810813261620041,0.38108132616198964,2.1760371282653068e-14,1.4432899320127035e-14,20,12,16,"[0.0, 10.177800688944778, 16.50064216309176, 28.637608080251788, 36.58883916280072]","[0.0, 10.284917049159727, 15.124831592076127, 27.314530672894207, 34.33995617090399]",D,P,-12.18024415466458
