seed,stratum,intact_M_PT,intact_M_PD,action_mask_M_PT,action_mask_M_PD,forced_open_M_PT,forced_open_M_PD,substitution_M_PT,substitution_M_PD,common_A_delta_L_PT,common_A_delta_L_PD,common_M_PT,common_M_PD,fixed_root_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,broadcast_M_PT,broadcast_M_PD,equalized_A_delta_L_PT,equalized_A_delta_L_PD,equalized_M_PT,equalized_M_PD
762067,strong,11.818743898760722,10.381651394420384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.818743898760722,10.381651394420384,10.905129862919825,10.371404414031943,0.0,0.0,0.0,0.0
762068,strong,21.386192276134153,22.269762104753184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.386192276134153,22.269762104753184,15.653865295138655,14.991528651244062,0.0,0.0,0.0,0.0
762069,strong,20.62300575607016,21.924543617811043,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,0.0,-4.440892098500626e-16,0.0,0.0,20.62300575607016,21.924543617811043,14.890678775074662,14.646310164301926,4.440892098500626e-16,8.881784197001252e-16,0.0,-4.440892098500626e-16
762070,strong,15.686256714972515,13.737877290830983,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-6.661338147750939e-16,0.0,4.440892098500626e-16,0.0,0.0,15.686256714972515,13.737877290830983,14.627799556688487,14.03298195510742,-4.440892098500626e-16,-6.661338147750939e-16,0.0,4.440892098500626e-16
762071,strong,17.582050701555065,17.278097765415964,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,17.582050701555065,17.278097765415964,13.983327078270325,13.247044502441856,4.440892098500626e-16,0.0,0.0,0.0
762072,strong,11.16974626054812,8.85433263145772,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,11.16974626054812,8.85433263145772,11.28672312295182,10.544013657503015,4.440892098500626e-16,0.0,0.0,0.0
762073,strong,14.528923333462522,15.308826170250498,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.0,0.0,14.528923333462522,15.308826170250498,10.523536602887823,10.198795170560874,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.0
762074,strong,13.332944625311274,13.749262625534293,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,13.332944625311274,13.749262625534293,9.87906412446966,9.412857717895303,-2.220446049250313e-16,0.0,0.0,0.0
762075,strong,14.426906765188566,13.813752189041395,0.0,0.0,0.0,0.0,0.0,0.0,-6.661338147750939e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,14.426906765188566,13.813752189041395,11.93119560136999,11.329951110168583,-6.661338147750939e-16,-4.440892098500626e-16,0.0,0.0
762076,strong,21.182159139586247,19.279614142334967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.182159139586247,19.279614142334967,18.469183292102983,17.253840530459474,0.0,0.0,0.0,0.0
762077,strong,13.765736813398519,14.963607683308364,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,0.0,13.765736813398519,14.963607683308364,9.760350082823834,9.853576683618737,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0
