seed,bank_seed,stratum,dose,schedule,M_PT,M_PD,delivered_count,censored_count,mechanistic_error_PT,mechanistic_error_PD,matched_evidence_schedule_error
816031,821121,moderate,0.25,distributed,6.704434734178978,5.012523786387465,24,8,7.105427357601002e-15,3.552713678800501e-15,0.0
816031,821121,moderate,0.35,distributed,10.40655974048412,8.509114144515582,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816031,821121,moderate,0.5,distributed,16.50064216309176,15.124831592076124,16,16,3.552713678800501e-15,3.552713678800501e-15,0.0
816031,821121,moderate,0.65,distributed,22.9763178457314,21.913158283107734,11,21,0.0,1.7763568394002505e-15,0.0
816031,821121,moderate,0.75,distributed,26.67844285203654,25.40974864123585,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816031,821121,moderate,1.0,distributed,36.20724590276872,34.16734692743292,0,32,0.0,0.0,0.0
816032,821122,moderate,0.0,distributed,0.0,0.0,32,0,0.0,0.0,0.0
816032,821122,moderate,0.25,distributed,9.147209790700177,8.584989042725994,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816032,821122,moderate,0.35,distributed,11.43715063872872,10.209042150949312,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816032,821122,moderate,0.5,distributed,17.263828683155758,15.470050079018261,16,16,0.0,1.7763568394002505e-15,0.0
816032,821122,moderate,0.65,distributed,23.357911105763396,22.085767526578802,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816032,821122,moderate,0.75,distributed,25.64785195379194,23.70982063480212,8,24,1.7763568394002505e-15,8.881784197001252e-16,0.0
816032,821122,moderate,1.0,distributed,33.76447084624752,30.594881671094388,0,32,0.0,0.0,0.0
816033,821130,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,0.0,0.0
816033,821130,moderate,0.25,front_loaded,8.002430010604193,8.067161312312788,24,8,3.552713678800501e-15,0.0,0.0
816033,821130,moderate,0.35,front_loaded,12.735145915153936,13.26367967687463,21,11,7.105427357601002e-15,3.552713678800501e-15,0.0
816033,821130,moderate,0.5,front_loaded,18.82922833776157,19.879397124435172,16,16,1.7763568394002505e-15,0.0,0.0
816033,821130,moderate,0.65,front_loaded,23.577963769980403,24.499521361647293,11,21,1.7763568394002505e-15,0.0,0.0
816033,821130,moderate,0.75,front_loaded,26.6561609853309,27.375161450057206,8,24,8.881784197001252e-16,8.881784197001252e-16,0.0
