arm,condition,seed,session,scaffolded,part_dominance,depth_index,opacity_index,posterior_confidence,root_belief_alone,revision_weight,profile_part,profile_context,profile_interoception,profile_relational,profile_policy
witnessing,no_profile_learning,7102,6,1.0,0.5413456008913204,0.8086171181428368,0.9677659071765363,0.9677659071765363,0.24763707997873316,0.31009865515922536,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,7,0.0,0.4201301376196112,0.473980748640673,0.6991568995125621,0.7960591026973142,0.2176674546586489,0.07638950564164838,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,8,0.0,0.6395670112391492,0.48292242063091123,0.6991568995125621,0.7960591026973142,0.18919240985595456,0.07997945358809347,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,9,0.0,0.5828834232303631,0.49072628459268597,0.6991568995125621,0.7960591026973142,0.1626727962442815,0.08327631053146205,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,10,0.0,0.6804787249248154,0.4392928385471751,0.6991568995125621,0.7960591026973142,0.13860010498810346,0.08567813011851086,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,11,0.0,0.6209719711634633,0.4585544614884416,0.6991568995125621,0.7960591026973142,0.11754798754851525,0.08585988596897294,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7102,12,0.0,0.5554249403629752,0.5350173139129348,0.6991568995125621,0.7960591026973142,0.1010591004815832,0.07711547156808987,0.0,0.0,0.0,0.0,0.0
witnessing,local_only,7102,1,1.0,0.43729672295878214,0.0,0.967408173823073,0.967408173823073,0.8519698578864671,0.20322242961689208,0.39776953673519044,0.47845449213279745,0.3930781351996787,0.4970708417118408,0.5569967255655885
witnessing,local_only,7102,2,1.0,0.3608028671410991,0.0,0.967408173823073,0.967408173823073,0.7618881704803376,0.2668526729135478,0.6294985221273218,0.8673662675252397,0.71673313194519,0.9323494220260555,0.7775691568403431
witnessing,local_only,7102,3,1.0,0.4143313918492802,0.0,0.967408173823073,0.967408173823073,0.641486015125567,0.2641998349611711,0.8366161754182494,1.109114401483225,0.8306612880901834,1.1993375368193795,0.9108417938639652
witnessing,local_only,7102,4,1.0,0.4233164736857183,0.0,0.967408173823073,0.967408173823073,0.5182044890684714,0.23134979854761725,0.9710008849615323,1.2552352213184461,1.0094992172636614,1.336700162771023,0.9924265646080155
witnessing,local_only,7102,5,1.0,0.47593641219256655,0.0,0.967408173823073,0.967408173823073,0.3893551577125453,0.23766988474885292,1.0889569030072102,1.3130614582128393,1.1373420162474175,1.4395614292065015,1.0577435126989227
witnessing,local_only,7102,6,1.0,0.5400920180576478,0.0,0.967408173823073,0.967408173823073,0.24183024738074005,0.3148398624102485,1.2335417617083324,1.334504667685013,1.2155121195379297,1.6290543595370726,1.0021186492919953
witnessing,local_only,7102,7,0.0,0.40902794795222147,0.0,0.6956521739130435,0.769230865088683,0.19443850483025482,0.1267055979872073,1.1820587536778344,1.3684688068360247,1.1684879197385736,1.6290543595370726,1.274358670513998
witnessing,local_only,7102,8,0.0,0.6442557357669295,0.0,0.6956521739130435,0.769230865088683,0.1506171491143798,0.1401569299540295,1.363969474862847,1.3006855466282354,1.1252372277465856,1.6290543595370726,1.1749919254235872
witnessing,local_only,7102,9,0.0,0.5927146198440694,0.0,0.6956521739130435,0.769230865088683,0.11261964934533596,0.15204029214273088,1.413411130743683,1.2503144065744163,0.9801832835195836,1.6290543595370726,1.16991158098515
witnessing,local_only,7102,10,0.0,0.7007767030378272,0.0,0.6956521739130435,0.769230865088683,0.0813134322923918,0.16380740661480092,1.4251659541648782,1.0419404414289566,0.9819298900351434,1.6290543595370726,1.1243802966226593
witnessing,local_only,7102,11,0.0,0.6460796590372819,0.0,0.6956521739130435,0.769230865088683,0.0582721557544143,0.1627082542170663,1.391533084366321,0.9383474332735944,1.048705865796101,1.6290543595370726,1.068773461673876
witnessing,local_only,7102,12,0.0,0.5788669272974505,0.0,0.6956521739130435,0.769230865088683,0.04450352968184872,0.12912300962310458,1.5170350932822325,1.1070692510880638,1.1083951316271112,1.6290543595370726,0.9948674674480293
